week_monday,open,high,low,close,n_bars,symbol
2023-04-03,409.18,412.71,405.68,408.78,3051,SPY
2023-04-10,409.06,415.085,405.97,413.0,3669,SPY
2023-04-17,413.44,416.06,410.18,412.01,3653,SPY
2023-04-24,410.73,416.31,403.78,415.6,3681,SPY
2023-05-01,416.15,417.61,403.74,412.45,3711,SPY
2023-05-08,412.67,414.91,408.87,410.89,3429,SPY
2023-05-15,413.22,420.86,409.98,418.12,3631,SPY
2023-05-22,418.48,420.77,409.88,420.34,3655,SPY
2023-05-29,421.56,428.73,416.23,427.93,3044,SPY
2023-06-05,428.03,431.99,425.82,429.99,3493,SPY
2023-06-12,431.38,443.89,430.18,439.45,3711,SPY
2023-06-19,438.69,438.71,432.48,432.9,2847,SPY
2023-06-26,432.78,444.3,431.19,442.92,3628,SPY
2023-07-03,443.61,444.09,437.06,438.71,2665,SPY
2023-07-10,437.09,451.36,437.04,448.9,3538,SPY
2023-07-17,449.22,456.43,448.25,452.17,3508,SPY
2023-07-24,453.06,459.55,451.56,457.0,3490,SPY
2023-07-31,456.63,458.16,446.27,446.76,3801,SPY
2023-08-07,449.02,451.7,443.36,445.75,3549,SPY
2023-08-14,447.15,448.79,433.01,436.14,3758,SPY
2023-08-21,437.74,446.32,435.0,439.93,3737,SPY
2023-08-28,440.32,453.67,440.21,450.48,3482,SPY
2023-09-04,449.59,451.06,442.75,445.86,2768,SPY
2023-09-11,447.47,451.07,442.92,443.42,3495,SPY
2023-09-18,444.09,444.96,429.99,430.94,3669,SPY
2023-09-25,431.88,432.64,422.29,427.67,3945,SPY
2023-10-02,429.78,431.12,419.73,429.95,3830,SPY
2023-10-09,426.12,438.6,425.91,430.84,3956,SPY
2023-10-16,431.95,438.14,420.72,420.86,4131,SPY
2023-10-23,420.41,425.49,409.21,410.69,3993,SPY
2023-10-30,413.15,436.3,412.22,434.92,3835,SPY
2023-11-06,435.44,441.09,433.31,440.0,3546,SPY
2023-11-13,439.57,451.94,438.42,450.43,3487,SPY
2023-11-20,450.51,456.38,450.43,455.39,2645,SPY
2023-11-27,454.62,459.65,453.3,459.31,3344,SPY
2023-12-04,458.21,460.745,454.2,460.11,3468,SPY
2023-12-11,459.79,473.72,459.41,469.68,3542,SPY
2023-12-18,470.61,475.89,467.36,473.0,3524,SPY
2023-12-25,474.41,477.54,473.31,474.87,2450,SPY
2024-01-01,476.37,476.37,464.66,467.96,2862,SPY
2024-01-08,467.5,478.75,466.15,476.12,3576,SPY
2024-01-15,474.36,482.75,469.87,482.38,2858,SPY
2024-01-22,483.6,489.12,482.79,487.12,3507,SPY
2024-01-29,487.75,496.04,482.7,493.63,3611,SPY
2024-02-05,493.66,501.65,490.23,501.01,3441,SPY
2024-02-12,500.98,503.5,490.72,498.93,3508,SPY
2024-02-19,498.42,510.13,493.56,507.37,2847,SPY
2024-02-26,507.14,513.28,504.52,512.22,3407,SPY
2024-03-04,512.74,518.22,504.91,512.2,3530,SPY
2024-03-11,511.36,518.31,508.35,509.73,3570,SPY
2024-03-18,511.15,524.11,510.29,520.97,3496,SPY
2024-03-25,520.79,524.61,518.4,523.0,2916,SPY
2024-04-01,525.44,525.55,512.51,518.37,3551,SPY
2024-04-08,518.96,521.39,509.08,510.48,3545,SPY
2024-04-15,513.66,515.31,493.86,494.8,3917,SPY
2024-04-22,496.63,509.88,495.44,508.28,3898,SPY
2024-04-29,509.64,512.55,499.54,512.15,3633,SPY
2024-05-06,511.93,522.63,511.85,520.09,3407,SPY
2024-05-13,521.49,531.52,518.28,529.45,3444,SPY
2024-05-20,529.99,534.0,524.73,529.58,3454,SPY
