ruleId,side,entryTime,entryPrice,bars,mfe,mae,exitReason,curStop,curTgt,pnlPoints
L1,long,2025-01-13T15:25:00.000Z,20750.75,376,241.25,36.5,market_close,113,198,189
L3,long,2025-01-15T09:20:38.000Z,20942.25,600,465.75,9.5,take_profit,184,278,278.5
L1,long,2025-01-15T14:50:00.000Z,21344.5,411,108.25,98.25,market_close,113,198,62.8
L1,long,2025-01-16T16:39:20.000Z,21363,301,63,190.75,market_close,113,198,-80
L4,long,2025-01-17T15:10:00.000Z,21540.25,391,131.75,59,market_close,106,187,70
S3,short,2025-01-29T09:45:55.000Z,21655.5,600,288.5,34.5,take_profit,114,196,195.75
S3,short,2025-01-30T09:20:01.000Z,21678.25,600,258.75,70.5,take_profit,114,196,196.25
S3,short,2025-02-07T09:05:01.000Z,21853.75,600,268.75,114.25,stop_loss,114,196,-115
L4,long,2025-02-10T09:20:00.000Z,21708.75,601,185.25,18.75,max_hold_time,106,187,158.5
L1,long,2025-02-11T14:05:00.000Z,21693.5,456,178,6.75,market_close,113,198,85.5
S3,short,2025-02-12T13:00:00.000Z,21830.25,521,319.5,19.75,take_profit,114,196,196
L1,long,2025-02-12T14:50:00.000Z,21675.25,411,165.75,94.75,market_close,113,198,127.5
L4,long,2025-02-13T09:20:00.000Z,21817.75,601,240,30.5,take_profit,106,187,187.5
L1,long,2025-02-14T15:50:00.000Z,22136.75,351,88.25,44.75,market_close,113,198,64.75
L1,long,2025-02-18T15:50:00.000Z,22148.75,351,101.25,46,market_close,113,198,56.25
S3,short,2025-02-20T10:20:03.000Z,22213.75,600,262.75,11.75,take_profit,114,196,195.75
S3,short,2025-02-21T12:25:07.000Z,22206.75,555,544.25,38.75,take_profit,114,196,195.75
S2,short,2025-02-24T09:20:01.000Z,21799.25,600,363,13.75,take_profit,129,211,212
S3,short,2025-02-27T09:20:02.000Z,21306.75,600,410.5,79.75,take_profit,114,196,196.75
S1,short,2025-02-27T15:30:01.000Z,21127,370,543.75,32.75,take_profit,131,211,210.75
S2,short,2025-03-03T09:20:00.000Z,20969.25,601,316,151.75,stop_loss,129,211,-129.75
S1,short,2025-03-03T15:20:01.000Z,20826.5,380,509.75,162.75,stop_loss,131,211,-132.5
S1,short,2025-03-03T16:05:00.000Z,20895.25,336,578.5,89.75,take_profit,131,211,211.75
S1,short,2025-03-06T10:50:00.000Z,20393,601,390,120.25,take_profit,131,211,211.5
L1,long,2025-03-20T13:35:00.000Z,19866,426,239,71,take_profit,113,198,197.75
L1,long,2025-03-21T13:50:00.000Z,19704.5,411,273,41.5,take_profit,113,198,198.5
S3,short,2025-03-24T14:35:00.000Z,20329,366,20.75,80.5,market_close,114,196,-76
L4,long,2025-03-25T08:20:00.000Z,20297.25,601,198,4.25,take_profit,106,187,186.75
L4,long,2025-03-25T15:25:00.000Z,20479.25,316,45.5,77.25,market_close,106,187,12.5
L4,long,2025-03-26T14:05:00.000Z,20327.75,396,13,282.75,stop_loss,106,187,-107
S1,short,2025-04-08T13:15:00.000Z,18096.25,446,1122.75,261,stop_loss,131,211,-132.5
L4,long,2025-04-23T13:40:00.000Z,18992.75,421,172.75,263,stop_loss,106,187,-107.5
L1,long,2025-04-25T10:45:00.000Z,19254,596,335,37.75,take_profit,113,198,197.75
L4,long,2025-04-30T17:00:00.000Z,19438.5,221,441.5,101.5,take_profit,106,187,187
L4,long,2025-05-02T08:35:00.000Z,19936.5,601,329.5,72.5,take_profit,106,187,187
L4,long,2025-05-07T08:20:05.000Z,19982.25,600,48,303.5,stop_loss,106,187,-107.5
L4,long,2025-05-08T08:05:02.000Z,20172.5,600,164.75,193.5,stop_loss,106,187,-107.5
S3,short,2025-05-08T15:30:00.000Z,20173.5,311,32.25,163.75,stop_loss,114,196,-115.5
S3,short,2025-05-09T08:05:00.000Z,20190,601,132,98.75,max_hold_time,114,196,48
L1,long,2025-05-13T08:20:00.000Z,20854.75,601,491.75,29.5,take_profit,113,198,198
L1,long,2025-05-14T09:05:00.000Z,21247.5,601,172,9.25,max_hold_time,113,198,103.25
L1,long,2025-05-15T08:15:00.000Z,21257.25,601,272.5,65.25,take_profit,113,198,197.75
L4,long,2025-05-19T08:20:19.000Z,21163.75,600,380.75,51.25,take_profit,106,187,186.75
L4,long,2025-05-19T15:05:01.000Z,21409.5,335,135,29.75,market_close,106,187,94
L1,long,2025-05-20T14:00:00.000Z,21394.75,401,79.5,96.75,market_close,113,198,31.25
L4,long,2025-05-21T09:50:04.000Z,21279.5,600,279,206.75,take_profit,106,187,187.5
L1,long,2025-06-03T08:20:00.000Z,21406.75,601,353,4.75,take_profit,113,198,197.75
L1,long,2025-06-03T15:05:00.000Z,21666,336,93.75,30.25,market_close,113,198,26
L1,long,2025-06-05T16:15:00.000Z,21867,266,4.5,363.5,stop_loss,113,198,-114.25
L1,long,2025-06-10T12:05:00.000Z,21853.5,516,138.75,110.75,market_close,113,198,95.35
L1,long,2025-06-11T08:50:05.000Z,21941.25,600,164.75,150.5,stop_loss,113,198,-113.75
L1,long,2025-06-12T08:05:00.000Z,21727.5,601,249.75,14.25,take_profit,113,198,197.75
L4,long,2025-06-13T08:20:04.000Z,21643.5,600,211.25,66.5,take_profit,106,187,186.75
S3,short,2025-06-20T12:05:08.000Z,21985.75,515,220.75,144.75,stop_loss,114,196,-115.5
L1,long,2025-06-26T13:50:01.000Z,22498,410,196,22,market_close,113,198,166
S3,short,2025-07-01T12:20:00.000Z,22793.5,501,199,54.75,take_profit,114,196,195.75
L1,long,2025-07-02T08:24:06.000Z,22729,600,119.25,147,stop_loss,113,198,-114.5
L1,long,2025-07-02T13:10:00.000Z,22643.5,451,210.5,9.75,take_profit,113,198,198.75
L1,long,2025-07-09T13:40:03.000Z,23048,420,64,128.25,stop_loss,113,198,-114.5
S3,short,2025-07-22T11:50:00.000Z,23325.5,531,217.5,24.25,take_profit,114,196,195.75
L4,long,2025-07-23T12:50:00.000Z,23243.5,471,161.75,96.75,market_close,106,187,48.75
S1,short,2025-07-28T14:00:00.000Z,23520,401,83.25,9,market_close,131,211,38
S3,short,2025-07-31T15:10:00.000Z,23547.25,331,256.75,69.75,take_profit,114,196,196
S1,short,2025-08-07T15:20:00.000Z,23539.75,321,210.75,18.75,market_close,131,211,83
L1,long,2025-08-12T13:45:00.000Z,23737,416,213,115,stop_loss,113,198,-114.5
S3,short,2025-08-15T08:50:01.000Z,23879.5,600,145,47.75,max_hold_time,114,196,78.5
L3,long,2025-08-20T15:35:00.000Z,23252,306,116.75,99.5,market_close,184,278,95.75
L4,long,2025-08-28T14:40:00.000Z,23672,361,131.75,7,market_close,106,187,108.95
L4,long,2025-09-09T14:50:00.000Z,23760.75,351,148.5,20,market_close,106,187,107.75
S1,short,2025-09-17T13:40:00.000Z,24481,421,239,69.75,take_profit,131,211,211.6
L1,long,2025-09-22T09:04:55.000Z,24781.25,600,238,21,take_profit,113,198,197.75
S3,short,2025-09-24T08:20:00.000Z,24895,601,268,18.5,take_profit,114,196,196
S3,short,2025-09-29T08:20:00.000Z,24868.5,601,68.25,107,max_hold_time,114,196,9.25
L4,long,2025-09-30T08:20:00.000Z,24786.25,601,76.5,64,max_hold_time,106,187,27.5
L1,long,2025-10-01T08:35:40.000Z,24710.5,600,313.5,7.25,take_profit,113,198,197.75
S3,short,2025-10-07T14:25:00.000Z,25233,376,248.25,2.75,take_profit,114,196,195.75
S2,short,2025-10-10T15:45:00.000Z,24861.25,296,477,47,take_profit,129,211,210.75
S1,short,2025-10-14T15:50:00.000Z,24802.75,291,117,144.75,stop_loss,131,211,-132.5
S1,short,2025-10-15T12:10:00.000Z,24999.25,511,336,115.75,take_profit,131,211,211.5
S1,short,2025-10-16T08:05:01.000Z,25040.75,600,308.75,138.75,stop_loss,131,211,-131.25
S2,short,2025-10-16T15:20:00.000Z,25119.25,321,475.75,8,take_profit,129,211,210.75
S1,short,2025-10-16T16:55:00.000Z,24853,226,209.5,114,market_close,131,211,20
L3,long,2025-10-17T08:20:00.000Z,24424.5,601,600.75,14.5,take_profit,184,278,277.75
L3,long,2025-10-17T13:50:00.000Z,24765.75,411,290,90.75,take_profit,184,278,277.75
S3,short,2025-10-22T11:50:01.000Z,25216.5,530,411.75,72.75,take_profit,114,196,196
L1,long,2025-11-03T16:30:00.000Z,26052.25,311,127.75,8.75,market_close,113,198,34.95
L4,long,2025-11-05T16:55:00.000Z,25783.25,286,96.75,88.75,market_close,106,187,-0.5
S3,short,2025-11-06T10:31:18.000Z,25769,600,571.25,53.25,take_profit,114,196,195.75
L3,long,2025-11-07T15:50:00.000Z,24860.5,351,359.5,151.25,market_close,184,278,247.25
L4,long,2025-11-10T17:35:00.000Z,25570.5,246,190,2.75,take_profit,106,187,186.75
L4,long,2025-11-11T16:30:00.000Z,25511.5,311,184.75,33,market_close,106,187,152
S2,short,2025-11-12T09:05:01.000Z,25789,600,300.25,41,take_profit,129,211,210.75
S3,short,2025-11-13T09:35:01.000Z,25562.5,600,549.75,66.75,take_profit,114,196,196.25
L3,long,2025-11-14T12:50:00.000Z,24726.75,531,566.5,100.75,take_profit,184,278,278.5
L3,long,2025-11-18T15:05:00.000Z,24444.75,396,365.5,68.5,take_profit,184,278,278.75
L3,long,2025-11-19T14:35:00.000Z,24631.5,426,356.5,124.5,take_profit,184,278,278
S3,short,2025-11-20T09:23:24.000Z,25116,600,911,194,stop_loss,114,196,-115.5
S3,short,2025-11-20T14:35:00.000Z,25189.25,426,1109.25,120.75,stop_loss,114,196,-114.5
S2,short,2025-11-20T17:05:03.000Z,24598.75,275,518.75,0,take_profit,129,211,210.75
L3,long,2025-11-24T09:40:56.000Z,24399.5,600,561.5,37.75,take_profit,184,278,278.5
L4,long,2025-11-26T09:35:04.000Z,25152.5,600,223.5,34,take_profit,106,187,187.25
L4,long,2025-12-01T09:20:00.000Z,25312.5,601,183.25,103.25,max_hold_time,106,187,117
S3,short,2025-12-12T15:20:00.000Z,25436.25,381,318.25,9.75,take_profit,114,196,195.75
L3,long,2025-12-18T09:05:00.000Z,25049,601,363.5,18,take_profit,184,278,278.35
L4,long,2025-12-19T14:50:11.000Z,25547,410,53.25,87,market_close,106,187,27.5
L4,long,2025-12-23T09:20:01.000Z,25713.25,599,78.5,105,max_hold_time,106,187,76.5
S3,short,2025-12-30T09:20:14.000Z,25739.5,600,65.25,54.25,max_hold_time,114,196,-2.25
S3,short,2025-12-31T13:55:00.000Z,25701.75,466,265.75,15,take_profit,114,196,195.75
S3,short,2026-01-02T14:20:02.000Z,25669.75,440,404.5,134,stop_loss,114,196,-115.5
S3,short,2026-01-09T16:55:00.000Z,25915.5,286,33.5,70,market_close,114,196,-30.75
S3,short,2026-01-13T09:35:00.000Z,25923,601,113.75,122.5,stop_loss,114,196,-115.5
S3,short,2026-01-13T16:05:00.000Z,25888.5,336,85.25,137.25,stop_loss,114,196,-115.5
S3,short,2026-01-13T17:50:00.000Z,25944.75,231,141.5,3,market_close,114,196,50
S1,short,2026-01-15T09:35:00.000Z,25815.5,601,62.25,137.25,stop_loss,131,211,-132.25
S3,short,2026-01-15T15:50:00.000Z,25823.25,351,146.75,114.75,stop_loss,114,196,-115.25
S1,short,2026-01-16T09:05:00.000Z,25833,601,241.5,58,take_profit,131,211,210.75
L3,long,2026-01-20T09:20:00.000Z,25165,601,264.75,69.75,max_hold_time,184,278,12
L3,long,2026-01-21T09:05:02.000Z,25223.25,600,271,198.25,stop_loss,184,278,-185.5
L3,long,2026-01-21T12:40:00.000Z,25050,541,603.5,17.25,take_profit,184,278,279.25
L3,long,2026-01-21T17:20:00.000Z,25191.25,261,462.25,40.5,take_profit,184,278,277.75
S1,short,2026-01-27T09:05:06.000Z,25986.5,600,69.25,120.25,max_hold_time,131,211,-93.25
S3,short,2026-01-29T09:25:00.000Z,26267.75,601,731.75,2,take_profit,114,196,195.75
L3,long,2026-01-29T15:50:00.000Z,25603.25,351,446.75,67.25,take_profit,184,278,279.75
