dateEt,timeEt,timestamp,strategy,ruleId,side,symbol,action,entry,stop_loss,take_profit,status,reason,breakevenTrigger,breakevenOffset,maxHoldBars
2026-06-01,07:37:02,2026-06-01T11:37:02.531Z,LS_FLIP_TRIGGER_BAR,,LONG,MNQM6,place_limit,30479,30467,30494,ACCEPTED,,,,
2026-06-01,07:45:02,2026-06-01T11:45:02.316Z,LS_FLIP_TRIGGER_BAR,,LONG,MNQM6,place_limit,30483.5,30471.5,30498.5,ACCEPTED,,,,
2026-06-01,07:52:02,2026-06-01T11:52:02.203Z,LS_FLIP_TRIGGER_BAR,,SHORT,MNQM6,place_limit,30480.25,30492.25,30465.25,REJECTED,no_accounts_passed_gates,,,
2026-06-01,08:26:02,2026-06-01T12:26:02.415Z,LS_FLIP_TRIGGER_BAR,,LONG,MNQM6,place_limit,30447.75,30435.75,30462.75,ACCEPTED,,,,
2026-06-01,08:32:02,2026-06-01T12:32:02.123Z,LS_FLIP_TRIGGER_BAR,,SHORT,MNQM6,place_limit,30446,30458,30431,REJECTED,no_accounts_passed_gates,,,
2026-06-01,08:35:02,2026-06-01T12:35:02.501Z,LS_FLIP_TRIGGER_BAR,,SHORT,MNQM6,place_limit,30444.75,30456.75,30429.75,REJECTED,no_accounts_passed_gates,,,
2026-06-01,08:37:02,2026-06-01T12:37:02.843Z,LS_FLIP_TRIGGER_BAR,,LONG,MNQM6,place_limit,30449,30437,30464,REJECTED,no_accounts_passed_gates,,,
2026-06-01,08:53:03,2026-06-01T12:53:03.027Z,LS_FLIP_TRIGGER_BAR,,SHORT,MNQM6,place_limit,30470.5,30482.5,30455.5,ACCEPTED,,,,
2026-06-01,09:13:02,2026-06-01T13:13:02.360Z,GEX_LEVEL_FADE,,LONG,MNQM6,place_limit,30415,30393,30525,ACCEPTED,,,,
2026-06-01,09:34:02,2026-06-01T13:34:02.247Z,LS_FLIP_TRIGGER_BAR,,LONG,MNQM6,place_limit,30379.5,30367.5,30394.5,ACCEPTED,,,,
2026-06-01,09:35:02,2026-06-01T13:35:02.603Z,GEX_LEVEL_FADE,,LONG,MNQM6,place_limit,30415,30393,30525,ACCEPTED,,,,
2026-06-01,09:36:09,2026-06-01T13:36:09.535Z,GEX_LEVEL_FADE,,LONG,MNQM6,place_limit,30415,30393,30525,REJECTED,no_accounts_passed_gates,,,
2026-06-01,09:36:50,2026-06-01T13:36:50.921Z,GEX_LEVEL_FADE,,LONG,MNQM6,place_limit,30415,30393,30525,ACCEPTED,,,,
2026-06-01,09:38:02,2026-06-01T13:38:02.145Z,GEX_LEVEL_FADE,,SHORT,MNQM6,place_limit,30444,30466,30334,REJECTED,no_accounts_passed_gates,,,
2026-06-01,09:41:02,2026-06-01T13:41:02.985Z,GEX_FLIP_IVPCT,S3,SHORT,MNQM6,place_limit,30436.75,30496.75,30176.75,REJECTED,no_accounts_passed_gates,,,
2026-06-01,09:53:02,2026-06-01T13:53:02.899Z,GEX_LT_3M_CROSSOVER,S_CW,SHORT,MNQM6,place_limit,30416.25,30486.25,30216.25,REJECTED,no_accounts_passed_gates,,,
2026-06-01,09:54:02,2026-06-01T13:54:02.206Z,GEX_LEVEL_FADE,,LONG,MNQM6,place_limit,30415,30393,30525,REJECTED,no_accounts_passed_gates,,,
2026-06-01,09:59:02,2026-06-01T13:59:02.440Z,GEX_LT_3M_CROSSOVER,S_CW,SHORT,MNQM6,place_limit,30358.25,30428.25,30158.25,REJECTED,no_accounts_passed_gates,,,
2026-06-01,10:01:02,2026-06-01T14:01:02.483Z,LS_FLIP_TRIGGER_BAR,,SHORT,MNQM6,place_limit,30318.25,30330.25,30303.25,REJECTED,no_accounts_passed_gates,,,
2026-06-01,10:03:02,2026-06-01T14:03:02.922Z,LS_FLIP_TRIGGER_BAR,,LONG,MNQM6,place_limit,30325.25,30313.25,30340.25,REJECTED,no_accounts_passed_gates,,,
2026-06-01,10:05:02,2026-06-01T14:05:02.610Z,LS_FLIP_TRIGGER_BAR,,SHORT,MNQM6,place_limit,30308,30320,30293,REJECTED,no_accounts_passed_gates,,,
2026-06-01,10:07:02,2026-06-01T14:07:02.207Z,LS_FLIP_TRIGGER_BAR,,LONG,MNQM6,place_limit,30330,30318,30345,REJECTED,no_accounts_passed_gates,,,
2026-06-01,10:09:54,2026-06-01T14:09:54.887Z,GEX_LT_3M_CROSSOVER,,SHORT,MNQM6,place_limit,30358.25,30428.25,30158.25,ACCEPTED,,,,
2026-06-01,10:38:02,2026-06-01T14:38:02.608Z,GEX_LT_3M_CROSSOVER,,SHORT,MNQM6,place_limit,30416.5,30486.5,30236.5,ACCEPTED,,,,
2026-06-01,10:41:02,2026-06-01T14:41:02.886Z,GEX_LT_3M_CROSSOVER,S_CW,SHORT,MNQM6,place_limit,30404,30474,30204,REJECTED,no_accounts_passed_gates,,,
2026-06-01,10:44:02,2026-06-01T14:44:02.931Z,GEX_LT_3M_CROSSOVER,,SHORT,MNQM6,place_limit,30415.75,30485.75,30235.75,ACCEPTED,,,,
