universe,signal_ts,trading_day,side,limit_price,filled,cancel_reason,fill_ts,target_level,tp_tag,stop45,rr45,rr40,rr50,sb40_r,sb40_p,sb40_x,sb45_r,sb45_p,sb45_x,sb50_r,sb50_p,sb50_x,g20_50_20_r,g20_50_20_p,g20_50_20_x,g20_50_25_r,g20_50_25_p,g20_50_25_x,g20_50_30_r,g20_50_30_p,g20_50_30_x,g20_100_20_r,g20_100_20_p,g20_100_20_x,g20_100_25_r,g20_100_25_p,g20_100_25_x,g20_100_30_r,g20_100_30_p,g20_100_30_x,g20_150_20_r,g20_150_20_p,g20_150_20_x,g20_150_25_r,g20_150_25_p,g20_150_25_x,g20_150_30_r,g20_150_30_p,g20_150_30_x,g20_200_20_r,g20_200_20_p,g20_200_20_x,g20_200_25_r,g20_200_25_p,g20_200_25_x,g20_200_30_r,g20_200_30_p,g20_200_30_x,g25_50_20_r,g25_50_20_p,g25_50_20_x,g25_50_25_r,g25_50_25_p,g25_50_25_x,g25_50_30_r,g25_50_30_p,g25_50_30_x,g25_100_20_r,g25_100_20_p,g25_100_20_x,g25_100_25_r,g25_100_25_p,g25_100_25_x,g25_100_30_r,g25_100_30_p,g25_100_30_x,g25_150_20_r,g25_150_20_p,g25_150_20_x,g25_150_25_r,g25_150_25_p,g25_150_25_x,g25_150_30_r,g25_150_30_p,g25_150_30_x,g25_200_20_r,g25_200_20_p,g25_200_20_x,g25_200_25_r,g25_200_25_p,g25_200_25_x,g25_200_30_r,g25_200_30_p,g25_200_30_x,g30_50_20_r,g30_50_20_p,g30_50_20_x,g30_50_25_r,g30_50_25_p,g30_50_25_x,g30_50_30_r,g30_50_30_p,g30_50_30_x,g30_100_20_r,g30_100_20_p,g30_100_20_x,g30_100_25_r,g30_100_25_p,g30_100_25_x,g30_100_30_r,g30_100_30_p,g30_100_30_x,g30_150_20_r,g30_150_20_p,g30_150_20_x,g30_150_25_r,g30_150_25_p,g30_150_25_x,g30_150_30_r,g30_150_30_p,g30_150_30_x,g30_200_20_r,g30_200_20_p,g30_200_20_x,g30_200_25_r,g30_200_25_p,g30_200_25_x,g30_200_30_r,g30_200_30_p,g30_200_30_x,z25_50_25_r,z25_50_25_p,z25_50_25_x,z25_100_25_r,z25_100_25_p,z25_100_25_x,z25_150_25_r,z25_150_25_p,z25_150_25_x,z25_200_25_r,z25_200_25_p,z25_200_25_x,ms_r,ms_p,ms_x
p3,2021-01-18T08:30:00.000Z,2021-01-18,buy,15739,false,close_beyond_leg_terminus,,15768.25,external,15715,1.2188,1.2447,1.1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p1,2021-01-18T09:30:00.000Z,2021-01-18,sell,15767.25,false,close_beyond_leg_terminus,,15751.25,external,15782.5,1.0492,1.0847,1.0159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p1,2021-01-18T11:15:00.000Z,2021-01-18,buy,15757,true,,2021-01-18T14:32:43.000Z,15787.75,external,15733,1.2813,1.3085,1.2551,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000,F,23.25,1610992800000
p3,2021-01-18T11:45:00.000Z,2021-01-18,sell,15790.5,false,order_ttl_expired,,15756.25,external,15813.75,1.4731,1.5055,1.4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p2,2021-01-18T12:30:00.000Z,2021-01-18,sell,15792.25,false,close_beyond_leg_terminus,,15731.5,external,15807.25,4.0500,4.1897,3.9194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5,2021-01-18T13:45:00.000Z,2021-01-18,buy,15708.25,false,cutoff_1600_unfilled,,15789.25,external,15673.25,2.3143,2.3478,2.2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5,2021-01-18T14:00:00.000Z,2021-01-18,buy,15720.5,false,cutoff_1600_unfilled,,15797.75,external,15684,2.1164,2.1458,2.0878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p4,2021-01-18T14:45:00.000Z,2021-01-18,buy,15694.5,false,cutoff_1600_unfilled,,15782.75,legLow,15644.25,1.7562,1.7739,1.7389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,2021-01-18T15:00:00.000Z,2021-01-18,buy,15765.25,true,,2021-01-18T15:28:43.000Z,15783.5,external,15746.5,0.9733,1.0000,0.9481,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000,F,15.00,1610992800000
p1,2021-01-18T15:00:00.000Z,2021-01-18,buy,15718,false,cutoff_1600_unfilled,,15806.25,external,15678.5,2.2342,2.2628,2.2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
