signal_ts,side,entry,year,band_pts,fib_band,imb_overlap,ob_overlap,htf_align,htf1h_structure,smt,smt_status,pdh,pdl,daily_open_lvl,weekly_open_lvl,monthly_open_lvl,prev_week_high,prev_week_low,pdh_pdl_half,daily_open_half,weekly_open_half,monthly_open_half,prev_week_hl_half,confluence_count_half,pdh_pdl_primary,daily_open_primary,weekly_open_primary,monthly_open_primary,prev_week_hl_primary,confluence_count_primary,pdh_pdl_double,daily_open_double,weekly_open_double,monthly_open_double,prev_week_hl_double,confluence_count_double
2021-01-18T15:00:00.000Z,buy,15765.25,2021,15.7652,1,0,1,1,bullish,0,,,,,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,3
2021-01-19T12:45:00.000Z,sell,15886,2021,15.886,1,1,0,0,bullish,0,,,,15778.75,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2
2021-01-19T17:15:00.000Z,buy,15844.75,2021,15.8447,1,1,0,0,bearish,0,,,,15778.75,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,2
2021-01-19T21:45:00.000Z,buy,15961.75,2021,15.9618,1,1,0,1,bullish,0,,,,15778.75,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
2021-01-21T06:30:00.000Z,sell,16346.5,2021,16.3465,1,0,1,0,bullish,0,,16293.75,15983.75,16255.25,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2021-01-21T07:30:00.000Z,sell,16323.75,2021,16.3238,1,0,0,0,bullish,0,,16293.75,15983.75,16255.25,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-01-21T08:30:00.000Z,sell,16327,2021,16.327,1,0,0,0,bullish,0,,16293.75,15983.75,16255.25,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21T09:00:00.000Z,sell,16317.5,2021,16.3175,1,0,0,0,bullish,0,,16293.75,15983.75,16255.25,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-01-21T14:00:00.000Z,sell,16312.25,2021,16.3122,1,0,0,1,bearish,0,,16293.75,15983.75,16255.25,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2
2021-01-21T15:15:00.000Z,buy,16288.25,2021,16.2883,1,0,1,0,bearish,0,,16293.75,15983.75,16255.25,15741.0,15855.75,16072.0,15710.25,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2
2021-01-21T23:15:00.000Z,sell,16370.25,2021,16.3702,1,0,1,0,bullish,0,,16390.25,16250,16360.75,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,3
2021-01-22T14:30:00.000Z,buy,16290,2021,16.29,1,1,1,0,bearish,0,,16390.25,16250,16360.75,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
2021-01-22T21:00:00.000Z,sell,16349.75,2021,16.3498,1,0,1,1,bearish,0,,16390.25,16250,16360.75,15741.0,15855.75,16072.0,15710.25,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,3
2021-01-24T23:15:00.000Z,buy,16333.75,2021,16.3338,1,1,0,0,bearish,0,,16369,16267,16336.75,16336.75,15855.75,16390.25,15693.75,0,1,1,0,0,3,0,1,1,0,0,3,0,1,1,0,0,3
2021-01-25T08:00:00.000Z,buy,16428.25,2021,16.4283,1,1,1,1,bullish,0,,16369,16267,16336.75,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
2021-01-25T20:15:00.000Z,sell,16398.5,2021,16.3985,1,0,0,1,bearish,0,,16369,16267,16336.75,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,3
2021-01-26T04:45:00.000Z,sell,16415.75,2021,16.4157,1,0,0,1,bearish,0,,16521.25,16155.75,16426.5,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,3
2021-01-26T08:45:00.000Z,buy,16368.75,2021,16.3687,1,0,1,0,bearish,0,agree,16521.25,16155.75,16426.5,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3
2021-01-26T11:45:00.000Z,buy,16404.75,2021,16.4047,1,1,0,0,bearish,1,divergent,16521.25,16155.75,16426.5,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,2,0,0,0,0,1,3,0,1,0,0,1,4
2021-01-26T14:45:00.000Z,sell,16444.5,2021,16.4445,1,0,0,1,bearish,0,,16521.25,16155.75,16426.5,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
2021-01-26T15:45:00.000Z,buy,16424.25,2021,16.4243,1,0,1,0,bearish,1,divergent,16521.25,16155.75,16426.5,16336.75,15855.75,16390.25,15693.75,0,1,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,3
2021-01-26T21:15:00.000Z,buy,16476.25,2021,16.4763,1,0,1,1,bullish,0,agree,16521.25,16155.75,16426.5,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
2021-01-27T06:00:00.000Z,buy,16514.25,2021,16.5143,1,0,1,1,bullish,1,divergent,16566.5,16347,16517.75,16336.75,15855.75,16390.25,15693.75,0,1,0,0,0,4,0,1,0,0,0,4,0,1,0,0,0,4
2021-01-27T08:30:00.000Z,sell,16520.25,2021,16.5203,1,1,1,0,bullish,0,agree,16566.5,16347,16517.75,16336.75,15855.75,16390.25,15693.75,0,1,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,3
2021-01-28T19:15:00.000Z,sell,16341.75,2021,16.3418,1,0,0,0,bullish,1,divergent,16553.25,15851.5,16019.25,16336.75,15855.75,16390.25,15693.75,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2
2021-01-29T08:15:00.000Z,sell,15998.25,2021,15.9983,1,1,0,0,bullish,1,divergent,16360.75,15873,16122.75,16336.75,15855.75,16390.25,15693.75,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
2021-02-01T02:00:00.000Z,sell,15829.25,2021,15.8293,1,0,1,1,bearish,1,divergent,16154.75,15795.75,15815.75,15815.75,15815.75,16566.5,15795.75,0,0,0,0,0,3,0,1,1,1,0,6,0,1,1,1,0,6
2021-02-01T14:45:00.000Z,buy,16013,2021,16.013,1,0,1,1,bullish,0,agree,16154.75,15795.75,15815.75,15815.75,15815.75,16566.5,15795.75,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
2021-02-01T21:15:00.000Z,sell,16208.5,2021,16.2085,1,0,1,0,bullish,1,divergent,16154.75,15795.75,15815.75,15815.75,15815.75,16566.5,15795.75,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
2021-02-02T01:15:00.000Z,buy,16197,2021,16.197,1,1,1,1,bullish,1,divergent,16238.25,15694,16199.25,15815.75,15815.75,16566.5,15795.75,0,1,0,0,0,5,0,1,0,0,0,5,0,1,0,0,0,5
2021-02-02T08:30:00.000Z,buy,16284,2021,16.284,1,1,1,1,bullish,0,agree,16238.25,15694,16199.25,15815.75,15815.75,16566.5,15795.75,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
2021-02-02T14:45:00.000Z,buy,16324.5,2021,16.3245,1,0,0,1,bullish,1,divergent,16238.25,15694,16199.25,15815.75,15815.75,16566.5,15795.75,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2
2021-02-02T20:45:00.000Z,sell,16446.5,2021,16.4465,1,0,1,0,bullish,0,agree,16238.25,15694,16199.25,15815.75,15815.75,16566.5,15795.75,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
