universe,signal_ts,trading_day,side,limit_price,filled,cancel_reason,fill_ts,mfe_pts,mfe_ts,mae_pts,mae_ts,close_1600_pnl_pts,minutes_held,mfe_before_mae,year,entry_hour_et,signal_hour_et,sweep_level,swept_level_type,mss_ts,model,stop_distance,imb_confluence,ob_confluence,stop_loss,take_profit,s_to_fav_5,s_to_fav_10,s_to_fav_15,s_to_fav_20,s_to_fav_30,s_to_fav_50,s_to_adv_5,s_to_adv_10,s_to_adv_15,s_to_adv_20,s_to_adv_30,s_to_adv_50
p3,2021-01-18T08:30:00.000Z,2021-01-18,buy,15739,false,close_beyond_leg_terminus,,,,,,,,,2021,3,3,,,,W,20.5,,,15718.5,15756.5,,,,,,,,,,,,
p1,2021-01-18T09:30:00.000Z,2021-01-18,sell,15767.25,false,close_beyond_leg_terminus,,,,,,,,,2021,4,4,,,,M,11.75,,,15779,15752.5,,,,,,,,,,,,
p1,2021-01-18T11:15:00.000Z,2021-01-18,buy,15757,true,,2021-01-18T14:32:43.000Z,25.00,2021-01-18T15:55:33.000Z,6.00,2021-01-18T14:33:20.000Z,23.75,207.28,false,2021,9,6,,,,W,20.5,,,15736.5,15786.5,291,1177,1288,1350,,,35,,,,,
p3,2021-01-18T11:45:00.000Z,2021-01-18,sell,15790.5,false,order_ttl_expired,,,,,,,,,2021,6,6,,,,M,19.75,,,15810.25,15758.25,,,,,,,,,,,,
p2,2021-01-18T12:30:00.000Z,2021-01-18,sell,15792.25,false,close_beyond_leg_terminus,,,,,,,,,2021,7,7,,,,M,11.5,,,15803.75,15761.5,,,,,,,,,,,,
p5,2021-01-18T13:45:00.000Z,2021-01-18,buy,15708.25,false,cutoff_1600_unfilled,,,,,,,,,2021,8,8,,,,W,31.5,,,15676.75,15784.25,,,,,,,,,,,,
p5,2021-01-18T14:00:00.000Z,2021-01-18,buy,15720.5,false,cutoff_1600_unfilled,,,,,,,,,2021,9,9,,,,W,33,,,15687.5,15792.75,,,,,,,,,,,,
p4,2021-01-18T14:45:00.000Z,2021-01-18,buy,15694.5,false,cutoff_1600_unfilled,,,,,,,,,2021,9,9,,,,W,46.75,,,15647.75,15782.75,,,,,,,,,,,,
p1,2021-01-18T15:00:00.000Z,2021-01-18,buy,15718,false,cutoff_1600_unfilled,,,,,,,,,2021,10,10,,,,W,36,,,15682,15796.75,,,,,,,,,,,,
p2,2021-01-18T15:30:00.000Z,2021-01-18,sell,15802.5,false,cutoff_1600_unfilled,,,,,,,,,2021,10,10,,,,M,27.75,,,15830.25,15761,,,,,,,,,,,,
p1,2021-01-18T23:15:00.000Z,2021-01-19,buy,15745.5,false,close_beyond_leg_terminus,,,,,,,,,2021,18,18,,,,W,27.25,,,15718.25,15791.25,,,,,,,,,,,,
p3,2021-01-18T23:15:00.000Z,2021-01-19,sell,15848.75,true,,2021-01-19T01:36:19.000Z,32.75,2021-01-19T16:18:27.000Z,124.50,2021-01-19T20:04:29.000Z,-103.00,1163.68,true,2021,20,18,,,,M,35.75,,,15884.5,15782.25,703,47833,47920,47971,52924,,138,2849,5947,6228,6233,6627
p4,2021-01-18T23:15:00.000Z,2021-01-19,sell,15852.5,true,,2021-01-19T01:38:37.000Z,36.50,2021-01-19T16:18:27.000Z,120.75,2021-01-19T20:04:29.000Z,-99.25,1161.38,true,2021,20,18,,,,M,46,,,15898.5,15781.25,144,47447,47724,47782,52776,,2711,5808,6090,6090,6476,6489
p5,2021-01-18T23:15:00.000Z,2021-01-19,buy,15753.5,false,close_beyond_leg_terminus,,,,,,,,,2021,18,18,,,,W,27.5,,,15726,15786.75,,,,,,,,,,,,
p2,2021-01-19T03:30:00.000Z,2021-01-19,sell,15932.75,false,close_beyond_leg_terminus,,,,,,,,,2021,22,22,,,,M,13.5,,,15946.25,15897.25,,,,,,,,,,,,
p2,2021-01-19T05:45:00.000Z,2021-01-19,buy,15879.5,true,,2021-01-19T05:48:59.000Z,93.75,2021-01-19T20:04:29.000Z,63.50,2021-01-19T16:18:27.000Z,72.25,911.02,false,2021,0,0,,,,W,7,,,15872.5,15890,166,2574,6121,6348,42947,44148,1050,24261,25024,29409,32336,32783
p1,2021-01-19T06:15:00.000Z,2021-01-19,sell,15886,true,,2021-01-19T06:24:42.000Z,70.00,2021-01-19T16:18:27.000Z,87.25,2021-01-19T20:04:29.000Z,-65.75,875.30,true,2021,1,1,,,,M,8,,,15894,15877.25,1303,7855,22116,22292,29192,30560,574,4143,4205,4206,41580,42326
p3,2021-01-19T06:45:00.000Z,2021-01-19,sell,15901.5,false,close_beyond_leg_terminus,,,,,,,,,2021,1,1,,,,M,17.25,,,15918.75,15882,,,,,,,,,,,,
p5,2021-01-19T06:45:00.000Z,2021-01-19,buy,15866.25,false,close_beyond_leg_terminus,,,,,,,,,2021,1,1,,,,W,14,,,15852.25,15884.5,,,,,,,,,,,,
p3,2021-01-19T07:00:00.000Z,2021-01-19,sell,15920,false,close_beyond_leg_terminus,,,,,,,,,2021,2,2,,,,M,21.5,,,15941.5,15878.75,,,,,,,,,,,,
p3,2021-01-19T07:45:00.000Z,2021-01-19,buy,15865.25,true,,2021-01-19T12:46:01.000Z,108.00,2021-01-19T20:04:29.000Z,49.25,2021-01-19T16:18:27.000Z,86.50,493.98,false,2021,7,2,,,,W,29.5,,,15835.75,15907.25,192,621,6282,6397,6435,18701,20,7302,7304,7350,7695,
p4,2021-01-19T09:00:00.000Z,2021-01-19,buy,15853,false,close_beyond_leg_terminus,,,,,,,,,2021,4,4,,,,W,26.25,,,15826.75,15888,,,,,,,,,,,,
p5,2021-01-19T09:00:00.000Z,2021-01-19,buy,15846.5,false,close_beyond_leg_terminus,,,,,,,,,2021,4,4,,,,W,19,,,15827.5,15882.25,,,,,,,,,,,,
p3,2021-01-19T09:30:00.000Z,2021-01-19,sell,15900.75,true,,2021-01-19T11:13:42.000Z,84.75,2021-01-19T16:18:27.000Z,72.50,2021-01-19T20:04:29.000Z,-51.00,586.30,true,2021,6,4,,,,M,12,,,15912.75,15871.25,467,2860,2999,3701,4776,12843,23462,23471,24240,24294,24680,27323
p4,2021-01-19T11:00:00.000Z,2021-01-19,buy,15828.25,true,,2021-01-19T14:55:50.000Z,145.00,2021-01-19T20:04:29.000Z,12.25,2021-01-19T16:18:27.000Z,123.50,364.17,false,2021,9,6,,,,W,46.5,,,15781.75,15926,11,100,120,221,551,1148,4940,4953,,,,
p1,2021-01-19T14:45:00.000Z,2021-01-19,buy,15779.75,false,close_beyond_leg_terminus,,,,,,,,,2021,9,9,,,,W,43.25,,,15736.5,15876.5,,,,,,,,,,,,
p4,2021-01-19T14:45:00.000Z,2021-01-19,sell,15917.5,true,,2021-01-19T17:57:42.000Z,3.00,2021-01-19T17:57:42.000Z,55.75,2021-01-19T20:04:29.000Z,-34.25,182.30,true,2021,12,9,,,,M,33.75,,,15951.25,15820.5,,,,,,,59,206,544,754,2853,7556
p1,2021-01-19T15:00:00.000Z,2021-01-19,sell,15935.5,false,close_beyond_leg_terminus,,,,,,,,,2021,10,10,,,,M,45,,,15980.5,15848,,,,,,,,,,,,
p4,2021-01-19T15:45:00.000Z,2021-01-19,buy,15780.75,false,close_beyond_leg_terminus,,,,,,,,,2021,10,10,,,,W,40.75,,,15740,15874.5,,,,,,,,,,,,
p3,2021-01-19T16:30:00.000Z,2021-01-19,sell,15874,true,,2021-01-19T16:53:03.000Z,11.00,2021-01-19T17:00:42.000Z,99.25,2021-01-19T20:04:29.000Z,-77.75,246.95,true,2021,11,11,,,,M,26.5,,,15900.5,15826.25,65,425,,,,,564,1318,2256,2285,3095,3982
p3,2021-01-19T21:00:00.000Z,2021-01-19,buy,15894.75,false,post_cutoff_emission,,,,,,,,,2021,16,16,,,,W,40,,,15854.75,15952.5,,,,,,,,,,,,
p5,2021-01-20T01:45:00.000Z,2021-01-20,buy,15962.5,false,close_beyond_leg_terminus,,,,,,,,,2021,20,20,,,,W,20,,,15942.5,16001.75,,,,,,,,,,,,
p4,2021-01-20T08:30:00.000Z,2021-01-20,buy,15959.75,false,close_beyond_leg_terminus,,,,,,,,,2021,3,3,,,,W,47.5,,,15912.25,16046.25,,,,,,,,,,,,
p4,2021-01-20T08:45:00.000Z,2021-01-20,buy,16045,true,,2021-01-20T08:47:51.000Z,248.75,2021-01-20T20:44:07.000Z,23.00,2021-01-20T09:14:51.000Z,207.25,732.15,false,2021,3,3,,,,W,18.25,,,16026.75,16059.5,4759,6632,7495,7809,15129,18860,227,268,376,1583,,
p2,2021-01-20T09:30:00.000Z,2021-01-20,sell,16050.5,true,,2021-01-20T10:07:10.000Z,6.00,2021-01-20T10:13:35.000Z,243.25,2021-01-20T20:44:07.000Z,-201.75,652.83,true,2021,5,4,,,,M,15,,,16065.5,16030.25,383,,,,,,1876,2736,3050,10189,11321,14890
p5,2021-01-20T09:30:00.000Z,2021-01-20,buy,15976,false,close_beyond_leg_terminus,,,,,,,,,2021,4,4,,,,W,46.25,,,15929.75,16035.75,,,,,,,,,,,,
p3,2021-01-20T11:15:00.000Z,2021-01-20,sell,16101.25,false,close_beyond_leg_terminus,,,,,,,,,2021,6,6,,,,M,24.75,,,16126,16056.25,,,,,,,,,,,,
p2,2021-01-20T12:00:00.000Z,2021-01-20,sell,16090.75,true,,2021-01-20T14:00:57.000Z,3.25,2021-01-20T14:01:44.000Z,203.00,2021-01-20T20:44:07.000Z,-161.50,419.05,true,2021,9,7,,,,M,16,,,16106.75,16041.5,,,,,,,105,874,1743,1748,2054,2318
