universe,signal_ts,trading_day,side,limit_price,filled,cancel_reason,fill_ts,mfe_pts,mfe_ts,mae_pts,mae_ts,close_1600_pnl_pts,minutes_held,mfe_before_mae,year,entry_hour_et,signal_hour_et,sweep_level,swept_level_type,mss_ts,model,stop_distance,imb_confluence,ob_confluence,stop_loss,take_profit,s_to_fav_5,s_to_fav_10,s_to_fav_15,s_to_fav_20,s_to_fav_30,s_to_fav_50,s_to_adv_5,s_to_adv_10,s_to_adv_15,s_to_adv_20,s_to_adv_30,s_to_adv_50
real,2021-01-18T15:00:00.000Z,2021-01-18,buy,15765.25,true,,2021-01-18T15:28:43.000Z,16.75,2021-01-18T15:55:33.000Z,5.00,2021-01-18T15:29:19.000Z,15.50,151.28,false,2021,10,10,15760,swing,2021-01-18T15:00:00.000Z,W,15.25,false,true,15750,15780.5,409,530,566,,,,36,,,,,
real,2021-01-19T12:45:00.000Z,2021-01-19,sell,15886,false,close_beyond_leg_terminus,,,,,,,,,2021,7,7,15893.25,swing,2021-01-19T12:45:00.000Z,M,21.75,true,false,15907.75,15866,,,,,,,,,,,,
real,2021-01-19T17:15:00.000Z,2021-01-19,buy,15844.75,false,close_beyond_leg_terminus,,,,,,,,,2021,12,12,15824.5,swing,2021-01-19T17:15:00.000Z,W,29.75,true,,15815,15883.5,,,,,,,,,,,,
real,2021-01-19T21:45:00.000Z,2021-01-19,buy,15961.75,false,post_cutoff_emission,,,,,,,,,2021,16,16,15938.25,swing,2021-01-19T21:45:00.000Z,W,31,true,,15930.75,15987.25,,,,,,,,,,,,
real,2021-01-21T06:30:00.000Z,2021-01-21,sell,16346.5,false,close_beyond_leg_terminus,,,,,,,,,2021,1,1,16293.75,pdh,2021-01-21T06:30:00.000Z,M,13.25,false,true,16359.75,16323.25,,,,,,,,,,,,
real,2021-01-21T07:30:00.000Z,2021-01-21,sell,16323.75,true,,2021-01-21T07:36:09.000Z,73.75,2021-01-21T14:42:03.000Z,66.50,2021-01-21T20:49:07.000Z,-40.25,803.85,true,2021,2,2,16293.75,pdh,2021-01-21T07:30:00.000Z,M,6.75,false,,16330.5,16320.25,2518,2539,2612,2616,22533,22686,467,917,1540,27794,29966,44922
real,2021-01-21T08:30:00.000Z,2021-01-21,sell,16327,true,,2021-01-21T09:02:16.000Z,77.00,2021-01-21T14:42:03.000Z,63.25,2021-01-21T20:49:07.000Z,-37.00,717.73,true,2021,4,3,16293.75,pdh,2021-01-21T08:30:00.000Z,M,14,false,,16341,16302,266,862,1411,4323,17078,17500,16454,22263,22622,24253,25289,41717
real,2021-01-21T09:00:00.000Z,2021-01-21,sell,16317.5,true,,2021-01-21T09:00:03.000Z,67.50,2021-01-21T14:42:03.000Z,72.75,2021-01-21T20:49:07.000Z,-46.50,719.95,true,2021,4,4,16293.75,pdh,2021-01-21T09:00:00.000Z,M,5,false,,16322.5,16310.5,1542,4406,17181,17209,17570,20020,66,133,16590,22398,24386,38109
real,2021-01-21T14:00:00.000Z,2021-01-21,sell,16312.25,false,close_beyond_leg_terminus,,,,,,,,,2021,9,9,16293.75,pdh,2021-01-21T14:00:00.000Z,M,23,false,,16335.25,16272,,,,,,,,,,,,
real,2021-01-21T15:15:00.000Z,2021-01-21,buy,16288.25,false,close_beyond_leg_terminus,,,,,,,,,2021,10,10,16338,swing,2021-01-21T15:15:00.000Z,W,39.25,false,true,16249,16338.5,,,,,,,,,,,,
real,2021-01-21T23:15:00.000Z,2021-01-22,sell,16370.25,false,close_beyond_leg_terminus,,,,,,,,,2021,18,18,16293.75,pdh,2021-01-21T23:15:00.000Z,M,21,false,true,16391.25,16344.75,,,,,,,,,,,,
real,2021-01-22T14:30:00.000Z,2021-01-22,buy,16290,false,close_beyond_leg_terminus,,,,,,,,,2021,9,9,16291.75,swing,2021-01-22T14:30:00.000Z,W,24,true,true,16266,16316.25,,,,,,,,,,,,
real,2021-01-22T21:00:00.000Z,2021-01-22,sell,16349.75,false,post_cutoff_emission,,,,,,,,,2021,16,16,16302,swing,2021-01-22T21:00:00.000Z,M,15,false,true,16364.75,16320.5,,,,,,,,,,,,
real,2021-01-24T23:15:00.000Z,2021-01-25,buy,16333.75,false,close_beyond_leg_terminus,,,,,,,,,2021,18,18,16330.75,swing,2021-01-24T23:15:00.000Z,W,24.5,true,false,16309.25,16360.25,,,,,,,,,,,,
real,2021-01-25T08:00:00.000Z,2021-01-25,buy,16428.25,false,close_beyond_leg_terminus,,,,,,,,,2021,3,3,16419.75,swing,2021-01-25T08:00:00.000Z,W,10.5,true,true,16417.75,16450.5,,,,,,,,,,,,
real,2021-01-25T20:15:00.000Z,2021-01-25,sell,16398.5,true,,2021-01-25T20:43:15.000Z,2.75,2021-01-25T20:44:27.000Z,48.00,2021-01-25T20:59:56.000Z,-42.75,16.75,true,2021,15,15,16369,pdh,2021-01-25T20:15:00.000Z,M,21.75,false,,16420.25,16355.5,,,,,,,98,116,222,410,465,
real,2021-01-26T04:45:00.000Z,2021-01-26,sell,16415.75,true,,2021-01-26T09:01:15.000Z,28.50,2021-01-26T10:50:39.000Z,84.00,2021-01-26T16:06:25.000Z,-35.75,718.75,true,2021,4,23,16369,pdh,2021-01-26T04:45:00.000Z,M,35.75,false,false,16451.5,16347.25,479,2198,2244,3120,,,890,9561,9775,10113,10205,19727
real,2021-01-26T08:45:00.000Z,2021-01-26,buy,16368.75,false,close_beyond_leg_terminus,,,,,,,,,2021,3,3,16389.25,swing,2021-01-26T08:45:00.000Z,W,22.75,false,true,16346,16405.25,,,,,,,,,,,,
real,2021-01-26T11:45:00.000Z,2021-01-26,buy,16404.75,false,close_beyond_leg_terminus,,,,,,,,,2021,6,6,16390.5,swing,2021-01-26T11:45:00.000Z,W,18.5,true,,16386.25,16430.5,,,,,,,,,,,,
real,2021-01-26T14:45:00.000Z,2021-01-26,sell,16444.5,true,,2021-01-26T14:59:01.000Z,37.50,2021-01-26T15:20:17.000Z,55.25,2021-01-26T16:06:25.000Z,-7.00,360.98,true,2021,9,9,16381.25,swing,2021-01-26T14:45:00.000Z,M,32.5,false,,16477,16401.25,691,741,746,779,1209,,62,188,247,298,2980,4021
real,2021-01-26T15:45:00.000Z,2021-01-26,buy,16424.25,false,close_beyond_leg_terminus,,,,,,,,,2021,10,10,16418,swing,2021-01-26T15:45:00.000Z,W,31.75,false,true,16392.5,16473.5,,,,,,,,,,,,
real,2021-01-26T21:15:00.000Z,2021-01-26,buy,16476.25,false,post_cutoff_emission,,,,,,,,,2021,16,16,16447.25,swing,2021-01-26T21:15:00.000Z,W,41.5,false,true,16434.75,16566.25,,,,,,,,,,,,
real,2021-01-27T06:00:00.000Z,2021-01-27,buy,16514.25,true,,2021-01-27T07:09:36.000Z,19.00,2021-01-27T09:03:21.000Z,526.50,2021-01-27T20:37:35.000Z,-427.75,830.40,true,2021,2,1,16505.75,swing,2021-01-27T06:00:00.000Z,W,13.25,false,true,16501,16534,174,711,6812,,,,3045,3206,4058,13528,13845,16350
