signal_ts,trading_day,side,limit_price,filled,cancel_reason,fill_ts,stop45,target_level,tp_tag,rr40,rr45,rr50,sb40_r,sb40_p,sb45_r,sb45_p,sb45_x,sb50_r,sb50_p
2021-01-18T15:00:00.000Z,2021-01-18,buy,15765.25,True,,2021-01-18T15:28:43.000Z,15746.5,15783.5,external,1.0,0.9733,0.9481,F,15.0,F,15.0,1610992800000.0,F,15.0
2021-01-19T12:45:00.000Z,2021-01-19,sell,15886.0,False,close_beyond_leg_terminus,,15911.25,15846.5,external,1.596,1.5644,1.534,,,,,,,
2021-01-19T17:15:00.000Z,2021-01-19,buy,15844.75,False,close_beyond_leg_terminus,,15811.5,15893.25,external,1.4809,1.4586,1.437,,,,,,,
2021-01-19T21:45:00.000Z,2021-01-19,buy,15961.75,False,post_cutoff_emission,,15927.25,15987.25,legLow,0.75,0.7391,0.7286,,,,,,,
2021-01-21T06:30:00.000Z,2021-01-21,sell,16346.5,False,close_beyond_leg_terminus,,16363.25,16314.0,external,2.0,1.9403,1.8841,,,,,,,
2021-01-21T07:30:00.000Z,2021-01-21,sell,16323.75,True,,2021-01-21T07:36:09.000Z,16334.0,16314.0,external,1.0,0.9512,0.907,S,-10.25,S,-10.75,1611215487000.0,S,-11.25
2021-01-21T08:30:00.000Z,2021-01-21,sell,16327.0,True,,2021-01-21T09:02:16.000Z,16344.5,16273.0,external,3.1765,3.0857,3.0,T,54.0,T,54.0,1611237257000.0,T,54.0
2021-01-21T09:00:00.000Z,2021-01-21,sell,16317.5,True,,2021-01-21T09:00:03.000Z,16326.0,16301.75,external,1.9688,1.8529,1.75,S,-8.5,S,-9.0,1611219726000.0,S,-9.5
2021-01-21T14:00:00.000Z,2021-01-21,sell,16312.25,False,close_beyond_leg_terminus,,16338.75,16243.75,external,2.6346,2.5849,2.537,,,,,,,
2021-01-21T15:15:00.000Z,2021-01-21,buy,16288.25,False,close_beyond_leg_terminus,,16245.5,16293.75,external,0.1302,0.1287,0.1272,,,,,,,
2021-01-21T23:15:00.000Z,2021-01-22,sell,16370.25,False,close_beyond_leg_terminus,,16394.75,16338.0,external,1.3438,1.3163,1.29,,,,,,,
2021-01-22T14:30:00.000Z,2021-01-22,buy,16290.0,False,close_beyond_leg_terminus,,16262.5,16322.5,external,1.2037,1.1818,1.1607,,,,,,,
2021-01-22T21:00:00.000Z,2021-01-22,sell,16349.75,False,post_cutoff_emission,,16368.25,16319.0,external,1.7083,1.6622,1.6184,,,,,,,
2021-01-24T23:15:00.000Z,2021-01-25,buy,16333.75,False,close_beyond_leg_terminus,,16305.75,16363.75,external,1.0909,1.0714,1.0526,,,,,,,
2021-01-25T08:00:00.000Z,2021-01-25,buy,16428.25,False,close_beyond_leg_terminus,,16414.25,16450.5,legLow,1.6481,1.5893,1.5345,,,,,,,
2021-01-25T20:15:00.000Z,2021-01-25,sell,16398.5,True,,2021-01-25T20:43:15.000Z,16423.75,16354.25,external,1.7879,1.7525,1.7184,S,-25.25,S,-25.75,1611607814000.0,S,-26.25
2021-01-26T04:45:00.000Z,2021-01-26,sell,16415.75,True,,2021-01-26T09:01:15.000Z,16455.0,16344.5,external,1.8387,1.8153,1.7925,S,-39.25,S,-39.75,1611662792000.0,S,-40.25
2021-01-26T08:45:00.000Z,2021-01-26,buy,16368.75,False,close_beyond_leg_terminus,,16342.5,16415.25,external,1.8058,1.7714,1.7383,,,,,,,
2021-01-26T11:45:00.000Z,2021-01-26,buy,16404.75,False,close_beyond_leg_terminus,,16382.75,16431.0,external,1.2209,1.1932,1.1667,,,,,,,
2021-01-26T14:45:00.000Z,2021-01-26,sell,16444.5,True,,2021-01-26T14:59:01.000Z,16480.5,16397.25,external,1.331,1.3125,1.2945,S,-36.0,S,-36.5,1611676124000.0,S,-37.0
2021-01-26T15:45:00.000Z,2021-01-26,buy,16424.25,False,close_beyond_leg_terminus,,16389.0,16474.75,external,1.4532,1.4326,1.4126,,,,,,,
2021-01-26T21:15:00.000Z,2021-01-26,buy,16476.25,False,post_cutoff_emission,,16431.25,16521.25,external,1.0112,1.0,0.989,,,,,,,
2021-01-27T06:00:00.000Z,2021-01-27,buy,16514.25,True,,2021-01-27T07:09:36.000Z,16497.5,16536.5,external,1.3692,1.3284,1.2899,S,-16.75,S,-17.25,1611735434000.0,S,-17.75
2021-01-27T08:30:00.000Z,2021-01-27,sell,16520.25,True,,2021-01-27T09:02:50.000Z,16544.25,16447.25,external,3.1064,3.0417,2.9796,T,73.0,T,73.0,1611748015000.0,T,73.0
2021-01-28T19:15:00.000Z,2021-01-28,sell,16341.75,False,close_beyond_leg_terminus,,16365.25,16311.0,external,1.337,1.3085,1.2813,,,,,,,
2021-01-29T08:15:00.000Z,2021-01-29,sell,15998.25,True,,2021-01-29T09:00:25.000Z,16046.0,15887.5,external,2.3439,2.3194,2.2953,S,-47.75,S,-48.25,1611920218000.0,S,-48.75
2021-02-01T02:00:00.000Z,2021-02-01,sell,15829.25,True,,2021-02-01T02:01:14.000Z,15849.25,15795.75,external,1.7179,1.675,1.6341,S,-20.0,S,-20.5,1612146016000.0,S,-21.0
