universe,signal_ts,trading_day,side,limit_price,e2_limit,stop45,tp1,tp2,filled,cancel_reason,fill_ts,A_pnl,A_e2,A_exits,A_xts,B_pnl,B_e2,B_exits,B_xts,C_pnl,C_e2,C_exits,C_xts,D_pnl,D_e2,D_exits,D_xts
p3,2021-01-18T08:30:00.000Z,2021-01-18,buy,15739,15727.00,15715,15756.5,15768.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p1,2021-01-18T09:30:00.000Z,2021-01-18,sell,15767.25,15774.88,15782.5,15752.5,15751.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p1,2021-01-18T11:15:00.000Z,2021-01-18,buy,15757,15745.00,15733,15786.5,15787.75,true,,2021-01-18T14:32:43.000Z,232.50,0,F:10@15780.25,2021-01-18T18:00:00.000Z,116.25,0,F:5@15780.25,2021-01-18T18:00:00.000Z,116.25,0,F:5@15780.25,2021-01-18T18:00:00.000Z,232.50,0,F:10@15780.25,2021-01-18T18:00:00.000Z
p3,2021-01-18T11:45:00.000Z,2021-01-18,sell,15790.5,15802.13,15813.75,15758.25,15756.25,false,order_ttl_expired,,,,,,,,,,,,,,,,,
p2,2021-01-18T12:30:00.000Z,2021-01-18,sell,15792.25,15799.75,15807.25,15761.5,15731.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-18T13:45:00.000Z,2021-01-18,buy,15708.25,15690.75,15673.25,15784.25,15789.25,false,cutoff_1600_unfilled,,,,,,,,,,,,,,,,,
p5,2021-01-18T14:00:00.000Z,2021-01-18,buy,15720.5,15702.25,15684,15792.75,15797.75,false,cutoff_1600_unfilled,,,,,,,,,,,,,,,,,
p4,2021-01-18T14:45:00.000Z,2021-01-18,buy,15694.5,15669.38,15644.25,15782.75,15782.75,false,cutoff_1600_unfilled,,,,,,,,,,,,,,,,,
real,2021-01-18T15:00:00.000Z,2021-01-18,buy,15765.25,15755.88,15746.5,15780.5,15783.5,true,,2021-01-18T15:28:43.000Z,151.00,0,T1:4@15780.50|F:6@15780.25,2021-01-18T18:00:00.000Z,75.50,0,T1:2@15780.50|F:3@15780.25,2021-01-18T18:00:00.000Z,75.50,0,T1:2@15780.50|F:3@15780.25,2021-01-18T18:00:00.000Z,151.00,0,T1:4@15780.50|F:6@15780.25,2021-01-18T18:00:00.000Z
p1,2021-01-18T15:00:00.000Z,2021-01-18,buy,15718,15698.25,15678.5,15796.75,15806.25,false,cutoff_1600_unfilled,,,,,,,,,,,,,,,,,
