strategy,id,entryTime,exitTime,side,ruleId,netPnL,pointsPnL,mfePoints,maePoints,exitReason,ls_state_at_entry_1m,ls_state_at_exit_1m,ls_favorable_at_entry_1m,bars_since_last_flip_1m,flips_in_prev_60m_1m,flips_during_trade_1m,adverse_flips_during_1m,bars_to_first_adverse_1m,ls_state_at_entry_3m,ls_state_at_exit_3m,ls_favorable_at_entry_3m,bars_since_last_flip_3m,flips_in_prev_60m_3m,flips_during_trade_3m,adverse_flips_during_3m,bars_to_first_adverse_3m,ls_state_at_entry_15m,ls_state_at_exit_15m,ls_favorable_at_entry_15m,bars_since_last_flip_15m,flips_in_prev_60m_15m,flips_during_trade_15m,adverse_flips_during_15m,bars_to_first_adverse_15m
gex-flip-ivpct,T000001,1736781900000,1736784789000,long,L1,90,4.75,130.5,35.5,trailing_stop,0,0,true,0,2,2,1,5,0,0,true,16,4,2,1,11,0,1,true,10,1,1,1,5
gex-flip-ivpct,T000002,1736932838000,1736947806000,long,L3,4005,200.5,163.05,8.75,take_profit,0,1,true,7.6,3,21,11,15.4,0,1,true,8.6,2,9,5,6.4,1,1,false,740.6,0,0,0,
gex-flip-ivpct,T000003,1736952600000,1736958729000,long,L1,-1230,-61.25,63.75,59.25,stop_loss,1,0,false,1,2,5,2,6,1,0,false,80,0,1,0,,1,1,false,1070,0,0,0,
gex-flip-ivpct,T000004,1737045560000,1737053046000,long,L1,-1235,-61.5,63.25,58.25,stop_loss,0,0,true,25.3,5,12,6,19.7,0,0,true,6.3,2,2,1,17.7,0,0,true,834.3,0,0,0,
gex-flip-ivpct,T000005,1737126600000,1737147300000,long,L4,1395,70,132.25,58.5,market_close,0,0,true,2,7,29,15,1,1,0,false,10,2,11,5,47,1,1,false,595,0,0,0,
gex-flip-ivpct,T000006,1738143955000,1738173677000,short,S3,3990,199.75,199.5,34.5,take_profit,1,0,true,7.9,7,41,21,32.1,0,0,false,72.9,0,10,5,95.1,0,0,false,30.9,1,0,0,
gex-flip-ivpct,T000007,1738228801000,1738245602000,short,S3,90,4.75,104.5,3.25,trailing_stop,0,1,false,20,5,19,9,47,0,1,false,17,1,9,4,160,1,0,true,590,0,3,2,85
gex-flip-ivpct,T000008,1738248600000,1738250977000,short,S3,3990,199.75,198,13,take_profit,1,0,true,7,11,1,1,10,1,0,true,5,4,1,1,10,0,0,false,185,0,0,0,
gex-flip-ivpct,T000009,1738919101000,1738935002000,short,S3,-1225,-61,18,56.75,stop_loss,1,0,true,9,7,33,17,15,0,0,false,44,1,6,3,88,0,1,false,50,1,1,0,
gex-flip-ivpct,T000010,1738937400000,1738938758000,short,S3,-1225,-61,10.25,58.5,stop_loss,1,1,true,18,7,0,0,,1,1,true,22,5,0,0,,1,1,true,40,1,0,0,
gex-flip-ivpct,T000011,1739179200000,1739215140000,long,L4,3165,158.5,185.5,18.5,max_hold_time,1,0,false,10,7,43,21,18,1,1,false,11,4,22,11,31,1,1,false,575,0,0,0,
gex-flip-ivpct,T000012,1739282700000,1739307300000,long,L1,1705,85.5,178.5,6.25,market_close,0,0,true,57,1,24,12,1,0,0,true,56,1,6,3,25,0,0,true,65,0,6,3,25
gex-flip-ivpct,T000013,1739371800000,1739372603000,long,L1,-1235,-61.5,25.75,59.25,stop_loss,1,1,false,36,1,0,0,,1,1,false,8,1,0,0,,0,0,true,80,0,0,0,
