Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-01-02 00:09,X,21333.75,1,425750,925,0.22,1045,0.25,-3315,-0.78,925,0.01
1,Entry long,2025-01-01 18:00,B=0|T=20250101T2300,21287.5,1,425750,925,0.22,1045,0.25,-3315,-0.78,925,0.01
2,Exit long,2025-01-02 02:12,X,21379,1,426675,905,0.21,1300,0.30,-35,-0.01,1830,0.02
2,Entry long,2025-01-02 00:09,B=1|T=20250102T0509,21333.75,1,426675,905,0.21,1300,0.30,-35,-0.01,1830,0.02
3,Exit long,2025-01-02 03:00,X,21389.25,1,427580,205,0.05,245,0.06,-660,-0.15,2035,0.02
3,Entry long,2025-01-02 02:12,B=0|T=20250102T0712,21379,1,427580,205,0.05,245,0.06,-660,-0.15,2035,0.02
4,Exit long,2025-01-02 03:15,X,21394.25,1,427785,100,0.02,705,0.16,-165,-0.04,2135,0.02
4,Entry long,2025-01-02 03:00,B=1|T=20250102T0800,21389.25,1,427785,100,0.02,705,0.16,-165,-0.04,2135,0.02
5,Exit long,2025-01-02 03:18,X,21400.75,1,427885,130,0.03,255,0.06,0,0.00,2265,0.02
5,Entry long,2025-01-02 03:15,B=0|T=20250102T0815,21394.25,1,427885,130,0.03,255,0.06,0,0.00,2265,0.02
6,Exit long,2025-01-02 03:21,X,21383.25,1,428015,-350,-0.08,120,0.03,-360,-0.08,1915,0.02
6,Entry long,2025-01-02 03:18,B=1|T=20250102T0818,21400.75,1,428015,-350,-0.08,120,0.03,-360,-0.08,1915,0.02
7,Exit long,2025-01-02 04:57,X,21402.5,1,427665,385,0.09,445,0.10,-1305,-0.31,2300,0.02
7,Entry long,2025-01-02 03:21,B=0|T=20250102T0821,21383.25,1,427665,385,0.09,445,0.10,-1305,-0.31,2300,0.02
8,Exit long,2025-01-02 05:03,X,21390.5,1,428050,-240,-0.06,170,0.04,-250,-0.06,2060,0.02
8,Entry long,2025-01-02 04:57,B=1|T=20250102T0957,21402.5,1,428050,-240,-0.06,170,0.04,-250,-0.06,2060,0.02
9,Exit long,2025-01-02 05:33,X,21398.75,1,427810,165,0.04,200,0.05,-620,-0.14,2225,0.02
9,Entry long,2025-01-02 05:03,B=0|T=20250102T1003,21390.5,1,427810,165,0.04,200,0.05,-620,-0.14,2225,0.02
10,Exit long,2025-01-02 05:51,X,21375.75,1,427975,-460,-0.11,105,0.02,-660,-0.15,1765,0.02
10,Entry long,2025-01-02 05:33,B=1|T=20250102T1033,21398.75,1,427975,-460,-0.11,105,0.02,-660,-0.15,1765,0.02
11,Exit long,2025-01-02 05:57,X,21397.75,1,427515,440,0.10,470,0.11,-30,-0.01,2205,0.02
11,Entry long,2025-01-02 05:51,B=0|T=20250102T1051,21375.75,1,427515,440,0.10,470,0.11,-30,-0.01,2205,0.02
