Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-01-03 01:45,X,21237.25,1,426025,-1280,-0.30,3785,0.89,-6350,-1.49,-1280,-0.01
1,Entry long,2025-01-01 18:00,B=0|T=20250101T2300,21301.25,1,426025,-1280,-0.30,3785,0.89,-6350,-1.49,-1280,-0.01
2,Exit long,2025-01-06 01:00,X,21535.75,1,424745,5970,1.41,6440,1.52,-575,-0.14,4690,0.05
2,Entry long,2025-01-03 01:45,B=1|T=20250103T0645,21237.25,1,424745,5970,1.41,6440,1.52,-575,-0.14,4690,0.05
3,Exit long,2025-01-06 01:30,X,21547,1,430715,225,0.05,355,0.08,-55,-0.01,4915,0.05
3,Entry long,2025-01-06 01:00,B=0|T=20250106T0600,21535.75,1,430715,225,0.05,355,0.08,-55,-0.01,4915,0.05
4,Exit long,2025-01-06 02:30,X,21573.5,1,430940,530,0.12,600,0.14,-135,-0.03,5445,0.05
4,Entry long,2025-01-06 01:30,B=1|T=20250106T0630,21547,1,430940,530,0.12,600,0.14,-135,-0.03,5445,0.05
5,Exit long,2025-01-06 03:00,X,21594,1,431470,410,0.10,425,0.10,-185,-0.04,5855,0.06
5,Entry long,2025-01-06 02:30,B=0|T=20250106T0730,21573.5,1,431470,410,0.10,425,0.10,-185,-0.04,5855,0.06
6,Exit long,2025-01-06 03:15,X,21575.75,1,431880,-365,-0.08,15,0.00,-585,-0.14,5490,0.05
6,Entry long,2025-01-06 03:00,B=1|T=20250106T0800,21594,1,431880,-365,-0.08,15,0.00,-585,-0.14,5490,0.05
7,Exit long,2025-01-06 03:30,X,21597.75,1,431515,440,0.10,455,0.11,-65,-0.02,5930,0.06
7,Entry long,2025-01-06 03:15,B=0|T=20250106T0815,21575.75,1,431515,440,0.10,455,0.11,-65,-0.02,5930,0.06
8,Exit long,2025-01-06 08:00,X,21725.25,1,431955,2550,0.59,3255,0.75,-30,-0.01,8480,0.08
8,Entry long,2025-01-06 03:30,B=1|T=20250106T0830,21597.75,1,431955,2550,0.59,3255,0.75,-30,-0.01,8480,0.08
9,Exit long,2025-01-06 08:15,X,21741.5,1,434505,325,0.07,335,0.08,-165,-0.04,8805,0.09
9,Entry long,2025-01-06 08:00,B=0|T=20250106T1300,21725.25,1,434505,325,0.07,335,0.08,-165,-0.04,8805,0.09
10,Exit long,2025-01-06 08:30,X,21723.5,1,434830,-360,-0.08,130,0.03,-690,-0.16,8445,0.08
10,Entry long,2025-01-06 08:15,B=1|T=20250106T1315,21741.5,1,434830,-360,-0.08,130,0.03,-690,-0.16,8445,0.08
11,Exit long,2025-01-06 08:45,X,21749.5,1,434470,520,0.12,555,0.13,-95,-0.02,8965,0.09
11,Entry long,2025-01-06 08:30,B=0|T=20250106T1330,21723.5,1,434470,520,0.12,555,0.13,-95,-0.02,8965,0.09
