Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-06-15 22:03,X,30779.25,1,616660,-1075,-0.17,410,0.07,-1550,-0.25,-1075,0.00,123
1,Entry long,2026-06-15 20:00,B=0|T=20260616T0000,30833,1,616660,-1075,-0.17,410,0.07,-1550,-0.25,-1075,0.00,123
2,Exit long,2026-06-15 22:12,X,30772.5,1,615585,-135,-0.02,415,0.07,-180,-0.03,-1210,0.00,9
2,Entry long,2026-06-15 22:03,B=1|T=20260616T0203,30779.25,1,615585,-135,-0.02,415,0.07,-180,-0.03,-1210,0.00,9
3,Exit long,2026-06-15 22:14,X,30778,1,615450,110,0.02,135,0.02,-50,-0.01,-1100,0.00,2
3,Entry long,2026-06-15 22:12,B=0|T=20260616T0212,30772.5,1,615450,110,0.02,135,0.02,-50,-0.01,-1100,0.00,2
4,Exit long,2026-06-15 22:28,X,30781.75,1,615560,75,0.01,300,0.05,-25,0.00,-1025,0.00,14
4,Entry long,2026-06-15 22:14,B=1|T=20260616T0214,30778,1,615560,75,0.01,300,0.05,-25,0.00,-1025,0.00,14
5,Exit long,2026-06-15 22:30,X,30786.5,1,615635,95,0.02,155,0.03,-55,-0.01,-930,0.00,2
5,Entry long,2026-06-15 22:28,B=0|T=20260616T0228,30781.75,1,615635,95,0.02,155,0.03,-55,-0.01,-930,0.00,2
6,Exit long,2026-06-15 22:52,X,30781.5,1,615730,-100,-0.02,445,0.07,-115,-0.02,-1030,0.00,22
6,Entry long,2026-06-15 22:30,B=1|T=20260616T0230,30786.5,1,615730,-100,-0.02,445,0.07,-115,-0.02,-1030,0.00,22
7,Exit long,2026-06-15 22:57,X,30787,1,615630,110,0.02,120,0.02,-170,-0.03,-920,0.00,5
7,Entry long,2026-06-15 22:52,B=0|T=20260616T0252,30781.5,1,615630,110,0.02,120,0.02,-170,-0.03,-920,0.00,5
8,Exit long,2026-06-15 22:58,X,30786.5,1,615740,-10,0.00,75,0.01,-15,0.00,-930,0.00,1
8,Entry long,2026-06-15 22:57,B=1|T=20260616T0257,30787,1,615740,-10,0.00,75,0.01,-15,0.00,-930,0.00,1
9,Exit long,2026-06-15 23:06,X,30796.5,1,615730,200,0.03,245,0.04,-150,-0.02,-730,0.00,8
9,Entry long,2026-06-15 22:58,B=0|T=20260616T0258,30786.5,1,615730,200,0.03,245,0.04,-150,-0.02,-730,0.00,8
10,Exit long,2026-06-15 23:07,X,30792.25,1,615930,-85,-0.01,40,0.01,-85,-0.01,-815,0.00,1
10,Entry long,2026-06-15 23:06,B=1|T=20260616T0306,30796.5,1,615930,-85,-0.01,40,0.01,-85,-0.01,-815,0.00,1
11,Exit long,2026-06-15 23:23,X,30805,1,615845,255,0.04,255,0.04,-225,-0.04,-560,0.00,16
11,Entry long,2026-06-15 23:07,B=0|T=20260616T0307,30792.25,1,615845,255,0.04,255,0.04,-225,-0.04,-560,0.00,16
12,Exit long,2026-06-15 23:52,X,30830.5,1,616100,510,0.08,1100,0.18,-5,0.00,-50,0.00,29
12,Entry long,2026-06-15 23:23,B=1|T=20260616T0323,30805,1,616100,510,0.08,1100,0.18,-5,0.00,-50,0.00,29
13,Exit long,2026-06-16 01:00,X,30823,1,616610,-150,-0.02,130,0.02,-725,-0.12,-200,0.00,68
13,Entry long,2026-06-15 23:52,B=0|T=20260616T0352,30830.5,1,616610,-150,-0.02,130,0.02,-725,-0.12,-200,0.00,68
14,Exit long,2026-06-16 01:26,X,30833.5,1,616460,210,0.03,470,0.08,-65,-0.01,10,0.00,26
14,Entry long,2026-06-16 01:00,B=1|T=20260616T0500,30823,1,616460,210,0.03,470,0.08,-65,-0.01,10,0.00,26
15,Exit long,2026-06-16 01:27,X,30833.75,1,616670,5,0.00,40,0.01,-25,0.00,15,0.00,1
15,Entry long,2026-06-16 01:26,B=0|T=20260616T0526,30833.5,1,616670,5,0.00,40,0.01,-25,0.00,15,0.00,1
16,Exit long,2026-06-16 01:28,X,30832.5,1,616675,-25,0.00,20,0.00,-40,-0.01,-10,0.00,1
16,Entry long,2026-06-16 01:27,B=1|T=20260616T0527,30833.75,1,616675,-25,0.00,20,0.00,-40,-0.01,-10,0.00,1
17,Exit long,2026-06-16 01:29,X,30834,1,616650,30,0.00,70,0.01,-5,0.00,20,0.00,1
17,Entry long,2026-06-16 01:28,B=0|T=20260616T0528,30832.5,1,616650,30,0.00,70,0.01,-5,0.00,20,0.00,1
18,Exit long,2026-06-16 01:32,X,30828.25,1,616680,-115,-0.02,90,0.01,-180,-0.03,-95,0.00,3
18,Entry long,2026-06-16 01:29,B=1|T=20260616T0529,30834,1,616680,-115,-0.02,90,0.01,-180,-0.03,-95,0.00,3
19,Exit long,2026-06-16 02:09,X,30827,1,616565,-25,0.00,130,0.02,-645,-0.10,-120,0.00,37
