Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2021-01-25 09:00,X,16924.25,1,322635,15850,4.91,16150,5.01,-400,-0.12,15850,0.02,126
1,Entry long,2021-01-17 18:00,B=0|T=20210117T2300,16131.75,1,322635,15850,4.91,16150,5.01,-400,-0.12,15850,0.02,126
2,Exit long,2021-01-25 10:00,X,16733.75,1,338485,-3810,-1.13,225,0.07,-3955,-1.17,12040,0.01,1
2,Entry long,2021-01-25 09:00,B=1|T=20210125T1400,16924.25,1,338485,-3810,-1.13,225,0.07,-3955,-1.17,12040,0.01,1
3,Exit long,2021-01-26 10:00,X,16894,1,334675,3205,0.96,3480,1.04,-3200,-0.96,15245,0.02,23
3,Entry long,2021-01-25 10:00,B=0|T=20210125T1500,16733.75,1,334675,3205,0.96,3480,1.04,-3200,-0.96,15245,0.02,23
4,Exit long,2021-01-26 15:00,X,16869.5,1,337880,-490,-0.15,475,0.14,-1080,-0.32,14755,0.01,5
4,Entry long,2021-01-26 10:00,B=1|T=20210126T1500,16894,1,337880,-490,-0.15,475,0.14,-1080,-0.32,14755,0.01,5
5,Exit long,2021-01-26 16:00,X,16937,1,337390,1350,0.40,2300,0.68,-60,-0.02,16105,0.02,1
5,Entry long,2021-01-26 15:00,B=0|T=20210126T2000,16869.5,1,337390,1350,0.40,2300,0.68,-60,-0.02,16105,0.02,1
6,Exit long,2021-01-27 03:00,X,16923.5,1,338740,-270,-0.08,685,0.20,-475,-0.14,15835,0.02,10
6,Entry long,2021-01-26 16:00,B=1|T=20210126T2100,16937,1,338740,-270,-0.08,685,0.20,-475,-0.14,15835,0.02,10
7,Exit long,2021-01-27 04:00,X,16934.5,1,338470,220,0.06,555,0.16,-20,-0.01,16055,0.02,1
7,Entry long,2021-01-27 03:00,B=0|T=20210127T0800,16923.5,1,338470,220,0.06,555,0.16,-20,-0.01,16055,0.02,1
8,Exit long,2021-01-27 05:00,X,16910,1,338690,-490,-0.14,85,0.03,-535,-0.16,15565,0.02,1
8,Entry long,2021-01-27 04:00,B=1|T=20210127T0900,16934.5,1,338690,-490,-0.14,85,0.03,-535,-0.16,15565,0.02,1
9,Exit long,2021-01-28 10:00,X,16661.5,1,338200,-4970,-1.47,0,0.00,-12810,-3.79,10595,0.01,28
9,Entry long,2021-01-27 05:00,B=0|T=20210127T1000,16910,1,338200,-4970,-1.47,0,0.00,-12810,-3.79,10595,0.01,28
10,Exit long,2021-01-28 20:00,X,16452,1,333230,-4190,-1.26,2345,0.70,-4315,-1.29,6405,0.01,9
10,Entry long,2021-01-28 10:00,B=1|T=20210128T1500,16661.5,1,333230,-4190,-1.26,2345,0.70,-4315,-1.29,6405,0.01,9
11,Exit long,2021-01-29 01:00,X,16445.25,1,329040,-135,-0.04,390,0.12,-2080,-0.63,6270,0.01,5
