Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2021-02-15 06:00,X,17241.75,1,323030,21805,6.75,22000,6.81,-790,-0.24,21805,0.02,122
1,Entry long,2021-01-17 18:00,B=0|T=20210117T2300,16151.5,1,323030,21805,6.75,22000,6.81,-790,-0.24,21805,0.02,122
2,Exit long,2021-02-16 10:00,X,17139.5,1,344835,-2045,-0.59,870,0.25,-2820,-0.82,19760,0.02,6
2,Entry long,2021-02-15 06:00,B=1|T=20210215T1100,17241.75,1,344835,-2045,-0.59,870,0.25,-2820,-0.82,19760,0.02,6
3,Exit long,2021-03-01 14:00,X,16698.75,1,342790,-8815,-2.57,855,0.25,-21850,-6.37,10945,0.01,55
3,Entry long,2021-02-16 10:00,B=0|T=20210216T1500,17139.5,1,342790,-8815,-2.57,855,0.25,-21850,-6.37,10945,0.01,55
4,Exit long,2021-03-01 18:00,X,16626,1,333975,-1455,-0.44,285,0.09,-1570,-0.47,9490,0.01,1
4,Entry long,2021-03-01 14:00,B=1|T=20210301T1900,16698.75,1,333975,-1455,-0.44,285,0.09,-1570,-0.47,9490,0.01,1
5,Exit long,2021-03-09 06:00,X,16089.5,1,332520,-10730,-3.23,1235,0.37,-20680,-6.22,-1240,0.00,33
5,Entry long,2021-03-01 18:00,B=0|T=20210301T2300,16626,1,332520,-10730,-3.23,1235,0.37,-20680,-6.22,-1240,0.00,33
6,Exit long,2021-03-24 06:00,X,16350,1,321790,5210,1.62,11835,3.68,-415,-0.13,3970,0.00,66
6,Entry long,2021-03-09 06:00,B=1|T=20210309T1100,16089.5,1,321790,5210,1.62,11835,3.68,-415,-0.13,3970,0.00,66
7,Exit long,2021-03-31 06:00,X,16445.75,1,327000,1915,0.59,2005,0.61,-6925,-2.12,5885,0.01,30
7,Entry long,2021-03-24 06:00,B=0|T=20210324T1000,16350,1,327000,1915,0.59,2005,0.61,-6925,-2.12,5885,0.01,30
8,Exit long,2021-04-12 22:00,X,17180,1,328915,14685,4.46,15800,4.80,0,0.00,20570,0.02,50
8,Entry long,2021-03-31 06:00,B=1|T=20210331T1000,16445.75,1,328915,14685,4.46,15800,4.80,0,0.00,20570,0.02,50
9,Exit long,2021-04-13 02:00,X,17210,1,343600,600,0.17,650,0.19,-170,-0.05,21170,0.02,1
9,Entry long,2021-04-12 22:00,B=0|T=20210413T0200,17180,1,343600,600,0.17,650,0.19,-170,-0.05,21170,0.02,1
10,Exit long,2021-04-14 06:00,X,17368.5,1,344200,3170,0.92,4260,1.24,-820,-0.24,24340,0.02,7
10,Entry long,2021-04-13 02:00,B=1|T=20210413T0600,17210,1,344200,3170,0.92,4260,1.24,-820,-0.24,24340,0.02,7
11,Exit long,2021-04-15 10:00,X,17407.5,1,347370,780,0.22,960,0.28,-4035,-1.16,25120,0.03,7
11,Entry long,2021-04-14 06:00,B=0|T=20210414T1000,17368.5,1,347370,780,0.22,960,0.28,-4035,-1.16,25120,0.03,7
12,Exit long,2021-04-15 18:00,X,17369.5,1,348150,-760,-0.22,415,0.12,-945,-0.27,24360,0.02,2
12,Entry long,2021-04-15 10:00,B=1|T=20210415T1400,17407.5,1,348150,-760,-0.22,415,0.12,-945,-0.27,24360,0.02,2
13,Exit long,2021-04-26 10:00,X,17387.5,1,347390,360,0.10,1680,0.48,-5500,-1.58,24720,0.02,40
13,Entry long,2021-04-15 18:00,B=0|T=20210415T2200,17369.5,1,347390,360,0.10,1680,0.48,-5500,-1.58,24720,0.02,40
14,Exit long,2021-04-28 02:00,X,17321.75,1,347750,-1315,-0.38,1130,0.32,-1775,-0.51,23405,0.02,10
14,Entry long,2021-04-26 10:00,B=1|T=20210426T1400,17387.5,1,347750,-1315,-0.38,1130,0.32,-1775,-0.51,23405,0.02,10
15,Exit long,2021-04-28 06:00,X,17366.25,1,346435,890,0.26,915,0.26,-845,-0.24,24295,0.02,1
15,Entry long,2021-04-28 02:00,B=0|T=20210428T0600,17321.75,1,346435,890,0.26,915,0.26,-845,-0.24,24295,0.02,1
16,Exit long,2021-04-28 10:00,X,17299.25,1,347325,-1340,-0.39,175,0.05,-1885,-0.54,22955,0.02,1
16,Entry long,2021-04-28 06:00,B=1|T=20210428T1000,17366.25,1,347325,-1340,-0.39,175,0.05,-1885,-0.54,22955,0.02,1
17,Exit long,2021-04-28 14:00,X,17362.75,1,345985,1270,0.37,1765,0.51,-460,-0.13,24225,0.02,1
17,Entry long,2021-04-28 10:00,B=0|T=20210428T1400,17299.25,1,345985,1270,0.37,1765,0.51,-460,-0.13,24225,0.02,1
18,Exit long,2021-04-29 06:00,X,17360,1,347255,-55,-0.02,1905,0.55,-385,-0.11,24170,0.02,4
18,Entry long,2021-04-28 14:00,B=1|T=20210428T1800,17362.75,1,347255,-55,-0.02,1905,0.55,-385,-0.11,24170,0.02,4
19,Exit long,2021-05-07 06:00,X,17117.25,1,347200,-4855,-1.40,295,0.08,-11705,-3.37,19315,0.02,36
19,Entry long,2021-04-29 06:00,B=0|T=20210429T1000,17360,1,347200,-4855,-1.40,295,0.08,-11705,-3.37,19315,0.02,36
20,Exit long,2021-05-10 06:00,X,16930.25,1,342345,-3740,-1.09,1745,0.51,-4200,-1.23,15575,0.02,6
