Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2021-01-19 13:30,X,16361.75,1,323560,3675,1.14,3710,1.15,-1325,-0.41,3675,0.00,154
1,Entry long,2021-01-17 18:00,B=0|T=20210117T2300,16178,1,323560,3675,1.14,3710,1.15,-1325,-0.41,3675,0.00,154
2,Exit long,2021-01-20 04:00,X,16441.5,1,327235,1595,0.49,2260,0.69,-240,-0.07,5270,0.01,53
2,Entry long,2021-01-19 13:30,B=1|T=20210119T1830,16361.75,1,327235,1595,0.49,2260,0.69,-240,-0.07,5270,0.01,53
3,Exit long,2021-01-20 04:15,X,16450.75,1,328830,185,0.06,245,0.07,-20,-0.01,5455,0.01,1
3,Entry long,2021-01-20 04:00,B=0|T=20210120T0900,16441.5,1,328830,185,0.06,245,0.07,-20,-0.01,5455,0.01,1
4,Exit long,2021-01-20 07:00,X,16468.5,1,329015,355,0.11,670,0.20,-180,-0.05,5810,0.01,11
4,Entry long,2021-01-20 04:15,B=1|T=20210120T0915,16450.75,1,329015,355,0.11,670,0.20,-180,-0.05,5810,0.01,11
5,Exit long,2021-01-20 07:30,X,16480,1,329370,230,0.07,290,0.09,-70,-0.02,6040,0.01,2
5,Entry long,2021-01-20 07:00,B=0|T=20210120T1200,16468.5,1,329370,230,0.07,290,0.09,-70,-0.02,6040,0.01,2
6,Exit long,2021-01-21 00:00,X,16764.75,1,329600,5695,1.73,5935,1.80,-70,-0.02,11735,0.01,61
6,Entry long,2021-01-20 07:30,B=1|T=20210120T1230,16480,1,329600,5695,1.73,5935,1.80,-70,-0.02,11735,0.01,61
7,Exit long,2021-01-21 14:45,X,16789.75,1,335295,500,0.15,535,0.16,-1935,-0.58,12235,0.01,59
7,Entry long,2021-01-21 00:00,B=0|T=20210121T0500,16764.75,1,335295,500,0.15,535,0.16,-1935,-0.58,12235,0.01,59
8,Exit long,2021-01-21 15:00,X,16782,1,335795,-155,-0.05,85,0.03,-265,-0.08,12080,0.01,1
8,Entry long,2021-01-21 14:45,B=1|T=20210121T1945,16789.75,1,335795,-155,-0.05,85,0.03,-265,-0.08,12080,0.01,1
9,Exit long,2021-01-21 15:30,X,16796.5,1,335640,290,0.09,335,0.10,-105,-0.03,12370,0.01,2
9,Entry long,2021-01-21 15:00,B=0|T=20210121T2000,16782,1,335640,290,0.09,335,0.10,-105,-0.03,12370,0.01,2
10,Exit long,2021-01-21 15:45,X,16782,1,335930,-290,-0.09,235,0.07,-425,-0.13,12080,0.01,1
10,Entry long,2021-01-21 15:30,B=1|T=20210121T2030,16796.5,1,335930,-290,-0.09,235,0.07,-425,-0.13,12080,0.01,1
11,Exit long,2021-01-21 16:30,X,16784.75,1,335640,55,0.02,95,0.03,-135,-0.04,12135,0.01,2
11,Entry long,2021-01-21 15:45,B=0|T=20210121T2045,16782,1,335640,55,0.02,95,0.03,-135,-0.04,12135,0.01,2
12,Exit long,2021-01-21 16:45,X,16781.75,1,335695,-60,-0.02,105,0.03,-90,-0.03,12075,0.01,1
12,Entry long,2021-01-21 16:30,B=1|T=20210121T2130,16784.75,1,335695,-60,-0.02,105,0.03,-90,-0.03,12075,0.01,1
13,Exit long,2021-01-22 09:15,X,16732.75,1,335635,-980,-0.29,105,0.03,-1935,-0.58,11095,0.01,62
13,Entry long,2021-01-21 16:45,B=0|T=20210121T2145,16781.75,1,335635,-980,-0.29,105,0.03,-1935,-0.58,11095,0.01,62
14,Exit long,2021-01-25 05:00,X,16860.5,1,334655,2555,0.76,2990,0.89,-500,-0.15,13650,0.01,74
14,Entry long,2021-01-22 09:15,B=1|T=20210122T1415,16732.75,1,334655,2555,0.76,2990,0.89,-500,-0.15,13650,0.01,74
15,Exit long,2021-01-25 05:15,X,16869.25,1,337210,175,0.05,240,0.07,-45,-0.01,13825,0.01,1
15,Entry long,2021-01-25 05:00,B=0|T=20210125T1000,16860.5,1,337210,175,0.05,240,0.07,-45,-0.01,13825,0.01,1
16,Exit long,2021-01-25 06:00,X,16872.75,1,337385,70,0.02,130,0.04,-80,-0.02,13895,0.01,3
16,Entry long,2021-01-25 05:15,B=1|T=20210125T1015,16869.25,1,337385,70,0.02,130,0.04,-80,-0.02,13895,0.01,3
17,Exit long,2021-01-25 07:00,X,16889.5,1,337455,335,0.10,400,0.12,-350,-0.10,14230,0.01,4
17,Entry long,2021-01-25 06:00,B=0|T=20210125T1100,16872.75,1,337455,335,0.10,400,0.12,-350,-0.10,14230,0.01,4
18,Exit long,2021-01-25 07:15,X,16872,1,337790,-350,-0.10,15,0.00,-385,-0.11,13880,0.01,1
18,Entry long,2021-01-25 07:00,B=1|T=20210125T1200,16889.5,1,337790,-350,-0.10,15,0.00,-385,-0.11,13880,0.01,1
19,Exit long,2021-01-25 09:15,X,16882.5,1,337440,210,0.06,355,0.11,-305,-0.09,14090,0.01,8
19,Entry long,2021-01-25 07:15,B=0|T=20210125T1215,16872,1,337440,210,0.06,355,0.11,-305,-0.09,14090,0.01,8
20,Exit long,2021-01-25 10:30,X,16880.25,1,337650,-45,-0.01,1135,0.34,-105,-0.03,14045,0.01,5
20,Entry long,2021-01-25 09:15,B=1|T=20210125T1415,16882.5,1,337650,-45,-0.01,1135,0.34,-105,-0.03,14045,0.01,5
21,Exit long,2021-01-26 02:00,X,16792.75,1,337605,-1750,-0.52,180,0.05,-6130,-1.82,12295,0.01,57
21,Entry long,2021-01-25 10:30,B=0|T=20210125T1530,16880.25,1,337605,-1750,-0.52,180,0.05,-6130,-1.82,12295,0.01,57
22,Exit long,2021-01-26 21:00,X,16921.75,1,335855,2580,0.77,3835,1.14,-290,-0.09,14875,0.01,71
22,Entry long,2021-01-26 02:00,B=1|T=20210126T0700,16792.75,1,335855,2580,0.77,3835,1.14,-290,-0.09,14875,0.01,71
23,Exit long,2021-01-26 21:15,X,16934,1,338435,245,0.07,285,0.08,-5,0.00,15120,0.02,1
23,Entry long,2021-01-26 21:00,B=0|T=20210127T0200,16921.75,1,338435,245,0.07,285,0.08,-5,0.00,15120,0.02,1
24,Exit long,2021-01-26 21:30,X,16932.5,1,338680,-30,-0.01,115,0.03,-30,-0.01,15090,0.02,1
24,Entry long,2021-01-26 21:15,B=1|T=20210127T0215,16934,1,338680,-30,-0.01,115,0.03,-30,-0.01,15090,0.02,1
25,Exit long,2021-01-27 20:00,X,16453,1,338650,-9590,-2.83,505,0.15,-13260,-3.92,5500,0.01,85
25,Entry long,2021-01-26 21:30,B=0|T=20210127T0230,16932.5,1,338650,-9590,-2.83,505,0.15,-13260,-3.92,5500,0.01,85
26,Exit long,2021-01-28 15:45,X,16570.5,1,329060,2350,0.71,6515,1.98,-3240,-0.98,7850,0.01,79
26,Entry long,2021-01-27 20:00,B=1|T=20210128T0100,16453,1,329060,2350,0.71,6515,1.98,-3240,-0.98,7850,0.01,79
27,Exit long,2021-01-29 06:30,X,16470,1,331410,-2010,-0.61,255,0.08,-5045,-1.52,5840,0.01,54
27,Entry long,2021-01-28 15:45,B=0|T=20210128T2045,16570.5,1,331410,-2010,-0.61,255,0.08,-5045,-1.52,5840,0.01,54
28,Exit long,2021-01-29 06:45,X,16447.75,1,329400,-445,-0.14,10,0.00,-755,-0.23,5395,0.01,1
28,Entry long,2021-01-29 06:30,B=1|T=20210129T1130,16470,1,329400,-445,-0.14,10,0.00,-755,-0.23,5395,0.01,1
29,Exit long,2021-01-29 07:00,X,16455.25,1,328955,150,0.05,445,0.14,-170,-0.05,5545,0.01,1
29,Entry long,2021-01-29 06:45,B=0|T=20210129T1145,16447.75,1,328955,150,0.05,445,0.14,-170,-0.05,5545,0.01,1
30,Exit long,2021-01-29 09:30,X,16399.5,1,329105,-1115,-0.34,1930,0.59,-1495,-0.45,4430,0.00,10
30,Entry long,2021-01-29 07:00,B=1|T=20210129T1200,16455.25,1,329105,-1115,-0.34,1930,0.59,-1495,-0.45,4430,0.00,10
31,Exit long,2021-01-29 09:45,X,16467.5,1,327990,1360,0.41,1660,0.51,-115,-0.04,5790,0.01,1
31,Entry long,2021-01-29 09:30,B=0|T=20210129T1430,16399.5,1,327990,1360,0.41,1660,0.51,-115,-0.04,5790,0.01,1
32,Exit long,2021-01-29 12:15,X,16328,1,329350,-2790,-0.85,1490,0.45,-3050,-0.93,3000,0.00,10
32,Entry long,2021-01-29 09:45,B=1|T=20210129T1445,16467.5,1,329350,-2790,-0.85,1490,0.45,-3050,-0.93,3000,0.00,10
33,Exit long,2021-01-29 15:00,X,16378,1,326560,1000,0.31,1245,0.38,-2285,-0.70,4000,0.00,11
33,Entry long,2021-01-29 12:15,B=0|T=20210129T1715,16328,1,326560,1000,0.31,1245,0.38,-2285,-0.70,4000,0.00,11
34,Exit long,2021-01-29 15:15,X,16360.5,1,327560,-350,-0.11,465,0.14,-405,-0.12,3650,0.00,1
34,Entry long,2021-01-29 15:00,B=1|T=20210129T2000,16378,1,327560,-350,-0.11,465,0.14,-405,-0.12,3650,0.00,1
35,Exit long,2021-01-31 22:15,X,16301.75,1,327210,-1175,-0.36,905,0.28,-4970,-1.52,2475,0.00,23
35,Entry long,2021-01-29 15:15,B=0|T=20210129T2015,16360.5,1,327210,-1175,-0.36,905,0.28,-4970,-1.52,2475,0.00,23
36,Exit long,2021-02-01 15:45,X,16615.25,1,326035,6270,1.92,7090,2.17,-95,-0.03,8745,0.01,70
36,Entry long,2021-01-31 22:15,B=1|T=20210201T0315,16301.75,1,326035,6270,1.92,7090,2.17,-95,-0.03,8745,0.01,70
37,Exit long,2021-02-01 20:15,X,16703.75,1,332305,1770,0.53,1930,0.58,-485,-0.15,10515,0.01,13
37,Entry long,2021-02-01 15:45,B=0|T=20210201T2045,16615.25,1,332305,1770,0.53,1930,0.58,-485,-0.15,10515,0.01,13
38,Exit long,2021-02-01 21:00,X,16709.25,1,334075,110,0.03,495,0.15,-170,-0.05,10625,0.01,3
38,Entry long,2021-02-01 20:15,B=1|T=20210202T0115,16703.75,1,334075,110,0.03,495,0.15,-170,-0.05,10625,0.01,3
39,Exit long,2021-02-01 21:15,X,16731.5,1,334185,445,0.13,645,0.19,-30,-0.01,11070,0.01,1
39,Entry long,2021-02-01 21:00,B=0|T=20210202T0200,16709.25,1,334185,445,0.13,645,0.19,-30,-0.01,11070,0.01,1
40,Exit long,2021-02-01 22:30,X,16720.5,1,334630,-220,-0.07,490,0.15,-315,-0.09,10850,0.01,5
40,Entry long,2021-02-01 21:15,B=1|T=20210202T0215,16731.5,1,334630,-220,-0.07,490,0.15,-315,-0.09,10850,0.01,5
41,Exit long,2021-02-01 22:45,X,16728,1,334410,150,0.04,210,0.06,-45,-0.01,11000,0.01,1
41,Entry long,2021-02-01 22:30,B=0|T=20210202T0330,16720.5,1,334410,150,0.04,210,0.06,-45,-0.01,11000,0.01,1
42,Exit long,2021-02-01 23:30,X,16711.75,1,334560,-325,-0.10,100,0.03,-345,-0.10,10675,0.01,3
42,Entry long,2021-02-01 22:45,B=1|T=20210202T0345,16728,1,334560,-325,-0.10,100,0.03,-345,-0.10,10675,0.01,3
43,Exit long,2021-02-02 04:30,X,16754.5,1,334235,855,0.26,880,0.26,-515,-0.15,11530,0.01,20
43,Entry long,2021-02-01 23:30,B=0|T=20210202T0430,16711.75,1,334235,855,0.26,880,0.26,-515,-0.15,11530,0.01,20
44,Exit long,2021-02-02 06:00,X,16739.5,1,335090,-300,-0.09,175,0.05,-370,-0.11,11230,0.01,6
44,Entry long,2021-02-02 04:30,B=1|T=20210202T0930,16754.5,1,335090,-300,-0.09,175,0.05,-370,-0.11,11230,0.01,6
45,Exit long,2021-02-02 09:30,X,16782.5,1,334790,860,0.26,985,0.29,-575,-0.17,12090,0.01,14
