Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2021-01-17 22:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T0300,16158,1,323030,130,0.04,500,0.15,-305,-0.09,130,0.00,1
1,Entry long,2021-01-17 18:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210117T2300,16151.5,1,323030,130,0.04,500,0.15,-305,-0.09,130,0.00,1
2,Exit short,2021-01-18 02:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T0700,16171.25,1,323160,-265,-0.08,210,0.06,-375,-0.12,-135,0.00,1
2,Entry short,2021-01-17 22:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T0300,16158,1,323160,-265,-0.08,210,0.06,-375,-0.12,-135,0.00,1
3,Exit long,2021-01-18 06:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T1100,16195.5,1,323425,485,0.15,605,0.19,-115,-0.04,350,0.00,1
3,Entry long,2021-01-18 02:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T0700,16171.25,1,323425,485,0.15,605,0.19,-115,-0.04,350,0.00,1
4,Exit short,2021-01-18 10:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T1500,16198.75,1,323910,-65,-0.02,345,0.11,-90,-0.03,285,0.00,1
4,Entry short,2021-01-18 06:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T1100,16195.5,1,323910,-65,-0.02,345,0.11,-90,-0.03,285,0.00,1
5,Exit long,2021-01-18 18:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T2300,16275.5,1,323975,1535,0.47,1610,0.50,-65,-0.02,1820,0.00,1
5,Entry long,2021-01-18 10:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T1500,16198.75,1,323975,1535,0.47,1610,0.50,-65,-0.02,1820,0.00,1
6,Exit short,2021-01-18 22:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T0300,16299.75,1,325510,-485,-0.15,30,0.01,-1165,-0.36,1335,0.00,1
6,Entry short,2021-01-18 18:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210118T2300,16275.5,1,325510,-485,-0.15,30,0.01,-1165,-0.36,1335,0.00,1
7,Exit long,2021-01-19 02:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T0700,16311,1,325995,225,0.07,500,0.15,-150,-0.05,1560,0.00,1
7,Entry long,2021-01-18 22:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T0300,16299.75,1,325995,225,0.07,500,0.15,-150,-0.05,1560,0.00,1
8,Exit short,2021-01-19 06:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T1100,16269,1,326220,840,0.26,1315,0.40,-175,-0.05,2400,0.00,1
8,Entry short,2021-01-19 02:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T0700,16311,1,326220,840,0.26,1315,0.40,-175,-0.05,2400,0.00,1
9,Exit long,2021-01-19 10:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T1500,16373.5,1,325380,2090,0.64,2145,0.66,-700,-0.22,4490,0.00,1
9,Entry long,2021-01-19 06:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T1100,16269,1,325380,2090,0.64,2145,0.66,-700,-0.22,4490,0.00,1
10,Exit short,2021-01-19 14:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T1900,16417.5,1,327470,-880,-0.27,475,0.15,-880,-0.27,3610,0.00,1
10,Entry short,2021-01-19 10:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T1500,16373.5,1,327470,-880,-0.27,475,0.15,-880,-0.27,3610,0.00,1
11,Exit long,2021-01-19 18:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T2300,16431.25,1,328350,275,0.08,435,0.13,-315,-0.10,3885,0.00,1
11,Entry long,2021-01-19 14:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T1900,16417.5,1,328350,275,0.08,435,0.13,-315,-0.10,3885,0.00,1
12,Exit short,2021-01-19 22:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210120T0300,16448.25,1,328625,-340,-0.10,500,0.15,-540,-0.16,3545,0.00,1
12,Entry short,2021-01-19 18:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210119T2300,16431.25,1,328625,-340,-0.10,500,0.15,-540,-0.16,3545,0.00,1
13,Exit long,2021-01-20 02:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210120T0700,16480,1,328965,635,0.19,720,0.22,-350,-0.11,4180,0.00,1
13,Entry long,2021-01-19 22:00,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=0|T=20210120T0300,16448.25,1,328965,635,0.19,720,0.22,-350,-0.11,4180,0.00,1
