Date and time,Type,Signal
2026-04-30 20:15:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27922.5|T=20260501T0015
2026-04-30 20:00:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27892.75|T=20260501T0000
2026-04-30 20:30:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27924|T=20260501T0030
2026-04-30 20:15:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27922.5|T=20260501T0015
2026-04-30 20:45:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27918.25|T=20260501T0045
2026-04-30 20:30:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27924|T=20260501T0030
2026-04-30 21:00:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27931|T=20260501T0100
2026-04-30 20:45:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27918.25|T=20260501T0045
2026-04-30 21:15:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27939.25|T=20260501T0115
2026-04-30 21:00:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27931|T=20260501T0100
2026-04-30 21:30:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27938.75|T=20260501T0130
2026-04-30 21:15:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27939.25|T=20260501T0115
2026-04-30 21:45:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27943|T=20260501T0145
2026-04-30 21:30:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27938.75|T=20260501T0130
2026-04-30 22:00:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27937.25|T=20260501T0200
2026-04-30 21:45:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27943|T=20260501T0145
2026-04-30 22:15:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27930.75|T=20260501T0215
2026-04-30 22:00:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27937.25|T=20260501T0200
2026-04-30 22:30:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27921.25|T=20260501T0230
2026-04-30 22:15:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27930.75|T=20260501T0215
2026-04-30 22:45:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27934.75|T=20260501T0245
2026-04-30 22:30:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27921.25|T=20260501T0230
2026-04-30 23:00:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27942.75|T=20260501T0300
2026-04-30 22:45:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27934.75|T=20260501T0245
2026-04-30 23:15:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27949.5|T=20260501T0315
2026-04-30 23:00:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27942.75|T=20260501T0300
2026-04-30 23:30:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27932.75|T=20260501T0330
2026-04-30 23:15:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27949.5|T=20260501T0315
2026-04-30 23:45:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27935.75|T=20260501T0345
2026-04-30 23:30:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27932.75|T=20260501T0330
2026-05-01 00:00:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27923.5|T=20260501T0400
2026-04-30 23:45:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27935.75|T=20260501T0345
2026-05-01 00:15:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27922.5|T=20260501T0415
2026-05-01 00:00:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27923.5|T=20260501T0400
2026-05-01 00:30:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27919.25|T=20260501T0430
2026-05-01 00:15:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27922.5|T=20260501T0415
2026-05-01 00:45:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27921.25|T=20260501T0445
2026-05-01 00:30:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27919.25|T=20260501T0430
2026-05-01 01:00:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27930.5|T=20260501T0500
2026-05-01 00:45:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27921.25|T=20260501T0445
2026-05-01 01:15:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27929.5|T=20260501T0515
2026-05-01 01:00:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27930.5|T=20260501T0500
2026-05-01 01:30:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27919.75|T=20260501T0530
2026-05-01 01:15:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27929.5|T=20260501T0515
2026-05-01 01:45:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27909.5|T=20260501T0545
2026-05-01 01:30:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27919.75|T=20260501T0530
2026-05-01 02:00:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27915.5|T=20260501T0600
2026-05-01 01:45:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27909.5|T=20260501T0545
2026-05-01 02:15:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27902.5|T=20260501T0615
2026-05-01 02:00:00,Entry long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27915.5|T=20260501T0600
2026-05-01 02:30:00,Exit short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27896.5|T=20260501T0630
2026-05-01 02:15:00,Entry short,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27902.5|T=20260501T0615
2026-05-01 02:45:00,Exit long,1=NaN|2=NaN|3=NaN|4=NaN|5=NaN|S=27889.25|T=20260501T0645
