id,type,retracePct,activationMFE,beTrigger,beOffset,totalTrades,winRate,profitFactor,sharpeRatio,maxDrawdownPct,totalPnL,avgWin,avgLoss,largestWin,largestLoss,avgWinnerMFE,avgProfitGiveBack,winnerCaptureRatio,beClipCount,beClipPct,bigBeClipCount,mfeToSLCount,mfeToSLPct,fibRetraceExits,tpExits,slExits,trailingExits,marketCloseExits,maxHoldExits
fib-r550-a35,fine,0.55,35,,,193,67.88,2.55,4.83,10.01,109144,1372.09,1138.71,4025,-1235,100.63,47.6,68.42,12,6.22,9,5,2.59,99,29,57,0,7,1
fib-r550-a40,fine,0.55,40,,,190,66.84,2.6,5.15,11.06,116637,1492.93,1158.17,4025,-1235,108.84,50.2,68.82,12,6.32,10,5,2.63,92,30,59,0,8,1
fib-r550-a45,fine,0.55,45,,,186,65.05,2.6,5.47,8.02,122407,1644.4,1177.92,4025,-1235,118.74,53.23,69.45,13,6.99,11,6,3.23,83,31,62,0,8,2
fib-r550-a50,fine,0.55,50,,,185,63.78,2.52,5.29,9.26,119942,1686.2,1179.55,4025,-1235,122.85,55.39,68.83,14,7.57,12,6,3.24,80,31,64,0,8,2
fib-r580-a35,fine,0.58,35,,,192,67.19,2.72,5.18,6.49,119499,1465.15,1103.25,4025,-1235,106.02,48.02,69.34,14,7.29,10,5,2.6,95,32,56,0,8,1
fib-r580-a40,fine,0.58,40,,,189,66.67,2.77,5.51,7.4,127157,1579.38,1140.4,4025,-1235,113.92,50.59,69.54,15,7.94,11,5,2.65,88,33,58,0,9,1
fib-r580-a45,fine,0.58,45,,,185,64.86,2.74,5.77,6.99,131047,1720.77,1160.69,4025,-1235,123.37,53.64,69.94,16,8.65,12,6,3.24,79,33,61,0,10,2
fib-r580-a50,fine,0.58,50,,,184,64.13,2.65,5.6,8.2,128567,1748.83,1178.71,4025,-1235,126.42,55.48,69.36,17,9.24,13,6,3.26,76,33,63,0,10,2
fib-r618-a35,fine,0.618,35,,,192,67.19,2.79,5.48,6.4,124549,1504.29,1103.25,4025,-1235,110.27,49.53,68.43,15,7.81,12,5,2.6,92,32,56,0,10,2
fib-r618-a40,fine,0.618,40,,,189,66.67,2.77,5.59,7.11,127502,1582.12,1140.4,4025,-1235,116.17,51.99,68.31,16,8.47,13,5,2.65,86,33,58,0,10,2
fib-r618-a45,fine,0.618,45,,,185,64.86,2.74,5.73,6.89,131587,1725.27,1160.69,4025,-1235,125.65,54.98,68.85,18,9.73,15,6,3.24,77,34,61,0,11,2
fib-r618-a50,fine,0.618,50,,,184,64.13,2.66,5.63,8.07,128967,1752.22,1178.71,4025,-1235,128.61,56.77,68.32,19,10.33,16,6,3.26,74,34,63,0,11,2
fib-r650-a35,fine,0.65,35,,,192,65.63,2.73,5.33,7.03,121974,1527.17,1067.42,4025,-1235,113.16,51.07,67.7,19,9.9,14,5,2.6,91,33,56,0,10,2
fib-r650-a40,fine,0.65,40,,,189,65.61,2.67,5.3,7.73,121522,1566.39,1118.62,4025,-1235,117.33,53.62,66.96,20,10.58,16,5,2.65,86,33,58,0,10,2
fib-r650-a45,fine,0.65,45,,,185,64.32,2.67,5.5,7.48,126282,1695.61,1143.86,4025,-1235,126.4,56.46,67.27,22,11.89,19,6,3.24,77,34,61,0,11,2
fib-r650-a50,fine,0.65,50,,,184,64.13,2.59,5.34,8.66,123792,1708.36,1178.71,4025,-1235,128.66,58.21,66.59,24,13.04,20,6,3.26,74,34,63,0,11,2
fib-r680-a35,fine,0.68,35,,,191,64.4,2.73,5.32,6.89,122009,1566.29,1038.9,4025,-1235,115.67,51.63,67.92,22,11.52,14,5,2.62,89,34,56,0,10,2
fib-r680-a40,fine,0.68,40,,,188,64.36,2.66,5.23,7.66,121372,1605.6,1088.13,4025,-1235,119.99,54.25,67.11,23,12.23,16,5,2.66,84,34,58,0,10,2
fib-r680-a45,fine,0.68,45,,,184,64.13,2.67,5.49,7.39,126112,1708.53,1143.86,4025,-1235,127.94,57.11,66.97,26,14.13,19,6,3.26,75,35,61,0,11,2
fib-r680-a50,fine,0.68,50,,,183,63.93,2.59,5.33,8.47,123922,1724.08,1178.71,4025,-1235,130.12,58.72,66.44,28,15.3,20,6,3.28,72,35,63,0,11,2
twolayer-be80p10-fib618-a40,twolayer,0.618,40,80,10,191,68.59,2.9,5.68,7.11,129412,1508.15,1135.92,4025,-1235,115.33,51.62,65.6,19,9.95,14,2,1.05,86,33,55,6,9,2
twolayer-be100p15-fib618-a40,twolayer,0.618,40,100,15,189,67.72,2.83,5.59,7.11,126662,1531.62,1137.46,4025,-1235,116.44,52.3,65.98,17,8.99,15,3,1.59,84,32,56,5,10,2
twolayer-be120p20-fib618-a40,twolayer,0.618,40,120,20,189,67.72,2.83,5.59,7.11,127162,1535.52,1137.46,4025,-1235,116.89,52.47,65.9,17,8.99,15,3,1.59,84,32,56,5,10,2
