id,retracePct,activationMFE,totalTrades,winRate,profitFactor,sharpeRatio,maxDrawdownPct,totalPnL,avgWin,avgLoss,largestWin,largestLoss,avgWinnerMFE,avgProfitGiveBack,winnerCaptureRatio,beClipCount,beClipPct,bigBeClipCount,mfeToSLCount,mfeToSLPct,totalGivebackPtsWinners,givebackDollarsWinners,fibRetraceExits,tpExits,slExits,marketCloseExits,maxHoldExits
fib-r500-a30,0.5,30,200,70.5,2.14,3.49,11.59,76757,1021.48,1140.2,4025,-1235,81.98,45.42,62.61,8,4,5,5,2.5,4322.35,86447,121,20,54,5,0
fib-r500-a40,0.5,40,192,67.19,2.35,4.53,11.81,98217,1326.95,1158.1,4025,-1235,99.36,49.39,67.03,10,5.21,6,5,2.6,4225.95,84519,101,25,59,7,0
fib-r500-a50,0.5,50,187,63.64,2.26,4.67,10.95,101177,1524.68,1180.29,4025,-1235,112.95,54.58,67.71,11,5.88,7,6,3.21,4339.8,86796,88,25,65,8,1
fib-r500-a70,0.5,70,177,58.19,2.37,5.44,8.13,121647,2044.49,1201.82,4025,-1235,140.77,60.76,72.8,11,6.21,10,17,9.6,3944.05,78881,61,32,72,10,2
fib-r618-a30,0.618,30,194,68.04,2.72,4.97,6.58,114112,1366.77,1069.39,4025,-1235,103.12,48.45,66.51,13,6.7,12,5,2.58,4558.2,91164,101,29,53,9,2
fib-r618-a40,0.618,40,189,66.67,2.77,5.59,7.11,127502,1582.12,1140.4,4025,-1235,116.17,51.99,68.31,16,8.47,13,5,2.65,4638.1,92762,86,33,58,10,2
fib-r618-a50,0.618,50,184,64.13,2.66,5.63,8.07,128967,1752.22,1178.71,4025,-1235,128.61,56.77,68.32,19,10.33,16,6,3.26,4807.95,96159,74,34,63,11,2
fib-r618-a70,0.618,70,175,58.29,2.53,5.75,7.51,133872,2172.18,1201.23,4025,-1235,151.34,63.13,71.93,24,13.71,25,17,9.71,4333.1,86662,50,38,71,13,3
fib-r706-a30,0.706,30,191,64.92,2.72,4.92,7.4,115767,1477.98,1007.49,4025,-1235,109.48,49.82,67.73,20,10.47,13,5,2.62,4381.35,87627,94,33,53,9,2
fib-r706-a40,0.706,40,187,63.64,2.67,5.22,7.72,121912,1638.29,1074.19,4025,-1235,120.97,54.01,67.92,24,12.83,15,5,2.67,4618.1,92362,82,35,58,10,2
fib-r706-a50,0.706,50,182,63.19,2.63,5.38,8.81,127257,1784.28,1163.21,4025,-1235,131.49,57.85,68.04,30,16.48,18,6,3.3,4833.1,96662,69,37,63,11,2
fib-r706-a70,0.706,70,173,57.8,2.54,5.54,9.61,134772,2224.67,1201.3,4025,-1235,154.76,63.54,72.04,38,21.97,27,16,9.25,4327.75,86555,44,41,71,14,3
fib-r786-a30,0.786,30,189,62.96,2.8,5.1,8.28,123429,1612.81,978.5,4025,-1235,118.18,51.63,68.45,27,14.29,15,5,2.65,4437.35,88747,88,37,53,9,2
fib-r786-a40,0.786,40,184,62.5,2.78,5.47,8.75,131157,1782.37,1069.78,4025,-1235,129.73,55.63,68.89,31,16.85,18,5,2.72,4641.6,92832,73,39,58,12,2
fib-r786-a50,0.786,50,180,62.78,2.74,5.61,9.44,134987,1880.15,1156.27,4025,-1235,136.59,58.26,69.01,36,20,18,6,3.33,4783.1,95662,62,40,62,13,3
fib-r786-a70,0.786,70,171,57.31,2.63,5.79,10.33,141952,2338.59,1194.93,4025,-1235,158.03,62.44,74.15,41,23.98,23,16,9.36,4003.75,80075,36,44,70,17,4
fib-r886-a30,0.886,30,182,58.79,2.75,4.87,9.61,120576,1771.69,919.93,4025,-1235,130.84,55.06,67.9,28,15.38,17,5,2.75,4494.05,89881,75,37,53,14,3
fib-r886-a40,0.886,40,181,60.22,2.74,5.31,10.83,130836,1891.98,1047.08,4025,-1235,137.25,57.57,69.11,29,16.02,17,5,2.76,4622.05,92441,62,40,59,17,3
fib-r886-a50,0.886,50,178,60.67,2.77,5.69,10.24,138346,2006.12,1118.79,4025,-1235,143.88,59.63,69.89,32,17.98,18,6,3.37,4678.55,93571,52,42,62,19,3
fib-r886-a70,0.886,70,169,55.62,2.68,6,9.98,145956,2475.01,1155.93,4025,-1235,162.22,62.44,76.44,37,21.89,21,14,8.28,3593.05,71861,30,46,69,20,4
