id,tiers,nTiers,totalTrades,winRate,profitFactor,sharpeRatio,maxDrawdownPct,totalPnL,avgWin,avgLoss,largestWin,largestLoss,avgWinnerMFE,avgProfitGiveBack,winnerCaptureRatio,beClipCount,beClipPct,bigBeClipCount,mfeToSLCount,mfeToSLPct,totalGivebackPtsWinners,givebackDollarsWinners
s1-m50l40,50:0.4,1,170,67.65,2.41,4.56,8.68,93922,1395.41,1210,4020,-1235,109.17,51.99,64.14,3,1.76,7,0,0,4502.75,90055
s1-m50l50,50:0.5,1,178,66.85,1.88,3.43,10.68,63193,1131.51,1211.14,4020,-1235,91.1,49.12,62.37,0,0,1,0,0,4079.2,81584
s1-m50l60,50:0.6,1,180,67.22,1.72,3.12,11.54,51783,1018.64,1211.39,4020,-1235,79.92,45.26,64.04,0,0,0,0,0,3476.85,69537
s1-m70l40,70:0.4,1,181,61.88,2.61,5.97,8.34,133542,1931.45,1199.71,4020,-1235,139.44,59.41,69.44,2,1.1,14,12,6.63,4773.3,95466
s1-m70l50,70:0.5,1,188,61.17,2.16,4.72,8.62,101475,1645.02,1201.4,4020,-1235,122.53,57.88,67.33,0,0,1,12,6.38,4603.9,92078
s1-m70l60,70:0.6,1,191,61.78,2.12,4.82,7.98,98103,1574.79,1201.67,4020,-1235,114.13,54.55,69.21,0,0,0,11,5.76,4146.05,82921
s1-m100l40,100:0.4,1,172,56.4,2.46,5.73,10.1,129901,2256.25,1186.07,4020,-1235,157.98,65.18,71.57,11,6.4,19,17,9.88,4356.9,87138
s1-m100l50,100:0.5,1,176,56.82,2.35,5.53,9.8,121441,2116.26,1186.64,4020,-1235,149.38,63.98,71,11,6.25,2,17,9.66,4331.4,86628
s1-m100l60,100:0.6,1,179,56.98,2.19,5.29,9.45,108951,1964.62,1187.53,4020,-1235,141.27,63.52,69.71,11,6.15,1,17,9.5,4364.65,87293
s2-m120l60-m50l40,"120:0.6,50:0.4",2,175,68,2.11,4.05,8.22,75557,1204.51,1210.36,4020,-1235,102.15,53.49,59.2,3,1.71,7,0,0,4959.45,99189
