portfolioId,strategyKey,nativeId,side,entryTime_et,exitTime_et,actualEntry,actualExit,netPnL,pointsPnL,exitReason,durationMin,synthetic
1,gex-level-fade,T000005,long,2025-01-13 10:27:00,2025-01-13 10:39:09,20723.5,20826.54,2055.8,103.04,take_profit,12.2,0
2,gex-lt-3m,T000002,long,2025-01-15 07:03:01,2025-01-15 08:30:06,21001,21142.25,2820,141.25,confluence-first-exit,87.1,1
3,gex-lt-3m,T000004,long,2025-01-15 10:31:00,2025-01-15 10:33:00,21391.75,21366.5,-510,-25.25,confluence-first-exit,2,1
4,gex-level-fade,T000011,short,2025-01-16 09:19:00,2025-01-16 09:47:32,21484.75,21384.5,2000,100.25,take_profit,28.5,0
5,gex-lt-3m,T000007,long,2025-01-16 10:46:04,2025-01-16 11:08:18,21370.25,21469.5,1980,99.25,confluence-first-exit,22.2,1
6,gex-flip-ivpct,T000004,long,2025-01-16 11:39:20,2025-01-16 11:42:57,21363,21318.75,-890,-44.25,confluence-first-exit,3.6,1
7,gex-lt-3m,T000008,long,2025-01-16 11:46:03,2025-01-16 12:15:00,21347.25,21379.75,645,32.5,confluence-first-exit,29,1
8,gex-level-fade,T000016,long,2025-01-17 10:11:10,2025-01-17 10:21:30,21534.88,21515.38,-395,-19.5,stop_loss,10.3,0
9,gex-level-fade,T000017,long,2025-01-17 10:27:29,2025-01-17 10:58:43,21487,21587,1995,100,take_profit,31.2,0
10,gex-level-fade,T000019,short,2025-01-20 09:58:12,2025-01-20 10:16:29,21735.98,21702.75,659.6,33.23,confluence-first-exit,18.3,1
11,gex-lt-3m,T000013,short,2025-01-20 12:01:00,2025-01-20 12:26:11,21703,21643.25,1190,59.75,take_profit,25.2,0
12,gex-lt-3m,T000016,long,2025-01-22 09:31:00,2025-01-22 09:54:26,21913.75,22003.75,1795,90,confluence-first-exit,23.4,1
13,gex-lt-3m,T000017,short,2025-01-22 10:16:00,2025-01-22 11:26:27,22030.75,22047.5,-340,-16.75,confluence-first-exit,70.5,1
14,gex-lt-3m,T000019,long,2025-01-23 09:46:00,2025-01-23 11:15:00,21907,21937.25,600,30.25,max_hold_time,89,0
15,gex-lt-3m,T000023,short,2025-01-24 09:49:00,2025-01-24 09:49:09,22065.25,22068,-60,-2.75,confluence-first-exit,0.2,1
16,gex-level-fade,T000030,short,2025-01-24 09:58:00,2025-01-24 10:00:15,22049,22068.5,-395,-19.5,stop_loss,2.3,0
17,gex-lt-3m,T000028,long,2025-01-27 10:31:00,2025-01-27 10:40:52,21373.5,21409.89,722.8,36.39,confluence-first-exit,9.9,1
18,gex-lt-3m,T000030,long,2025-01-28 09:16:00,2025-01-28 09:31:35,21273.25,21262.5,-220,-10.75,confluence-first-exit,15.6,1
19,gex-level-fade,T000039,long,2025-01-28 09:57:00,2025-01-28 10:00:07,21278.5,21299.25,410,20.75,confluence-first-exit,3.1,1
20,gex-lt-3m,T000032,long,2025-01-28 10:16:00,2025-01-28 10:19:22,21367.5,21382,285,14.5,confluence-first-exit,3.4,1
21,gex-lt-3m,T000034,short,2025-01-29 07:46:01,2025-01-29 09:15:00,21657.5,21614.5,855,43,max_hold_time,89,0
22,gex-level-fade,T000050,long,2025-02-03 09:11:00,2025-02-03 09:39:32,21188.75,21293.04,2080.8,104.29,take_profit,28.5,0
23,gex-level-fade,T000060,long,2025-02-04 09:47:00,2025-02-04 09:50:31,21502,21546.75,890,44.75,confluence-first-exit,3.5,1
24,gex-lt-3m,T000051,short,2025-02-06 10:31:00,2025-02-06 12:00:00,21787.75,21753.5,680,34.25,max_hold_time,89,0
25,gex-lt-3m,T000052,short,2025-02-07 08:10:00,2025-02-07 08:30:01,21850.75,21902,-1030,-51.25,stop_loss,20,0
26,gex-lt-3m,T000053,short,2025-02-07 09:13:00,2025-02-07 09:31:50,21880.25,21931.75,-1035,-51.5,stop_loss,18.8,0
27,gex-level-fade,T000073,short,2025-02-07 09:32:01,2025-02-07 09:32:38,21930,21941,-225,-11,confluence-first-exit,0.6,1
28,gex-level-fade,T000074,short,2025-02-07 09:46:00,2025-02-07 09:54:00,21941.25,21960.75,-395,-19.5,stop_loss,8,0
29,gex-level-fade,T000075,short,2025-02-07 09:56:00,2025-02-07 10:00:00,21930.75,21890.75,795,40,confluence-first-exit,4,1
30,gex-lt-3m,T000058,long,2025-02-10 08:01:05,2025-02-10 09:30:00,21740.25,21756.25,315,16,max_hold_time,88.9,0
31,gex-lt-3m,T000059,long,2025-02-10 09:46:00,2025-02-10 11:15:00,21795.5,21857.5,1235,62,max_hold_time,89,0
32,gex-flip-ivpct,T000012,long,2025-02-11 09:05:00,2025-02-11 09:52:31,21693,21805,2235,112,confluence-first-exit,47.5,1
33,gex-flip-ivpct,T000013,long,2025-02-12 09:50:00,2025-02-12 10:03:23,21675.25,21613.75,-1235,-61.5,stop_loss,13.4,0
34,gex-lt-3m,T000065,long,2025-02-12 11:31:00,2025-02-12 12:01:13,21674,21793.75,2390,119.75,take_profit,30.2,0
35,gex-lt-3m,T000066,long,2025-02-12 12:46:02,2025-02-12 14:15:00,21773.25,21769,-90,-4.25,max_hold_time,89,0
36,gex-lt-3m,T000070,short,2025-02-14 09:55:00,2025-02-14 10:10:24,22130,22158,-565,-28,confluence-first-exit,15.4,1
37,gex-level-fade,T000096,short,2025-02-14 10:16:09,2025-02-14 10:56:06,22141.5,22161,-395,-19.5,stop_loss,40,0
38,gex-level-fade,T000102,long,2025-02-19 10:17:00,2025-02-19 10:21:00,22153,22133.5,-395,-19.5,stop_loss,4,0
39,gex-level-fade,T000103,long,2025-02-19 10:30:00,2025-02-19 11:45:00,22149.25,22238,1770,88.75,confluence-first-exit,75,1
40,gex-flip-ivpct,T000020,short,2025-02-20 09:05:00,2025-02-20 09:39:00,22214.25,22199.25,295,15,fib_retrace,34,0
41,gex-level-fade,T000111,long,2025-02-21 10:22:00,2025-02-21 10:22:20,22044.5,22030.75,-280,-13.75,confluence-first-exit,0.3,1
42,gex-level-fade,T000117,long,2025-02-24 10:14:00,2025-02-24 10:17:01,21558.5,21583.5,495,25,confluence-first-exit,3,1
43,gex-lt-3m,T000092,long,2025-02-25 10:16:00,2025-02-25 10:17:32,21150,21121,-585,-29,confluence-first-exit,1.5,1
44,gex-lt-3m,T000100,long,2025-02-26 09:16:01,2025-02-26 09:17:14,21251.25,21235,-330,-16.25,confluence-first-exit,1.2,1
45,gex-flip-ivpct,T000033,long,2025-03-21 09:50:00,2025-03-21 09:59:00,19703.75,19718.25,285,14.5,fib_retrace,9,0
46,gex-lt-3m,T000143,long,2025-03-21 10:01:00,2025-03-21 10:11:47,19715.25,19663.75,-1035,-51.5,stop_loss,10.8,0
47,gex-flip-ivpct,T000034,short,2025-03-24 10:35:00,2025-03-24 10:49:50,20329.75,20358,-570,-28.25,confluence-first-exit,14.8,1
48,gex-lt-3m,T000147,short,2025-03-24 12:46:00,2025-03-24 14:15:00,20351.5,20324.5,535,27,max_hold_time,89,0
49,gex-lt-3m,T000148,short,2025-03-24 14:43:01,2025-03-24 15:05:38,20346.5,20390.5,-885,-44,confluence-first-exit,22.6,1
50,gex-level-fade,T000216,long,2025-03-25 09:29:00,2025-03-25 09:36:27,20400.25,20380.75,-395,-19.5,stop_loss,7.5,0
51,gex-level-fade,T000218,short,2025-03-26 09:06:00,2025-03-26 09:33:00,20470.75,20420.75,995,50,confluence-first-exit,27,1
52,gex-lt-3m,T000151,short,2025-03-26 09:46:01,2025-03-26 09:53:08,20436,20376.25,1190,59.75,take_profit,7.1,0
53,gex-level-fade,T000237,long,2025-04-01 10:25:00,2025-04-01 10:27:49,19335.75,19316.25,-395,-19.5,stop_loss,2.8,0
54,gex-lt-3m,T000162,long,2025-04-03 09:16:00,2025-04-03 09:30:12,18890,18945,1095,55,confluence-first-exit,14.2,1
55,gex-level-fade,T000265,short,2025-04-08 10:06:00,2025-04-08 10:17:29,18313,18332.5,-395,-19.5,stop_loss,11.5,0
56,gex-level-fade,T000274,short,2025-04-10 09:08:00,2025-04-10 09:24:16,18884.3,18903.8,-395,-19.5,stop_loss,16.3,0
57,gex-level-fade,T000278,long,2025-04-10 09:54:09,2025-04-10 09:54:50,18733.25,18716.25,-345,-17,confluence-first-exit,0.7,1
58,gex-level-fade,T000281,long,2025-04-10 10:30:00,2025-04-10 10:34:31,18646.8,18758.5,2229,111.7,confluence-first-exit,4.5,1
59,gex-lt-3m,T000228,short,2025-04-14 09:10:05,2025-04-14 09:17:07,19185.25,19216.25,-625,-31,confluence-first-exit,7,1
60,gex-lt-3m,T000229,short,2025-04-14 09:37:00,2025-04-14 09:37:19,19125.5,19111.08,283.4,14.42,confluence-first-exit,0.3,1
61,gex-level-fade,T000294,short,2025-04-15 09:01:00,2025-04-15 09:12:09,18947.25,18966.75,-395,-19.5,stop_loss,11.2,0
62,gex-level-fade,T000295,short,2025-04-15 09:28:00,2025-04-15 09:28:24,18962.91,18982.41,-395,-19.5,stop_loss,0.4,0
63,gex-flip-ivpct,T000041,long,2025-04-25 09:05:00,2025-04-25 09:05:00,19252.25,19255.5,60,3.25,fib_retrace,0,0
64,gex-lt-3m,T000248,short,2025-04-25 10:31:00,2025-04-25 10:31:12,19263.75,19239.65,477,24.1,confluence-first-exit,0.2,1
65,gex-lt-3m,T000263,short,2025-05-02 10:16:00,2025-05-02 10:16:25,20152.75,20163.75,-225,-11,confluence-first-exit,0.4,1
66,gex-level-fade,T000357,short,2025-05-02 10:29:00,2025-05-02 11:17:16,20175,20194.5,-395,-19.5,stop_loss,48.3,0
67,gex-level-fade,T000362,long,2025-05-06 09:17:00,2025-05-06 09:30:02,19800.5,19781,-395,-19.5,stop_loss,13,0
68,gex-lt-3m,T000269,long,2025-05-06 10:31:00,2025-05-06 12:00:00,19890.25,19900,190,9.75,max_hold_time,89,0
69,gex-lt-3m,T000270,long,2025-05-06 12:01:00,2025-05-06 12:13:23,19900.25,19981.89,1627.8,81.64,confluence-first-exit,12.4,1
70,gex-flip-ivpct,T000047,short,2025-05-08 09:05:38,2025-05-08 10:11:40,20174.5,20053.25,2420,121.25,confluence-first-exit,66,1
71,gex-lt-3m,T000281,short,2025-05-09 07:16:02,2025-05-09 07:26:37,20242.25,20251.5,-190,-9.25,confluence-first-exit,10.6,1
72,gex-level-fade,T000376,short,2025-05-09 09:05:00,2025-05-09 09:35:34,20256,20269.25,-270,-13.25,confluence-first-exit,30.6,1
73,gex-lt-3m,T000285,long,2025-05-13 08:16:00,2025-05-13 08:30:01,20958,21054.75,1930,96.75,confluence-first-exit,14,1
74,gex-level-fade,T000382,long,2025-05-14 09:02:00,2025-05-14 09:15:00,21313.5,21340.75,540,27.25,confluence-first-exit,13,1
75,gex-lt-3m,T000287,long,2025-05-14 09:46:00,2025-05-14 09:48:11,21331.75,21294,-760,-37.75,confluence-first-exit,2.2,1
76,gex-level-fade,T000384,long,2025-05-14 10:00:23,2025-05-14 10:12:00,21317.5,21298,-395,-19.5,stop_loss,11.6,0
77,gex-lt-3m,T000292,short,2025-05-15 10:31:00,2025-05-15 11:03:01,21293.25,21344.25,-1025,-51,stop_loss,32,0
78,gex-lt-3m,T000293,long,2025-05-15 11:31:00,2025-05-15 12:47:24,21390.25,21488,1950,97.75,confluence-first-exit,76.4,1
79,gex-level-fade,T000386,long,2025-05-16 09:01:00,2025-05-16 09:36:44,21433.25,21413.75,-395,-19.5,stop_loss,35.7,0
80,gex-level-fade,T000387,long,2025-05-16 09:48:00,2025-05-16 10:00:00,21430.25,21410.75,-395,-19.5,stop_loss,12,0
81,gex-level-fade,T000388,long,2025-05-16 10:02:00,2025-05-16 10:30:23,21416.25,21396.75,-395,-19.5,stop_loss,28.4,0
82,gex-level-fade,T000389,long,2025-05-19 09:15:03,2025-05-19 09:31:11,21164.25,21264.5,2000,100.25,take_profit,16.1,0
83,gex-lt-3m,T000302,long,2025-05-19 10:01:00,2025-05-19 10:02:18,21354.25,21400,910,45.75,confluence-first-exit,1.3,1
84,gex-level-fade,T000391,long,2025-05-19 10:17:00,2025-05-19 10:22:39,21451.75,21432.25,-395,-19.5,stop_loss,5.7,0
