portfolioId,strategyKey,nativeId,side,entryTime_et,exitTime_et,actualEntry,actualExit,netPnL,pointsPnL,exitReason,durationMin,synthetic
1,gex-level-fade,T000005,long,2025-01-13 10:27:00,2025-01-13 10:39:09,20723.5,20826.54,2055.8,103.04,take_profit,12.2,0
2,gex-lt-3m,T000002,long,2025-01-15 07:03:01,2025-01-15 08:30:06,21001,21120.75,2390,119.75,take_profit,87.1,0
3,gex-lt-3m,T000004,long,2025-01-15 10:31:00,2025-01-15 10:49:20,21391.75,21340.25,-1035,-51.5,stop_loss,18.3,0
4,gex-level-fade,T000011,short,2025-01-16 09:19:00,2025-01-16 09:47:32,21484.75,21384.5,2000,100.25,take_profit,28.5,0
5,gex-lt-3m,T000007,long,2025-01-16 10:46:04,2025-01-16 11:42:57,21370.25,21318.75,-1035,-51.5,stop_loss,56.9,0
6,gex-lt-3m,T000008,long,2025-01-16 11:46:03,2025-01-16 13:15:00,21347.25,21387.75,805,40.5,max_hold_time,89,0
7,gex-level-fade,T000016,long,2025-01-17 10:11:10,2025-01-17 10:21:30,21534.88,21515.38,-395,-19.5,stop_loss,10.3,0
8,gex-level-fade,T000017,long,2025-01-17 10:27:29,2025-01-17 10:58:43,21487,21587,1995,100,take_profit,31.2,0
9,gex-level-fade,T000019,short,2025-01-20 09:58:12,2025-01-20 12:26:19,21735.98,21635.98,1995,100,take_profit,148.1,0
10,gex-lt-3m,T000016,long,2025-01-22 09:31:00,2025-01-22 10:11:40,21913.75,22033.5,2390,119.75,take_profit,40.7,0
11,gex-lt-3m,T000017,short,2025-01-22 10:16:00,2025-01-22 11:45:00,22030.75,22063.5,-660,-32.75,max_hold_time,89,0
12,gex-lt-3m,T000019,long,2025-01-23 09:46:00,2025-01-23 11:15:00,21907,21937.25,600,30.25,max_hold_time,89,0
13,gex-lt-3m,T000023,short,2025-01-24 09:49:00,2025-01-24 10:15:45,22065.25,22005.5,1190,59.75,take_profit,26.8,0
14,gex-lt-3m,T000028,long,2025-01-27 10:31:00,2025-01-27 10:57:22,21373.5,21322.75,-1020,-50.75,stop_loss,26.4,0
15,gex-lt-3m,T000030,long,2025-01-28 09:16:00,2025-01-28 09:35:58,21273.25,21222.5,-1020,-50.75,stop_loss,20,0
16,gex-level-fade,T000039,long,2025-01-28 09:57:00,2025-01-28 10:19:22,21278.5,21382,2065,103.5,take_profit,22.4,0
17,gex-lt-3m,T000034,short,2025-01-29 07:46:01,2025-01-29 09:15:00,21657.5,21614.5,855,43,max_hold_time,89,0
18,gex-level-fade,T000050,long,2025-02-03 09:11:00,2025-02-03 09:39:32,21188.75,21293.04,2080.8,104.29,take_profit,28.5,0
19,gex-level-fade,T000060,long,2025-02-04 09:47:00,2025-02-04 10:00:18,21502,21605.5,2065,103.5,take_profit,13.3,0
20,gex-lt-3m,T000051,short,2025-02-06 10:31:00,2025-02-06 12:00:00,21787.75,21753.5,680,34.25,max_hold_time,89,0
21,gex-lt-3m,T000052,short,2025-02-07 08:10:00,2025-02-07 08:30:01,21850.75,21902,-1030,-51.25,stop_loss,20,0
22,gex-lt-3m,T000053,short,2025-02-07 09:13:00,2025-02-07 09:31:50,21880.25,21931.75,-1035,-51.5,stop_loss,18.8,0
23,gex-level-fade,T000073,short,2025-02-07 09:32:01,2025-02-07 09:33:04,21930,21949.5,-395,-19.5,stop_loss,1.1,0
24,gex-level-fade,T000074,short,2025-02-07 09:46:00,2025-02-07 09:54:00,21941.25,21960.75,-395,-19.5,stop_loss,8,0
25,gex-level-fade,T000075,short,2025-02-07 09:56:00,2025-02-07 10:00:05,21930.75,21830,2010,100.75,take_profit,4.1,0
26,gex-lt-3m,T000058,long,2025-02-10 08:01:05,2025-02-10 09:30:00,21740.25,21756.25,315,16,max_hold_time,88.9,0
27,gex-lt-3m,T000059,long,2025-02-10 09:46:00,2025-02-10 11:15:00,21795.5,21857.5,1235,62,max_hold_time,89,0
28,gex-flip-ivpct,T000012,long,2025-02-11 09:05:00,2025-02-11 12:03:00,21693,21756,1255,63,fib_retrace,178,0
29,gex-flip-ivpct,T000013,long,2025-02-12 09:50:00,2025-02-12 10:03:23,21675.25,21613.75,-1235,-61.5,stop_loss,13.4,0
30,gex-lt-3m,T000065,long,2025-02-12 11:31:00,2025-02-12 12:01:13,21674,21793.75,2390,119.75,take_profit,30.2,0
31,gex-lt-3m,T000066,long,2025-02-12 12:46:02,2025-02-12 14:15:00,21773.25,21769,-90,-4.25,max_hold_time,89,0
32,gex-lt-3m,T000070,short,2025-02-14 09:55:00,2025-02-14 11:24:00,22130,22122,155,8,max_hold_time,89,0
33,gex-level-fade,T000102,long,2025-02-19 10:17:00,2025-02-19 10:21:00,22153,22133.5,-395,-19.5,stop_loss,4,0
