portfolioId,strategyKey,nativeId,side,entryTime_et,exitTime_et,actualEntry,actualExit,netPnL,pointsPnL,exitReason,durationMin,synthetic
1,gex-level-fade,T000001,long,2025-01-13 09:02:00,2025-01-13 09:25:00,20780.25,20760.75,-395,-19.5,stop_loss,23,0
2,gex-level-fade,T000002,long,2025-01-13 09:32:00,2025-01-13 09:35:46,20759.75,20740.25,-395,-19.5,stop_loss,3.8,0
3,gex-level-fade,T000003,long,2025-01-13 09:38:06,2025-01-13 09:54:20,20714.71,20814.71,1995,100,take_profit,16.2,0
4,gex-level-fade,T000004,short,2025-01-13 10:07:00,2025-01-13 10:25:00,20850.25,20749.75,2005,100.5,preempted,18,1
5,gex-flip-ivpct,T000001,long,2025-01-13 10:25:00,2025-01-13 10:58:00,20749.75,20798.75,975,49,fib_retrace,33,0
6,gex-level-fade,T000006,long,2025-01-14 09:54:00,2025-01-14 09:54:18,21008.75,20989.25,-395,-19.5,stop_loss,0.3,0
7,gex-lt-3m,T000001,short,2025-01-14 15:01:00,2025-01-14 15:54:43,20848,20899.5,-1035,-51.5,stop_loss,53.7,0
8,gex-flip-ivpct,T000002,long,2025-01-15 04:20:38,2025-01-15 08:30:06,20941.5,21142.25,4010,200.75,take_profit,249.5,0
9,gex-lt-3m,T000003,long,2025-01-15 09:01:00,2025-01-15 09:20:35,21296.25,21244.75,-1035,-51.5,stop_loss,19.6,0
10,gex-level-fade,T000007,short,2025-01-15 09:41:00,2025-01-15 09:43:53,21284.75,21304.25,-395,-19.5,stop_loss,2.9,0
11,gex-level-fade,T000008,short,2025-01-15 09:49:00,2025-01-15 09:50:00,21329,21344.25,-310,-15.25,preempted,1,1
12,gex-flip-ivpct,T000003,long,2025-01-15 09:50:00,2025-01-15 10:33:00,21344.25,21366.5,440,22.25,fib_retrace,43,0
13,gex-lt-3m,T000005,short,2025-01-15 14:46:00,2025-01-15 15:55:00,21411.5,21407.55,74,3.95,market_close,69,0
14,gex-lt-3m,T000006,short,2025-01-16 08:31:00,2025-01-16 10:00:00,21456.75,21348.5,2160,108.25,max_hold_time,89,0
