strategyA,strategyB,sideA,sideB,type,entryA_ts,entryB_ts,exitA_ts,exitB_ts,exit_first_ts,overlap_start_et,overlap_end_et,overlap_minutes,pnlA,pnlB,joint_pnl,tradeA_id,tradeB_id
gex-flip-ivpct,gex-level-fade,long,short,conflict,1736781900000,1736780820000,1736783880000,1736781926000,1736781926000,2025-01-13 10:25:00,2025-01-13 10:25:26,0.43,975,2170,3145,gex-flip-ivpct:T000001,gex-level-fade:T000004
gex-flip-ivpct,gex-level-fade,long,long,confluence,1736781900000,1736782020000,1736783880000,1736782749000,1736782749000,2025-01-13 10:27:00,2025-01-13 10:39:09,12.15,975,2055.8,3030.8,gex-flip-ivpct:T000001,gex-level-fade:T000005
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1736932838000,1736942581000,1736947806000,1736947806000,1736947806000,2025-01-15 07:03:01,2025-01-15 08:30:06,87.08,4010,2390,6400,gex-flip-ivpct:T000002,gex-lt-3m:T000002
gex-flip-ivpct,gex-level-fade,long,short,conflict,1736952600000,1736952540000,1736955180000,1736953226000,1736953226000,2025-01-15 09:50:00,2025-01-15 10:00:26,10.43,440,-395,45,gex-flip-ivpct:T000003,gex-level-fade:T000008
gex-flip-ivpct,gex-level-fade,long,short,conflict,1736952600000,1736953680000,1736955180000,1736953721000,1736953721000,2025-01-15 10:08:00,2025-01-15 10:08:41,0.68,440,-395,45,gex-flip-ivpct:T000003,gex-level-fade:T000009
gex-flip-ivpct,gex-level-fade,long,short,conflict,1736952600000,1736954280000,1736955180000,1736958723000,1736955180000,2025-01-15 10:18:00,2025-01-15 10:33:00,15.00,440,2165,2605,gex-flip-ivpct:T000003,gex-level-fade:T000010
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1736952600000,1736955060000,1736955180000,1736956160000,1736955180000,2025-01-15 10:31:00,2025-01-15 10:33:00,2.00,440,-1035,-595,gex-flip-ivpct:T000003,gex-lt-3m:T000004
gex-level-fade,gex-lt-3m,short,long,conflict,1736954280000,1736955060000,1736958723000,1736956160000,1736956160000,2025-01-15 10:31:00,2025-01-15 10:49:20,18.33,2165,-1035,1130,gex-level-fade:T000010,gex-lt-3m:T000004
gex-level-fade,gex-lt-3m,short,short,confluence,1737037140000,1737034260000,1737038852000,1737039600000,1737038852000,2025-01-16 09:19:00,2025-01-16 09:47:32,28.53,2000,2160,4160,gex-level-fade:T000011,gex-lt-3m:T000006
gex-level-fade,gex-lt-3m,long,long,confluence,1737039660000,1737042364000,1737043698000,1737045777000,1737043698000,2025-01-16 10:46:04,2025-01-16 11:08:18,22.23,2420,-1035,1385,gex-level-fade:T000012,gex-lt-3m:T000007
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1737045560000,1737042364000,1737047700000,1737045777000,1737045777000,2025-01-16 11:39:20,2025-01-16 11:42:57,3.62,330,-1035,-705,gex-flip-ivpct:T000004,gex-lt-3m:T000007
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1737045560000,1737045963000,1737047700000,1737051300000,1737047700000,2025-01-16 11:46:03,2025-01-16 12:15:00,28.95,330,805,1135,gex-flip-ivpct:T000004,gex-lt-3m:T000008
gex-flip-ivpct,gex-level-fade,long,long,confluence,1737126600000,1737126670000,1737133200000,1737127290000,1737127290000,2025-01-17 10:11:10,2025-01-17 10:21:30,10.33,525,-395,130,gex-flip-ivpct:T000005,gex-level-fade:T000016
gex-flip-ivpct,gex-level-fade,long,long,confluence,1737126600000,1737127649000,1737133200000,1737129523000,1737129523000,2025-01-17 10:27:29,2025-01-17 10:58:43,31.23,525,1995,2520,gex-flip-ivpct:T000005,gex-level-fade:T000017
gex-level-fade,gex-lt-3m,short,short,confluence,1737385092000,1737384588000,1737393979000,1737386189000,1737386189000,2025-01-20 09:58:12,2025-01-20 10:16:29,18.28,1995,1190,3185,gex-level-fade:T000019,gex-lt-3m:T000012
gex-level-fade,gex-lt-3m,short,short,confluence,1737385092000,1737392460000,1737393979000,1737393971000,1737393971000,2025-01-20 12:01:00,2025-01-20 12:26:11,25.18,1995,1190,3185,gex-level-fade:T000019,gex-lt-3m:T000013
gex-level-fade,gex-lt-3m,short,long,conflict,1737468060000,1737469860000,1737470390000,1737470246000,1737470246000,2025-01-21 09:31:00,2025-01-21 09:37:26,6.43,2070,-1020,1050,gex-level-fade:T000020,gex-lt-3m:T000014
gex-level-fade,gex-lt-3m,long,long,confluence,1737555780000,1737556260000,1737557666000,1737558700000,1737557666000,2025-01-22 09:31:00,2025-01-22 09:54:26,23.43,2020,2390,4410,gex-level-fade:T000024,gex-lt-3m:T000016
gex-level-fade,gex-lt-3m,short,short,confluence,1737558720000,1737558960000,1737563187000,1737564300000,1737563187000,2025-01-22 10:16:00,2025-01-22 11:26:27,70.45,-395,-660,-1055,gex-level-fade:T000025,gex-lt-3m:T000017
gex-level-fade,gex-lt-3m,long,long,confluence,1737642660000,1737643560000,1737653400000,1737648900000,1737648900000,2025-01-23 09:46:00,2025-01-23 11:15:00,89.00,1150,600,1750,gex-level-fade:T000027,gex-lt-3m:T000019
gex-level-fade,gex-lt-3m,long,short,conflict,1737642660000,1737648960000,1737653400000,1737654300000,1737653400000,2025-01-23 11:16:00,2025-01-23 12:30:00,74.00,1150,310,1460,gex-level-fade:T000027,gex-lt-3m:T000020
gex-level-fade,gex-lt-3m,short,short,confluence,1737729960000,1737730140000,1737730149000,1737731745000,1737730149000,2025-01-24 09:49:00,2025-01-24 09:49:09,0.15,-395,1190,795,gex-level-fade:T000029,gex-lt-3m:T000023
gex-level-fade,gex-lt-3m,short,short,confluence,1737730680000,1737730140000,1737730815000,1737731745000,1737730815000,2025-01-24 09:58:00,2025-01-24 10:00:15,2.25,-395,1190,795,gex-level-fade:T000030,gex-lt-3m:T000023
gex-level-fade,gex-lt-3m,long,long,confluence,1737991501000,1737991860000,1737992452000,1737993442000,1737992452000,2025-01-27 10:31:00,2025-01-27 10:40:52,9.87,1995,-1020,975,gex-level-fade:T000037,gex-lt-3m:T000028
gex-level-fade,gex-lt-3m,long,long,confluence,1738073291000,1738073760000,1738074695000,1738074958000,1738074695000,2025-01-28 09:16:00,2025-01-28 09:31:35,15.58,-395,-1020,-1415,gex-level-fade:T000038,gex-lt-3m:T000030
gex-level-fade,gex-lt-3m,long,long,confluence,1738076220000,1738075740000,1738077562000,1738076407000,1738076407000,2025-01-28 09:57:00,2025-01-28 10:00:07,3.12,2065,2390,4455,gex-level-fade:T000039,gex-lt-3m:T000031
gex-level-fade,gex-lt-3m,long,long,confluence,1738076220000,1738077360000,1738077562000,1738082700000,1738077562000,2025-01-28 10:16:00,2025-01-28 10:19:22,3.37,2065,1080,3145,gex-level-fade:T000039,gex-lt-3m:T000032
gex-flip-ivpct,gex-lt-3m,short,short,confluence,1738143955000,1738154761000,1738160700000,1738160100000,1738160100000,2025-01-29 07:46:01,2025-01-29 09:15:00,88.98,650,855,1505,gex-flip-ivpct:T000006,gex-lt-3m:T000034
gex-level-fade,gex-lt-3m,short,long,conflict,1738249165000,1738249260000,1738249448000,1738249376000,1738249376000,2025-01-30 10:01:00,2025-01-30 10:02:56,1.93,1995,-1015,980,gex-level-fade:T000044,gex-lt-3m:T000037
gex-level-fade,gex-lt-3m,long,long,confluence,1738591860000,1738590916000,1738593572000,1738595001000,1738593572000,2025-02-03 09:11:00,2025-02-03 09:39:32,28.53,2080.8,-1035,1045.8000000000002,gex-level-fade:T000050,gex-lt-3m:T000044
gex-level-fade,gex-lt-3m,short,long,conflict,1738679838000,1738677660000,1738679925000,1738680631000,1738679925000,2025-02-04 09:37:18,2025-02-04 09:38:45,1.45,-395,2390,1995,gex-level-fade:T000059,gex-lt-3m:T000046
gex-level-fade,gex-lt-3m,long,long,confluence,1738680420000,1738677660000,1738681218000,1738680631000,1738680631000,2025-02-04 09:47:00,2025-02-04 09:50:31,3.52,2065,2390,4455,gex-level-fade:T000060,gex-lt-3m:T000046
gex-level-fade,gex-lt-3m,short,long,conflict,1738682400000,1738681263000,1738683641000,1738686600000,1738683641000,2025-02-04 10:20:00,2025-02-04 10:40:41,20.68,-395,1550,1155,gex-level-fade:T000061,gex-lt-3m:T000047
gex-level-fade,gex-lt-3m,short,long,conflict,1738854720000,1738854960000,1738855141000,1738855507000,1738855141000,2025-02-06 10:16:00,2025-02-06 10:19:01,3.02,-395,-1035,-1430,gex-level-fade:T000070,gex-lt-3m:T000050
gex-level-fade,gex-lt-3m,short,long,conflict,1738855260000,1738854960000,1738866000000,1738855507000,1738855507000,2025-02-06 10:21:00,2025-02-06 10:25:07,4.12,65,-1035,-970,gex-level-fade:T000071,gex-lt-3m:T000050
