strategies,sides,type,overlap_start_et,overlap_end_et,overlap_minutes,joint_pnl,pnl_each,ids
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-01-15 10:31:00,2025-01-15 10:33:00,2.00,1570,440|2165|-1035,gex-flip-ivpct:T000003|gex-level-fade:T000010|gex-lt-3m:T000004
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-02-07 09:20:39,2025-02-07 09:30:46,10.12,-2655,-1225|-395|-1035,gex-flip-ivpct:T000010|gex-level-fade:T000072|gex-lt-3m:T000053
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-02-10 09:01:00,2025-02-10 09:30:00,29.00,3085,3165|-395|315,gex-flip-ivpct:T000011|gex-level-fade:T000077|gex-lt-3m:T000058
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-02-10 09:46:00,2025-02-10 09:46:15,0.25,4005,3165|-395|1235,gex-flip-ivpct:T000011|gex-level-fade:T000077|gex-lt-3m:T000059
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-02-10 10:02:00,2025-02-10 10:05:24,3.40,4005,3165|-395|1235,gex-flip-ivpct:T000011|gex-level-fade:T000078|gex-lt-3m:T000059
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-02-10 10:23:00,2025-02-10 10:34:14,11.23,4005,3165|-395|1235,gex-flip-ivpct:T000011|gex-level-fade:T000081|gex-lt-3m:T000059
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-02-11 09:34:00,2025-02-11 09:35:56,1.93,3250,1255|-395|2390,gex-flip-ivpct:T000012|gex-level-fade:T000083|gex-lt-3m:T000062
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|short,mixed,2025-02-14 10:50:00,2025-02-14 10:56:06,6.10,270,510|-395|155,gex-flip-ivpct:T000017|gex-level-fade:T000096|gex-lt-3m:T000070
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|long,mixed,2025-02-20 09:05:00,2025-02-20 09:15:00,10.00,2555,295|1995|265,gex-flip-ivpct:T000020|gex-level-fade:T000104|gex-lt-3m:T000081
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-02-20 09:34:00,2025-02-20 09:39:00,5.00,4680,295|1995|2390,gex-flip-ivpct:T000020|gex-level-fade:T000104|gex-lt-3m:T000082
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|long,mixed,2025-02-21 10:22:00,2025-02-21 10:22:20,0.33,2585,4000|-395|-1020,gex-flip-ivpct:T000021|gex-level-fade:T000111|gex-lt-3m:T000086
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-03-24 10:43:00,2025-03-24 10:49:50,6.83,-2335,-1220|-395|-720,gex-flip-ivpct:T000034|gex-level-fade:T000214|gex-lt-3m:T000146
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|long,mixed,2025-04-08 10:06:00,2025-04-08 10:17:29,11.48,-2650,-1220|-395|-1035,gex-flip-ivpct:T000039|gex-level-fade:T000265|gex-lt-3m:T000179
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-05-08 09:33:00,2025-05-08 09:38:36,5.60,3450,1450|-395|2395,gex-flip-ivpct:T000047|gex-level-fade:T000372|gex-lt-3m:T000278
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-05-08 09:48:11,2025-05-08 09:48:36,0.42,3450,1450|-395|2395,gex-flip-ivpct:T000047|gex-level-fade:T000373|gex-lt-3m:T000278
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-05-08 10:09:18,2025-05-08 10:11:40,2.37,3450,1450|-395|2395,gex-flip-ivpct:T000047|gex-level-fade:T000374|gex-lt-3m:T000278
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|short,mixed,2025-05-15 10:31:00,2025-05-15 11:03:01,32.02,2580,4000|-395|-1025,gex-flip-ivpct:T000055|gex-level-fade:T000385|gex-lt-3m:T000292
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-05-19 09:16:40,2025-05-19 09:31:11,14.52,8390,4000|2000|2390,gex-flip-ivpct:T000057|gex-level-fade:T000389|gex-lt-3m:T000301
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-05-19 10:02:00,2025-05-19 10:02:18,0.30,4790,4000|-395|1185,gex-flip-ivpct:T000057|gex-level-fade:T000390|gex-lt-3m:T000302
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-05-20 10:01:00,2025-05-20 10:58:00,57.00,2920,310|2010|600,gex-flip-ivpct:T000059|gex-level-fade:T000395|gex-lt-3m:T000305
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-05-21 09:35:00,2025-05-21 09:45:00,10.00,7120,3995|2025|1100,gex-flip-ivpct:T000061|gex-level-fade:T000397|gex-lt-3m:T000307
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-05-21 09:46:00,2025-05-21 09:49:38,3.63,8410,3995|2025|2390,gex-flip-ivpct:T000061|gex-level-fade:T000397|gex-lt-3m:T000308
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-05-21 10:02:15,2025-05-21 10:51:30,49.25,5990,3995|-395|2390,gex-flip-ivpct:T000061|gex-level-fade:T000398|gex-lt-3m:T000308
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-06-10 10:02:25,2025-06-10 11:31:00,88.58,385,-1235|2245|-625,gex-flip-ivpct:T000065|gex-level-fade:T000445|gex-lt-3m:T000361
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|short,mixed,2025-06-11 10:10:00,2025-06-11 10:12:25,2.42,1630,-30|2690|-1030,gex-flip-ivpct:T000067|gex-level-fade:T000446|gex-lt-3m:T000366
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-06-13 09:05:00,2025-06-13 09:11:03,6.05,1690,715|2000|-1025,gex-flip-ivpct:T000072|gex-level-fade:T000452|gex-lt-3m:T000375
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-06-13 10:01:00,2025-06-13 10:10:00,9.00,1745,715|2065|-1035,gex-flip-ivpct:T000072|gex-level-fade:T000453|gex-lt-3m:T000377
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|short,mixed,2025-06-26 10:31:00,2025-06-26 12:00:00,89.00,4535,3315|2000|-780,gex-flip-ivpct:T000073|gex-level-fade:T000482|gex-lt-3m:T000403
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-07-01 09:31:09,2025-07-01 09:51:00,19.85,3495,4000|-395|-110,gex-flip-ivpct:T000074|gex-level-fade:T000488|gex-lt-3m:T000413
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-07-01 09:52:11,2025-07-01 10:03:00,10.82,5885,4000|1995|-110,gex-flip-ivpct:T000074|gex-level-fade:T000489|gex-lt-3m:T000413
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-07-01 10:31:00,2025-07-01 10:34:26,3.43,7185,4000|1995|1190,gex-flip-ivpct:T000074|gex-level-fade:T000489|gex-lt-3m:T000414
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-07-02 09:33:10,2025-07-02 09:38:31,5.35,5765,3750|-395|2410,gex-flip-ivpct:T000076|gex-level-fade:T000490|gex-lt-3m:T000416
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-07-02 09:46:00,2025-07-02 10:06:52,20.87,5765,3750|-395|2410,gex-flip-ivpct:T000076|gex-level-fade:T000491|gex-lt-3m:T000416
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-07-02 10:24:00,2025-07-02 10:25:50,1.83,5765,3750|-395|2410,gex-flip-ivpct:T000076|gex-level-fade:T000492|gex-lt-3m:T000416
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-07-09 10:01:00,2025-07-09 10:24:00,23.00,1540,450|2125|-1035,gex-flip-ivpct:T000077|gex-level-fade:T000502|gex-lt-3m:T000427
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|long,mixed,2025-07-22 09:46:00,2025-07-22 09:46:38,0.63,4970,3995|2000|-1025,gex-flip-ivpct:T000078|gex-level-fade:T000529|gex-lt-3m:T000455
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-08-12 09:49:00,2025-08-12 09:49:15,0.25,-2665,-1235|-395|-1035,gex-flip-ivpct:T000083|gex-level-fade:T000570|gex-lt-3m:T000501
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-08-15 09:31:00,2025-08-15 09:45:41,14.68,4100,750|1995|1355,gex-flip-ivpct:T000084|gex-level-fade:T000578|gex-lt-3m:T000518
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-09-17 09:58:00,2025-09-17 10:42:24,44.40,3977,787|1995|1195,gex-flip-ivpct:T000089|gex-level-fade:T000639|gex-lt-3m:T000563
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-09-24 09:49:00,2025-09-24 09:49:59,0.98,4605,4000|-395|1000,gex-flip-ivpct:T000091|gex-level-fade:T000656|gex-lt-3m:T000573
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-09-29 09:29:00,2025-09-29 09:45:30,16.50,-150,-1230|2110|-1030,gex-flip-ivpct:T000092|gex-level-fade:T000664|gex-lt-3m:T000578
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-10-01 09:46:00,2025-10-01 09:47:00,1.00,-1275,145|-395|-1025,gex-flip-ivpct:T000097|gex-level-fade:T000669|gex-lt-3m:T000584
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-10-07 10:25:00,2025-10-07 10:33:00,8.00,6760,3995|2000|765,gex-flip-ivpct:T000098|gex-level-fade:T000676|gex-lt-3m:T000588
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-10-07 10:37:00,2025-10-07 11:03:37,26.62,8385,3995|2000|2390,gex-flip-ivpct:T000098|gex-level-fade:T000676|gex-lt-3m:T000589
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2025-10-17 09:52:05,2025-10-17 09:53:28,1.38,2335,340|-395|2390,gex-flip-ivpct:T000108|gex-level-fade:T000701|gex-lt-3m:T000609
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-11-06 09:04:00,2025-11-06 09:05:06,1.10,5995,3995|-395|2395,gex-flip-ivpct:T000113|gex-level-fade:T000742|gex-lt-3m:T000629
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-11-12 09:20:00,2025-11-12 09:30:03,10.05,5995,4000|-395|2390,gex-flip-ivpct:T000120|gex-level-fade:T000754|gex-lt-3m:T000636
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|long|long,all-long,2025-11-19 09:40:00,2025-11-19 09:44:19,4.32,8580,4000|2185|2395,gex-flip-ivpct:T000126|gex-level-fade:T000770|gex-lt-3m:T000649
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|short,mixed,2025-12-01 10:20:00,2025-12-01 10:25:13,5.22,1995,-1205|2005|1195,gex-flip-ivpct:T000137|gex-level-fade:T000807|gex-lt-3m:T000663
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|short,mixed,2025-12-23 10:30:00,2025-12-23 10:39:54,9.90,1298,2728|-395|-1035,gex-flip-ivpct:T000146|gex-level-fade:T000861|gex-lt-3m:T000695
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2025-12-31 09:31:00,2025-12-31 09:38:13,7.22,8390,4005|1995|2390,gex-flip-ivpct:T000148|gex-level-fade:T000870|gex-lt-3m:T000708
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-12-31 09:45:16,2025-12-31 09:45:30,0.23,6000,4005|-395|2390,gex-flip-ivpct:T000148|gex-level-fade:T000871|gex-lt-3m:T000708
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-12-31 09:53:01,2025-12-31 09:53:36,0.58,6000,4005|-395|2390,gex-flip-ivpct:T000148|gex-level-fade:T000872|gex-lt-3m:T000708
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2025-12-31 10:19:00,2025-12-31 10:55:27,36.45,6000,4005|-395|2390,gex-flip-ivpct:T000148|gex-level-fade:T000873|gex-lt-3m:T000708
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2026-01-02 09:20:02,2026-01-02 09:30:14,10.20,-2665,-1235|-395|-1035,gex-flip-ivpct:T000149|gex-level-fade:T000874|gex-lt-3m:T000711
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2026-01-15 09:10:01,2026-01-15 09:24:37,14.60,-1045,385|-395|-1035,gex-flip-ivpct:T000155|gex-level-fade:T000901|gex-lt-3m:T000743
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|short|short,all-short,2026-01-15 09:31:00,2026-01-15 09:42:00,11.00,2679.8,385|2060|235,gex-flip-ivpct:T000155|gex-level-fade:T000902|gex-lt-3m:T000744
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2026-01-20 09:31:00,2026-01-20 09:33:49,2.82,6010,4000|-395|2405,gex-flip-ivpct:T000159|gex-level-fade:T000911|gex-lt-3m:T000748
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2026-01-21 10:16:02,2026-01-21 10:16:26,0.40,5990,3995|-395|2390,gex-flip-ivpct:T000163|gex-level-fade:T000914|gex-lt-3m:T000749
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2026-01-21 10:29:00,2026-01-21 10:31:09,2.15,5990,3995|-395|2390,gex-flip-ivpct:T000163|gex-level-fade:T000915|gex-lt-3m:T000749
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2026-01-27 09:27:00,2026-01-27 09:30:25,3.42,1290,390|-395|1295,gex-flip-ivpct:T000165|gex-level-fade:T000927|gex-lt-3m:T000758
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2026-01-29 09:14:00,2026-01-29 09:27:00,13.00,4800,3995|-395|1200,gex-flip-ivpct:T000166|gex-level-fade:T000933|gex-lt-3m:T000763
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2026-02-03 09:01:00,2026-02-03 09:07:00,6.00,4045,4005|-395|435,gex-flip-ivpct:T000170|gex-level-fade:T000941|gex-lt-3m:T000769
gex-flip-ivpct|gex-level-fade|gex-lt-3m,short|long|short,mixed,2026-02-03 09:16:00,2026-02-03 09:16:17,0.28,5210,4005|-395|1600,gex-flip-ivpct:T000170|gex-level-fade:T000941|gex-lt-3m:T000770
gex-flip-ivpct|gex-level-fade|gex-lt-3m,long|short|long,mixed,2026-04-09 09:49:00,2026-04-09 09:51:00,2.00,1410,190|2255|-1035,gex-flip-ivpct:T000187|gex-level-fade:T001062|gex-lt-3m:T000895
