date,et_min,spot_qqq,net0_gamma,net0_sign,absg0,pin_pos,gflip0,cg_imb,n_trades_cum
2025-01-29,585,520.58,-1.487872e+02,-1,7.456326e+02,520.0,484.5,-0.8316,24902
2025-01-29,600,520.8,-2.127143e+02,-1,9.297695e+02,518.0,484.5,-0.6030,43077
2025-01-29,615,520.82,-7.880198e+01,-1,1.031712e+03,518.0,484.5,-0.4718,58258
2025-01-29,630,520.52,8.647341e+01,1,1.394382e+03,518.0,484.5,-0.4366,70688
2025-01-29,645,519.64,1.607123e+02,1,1.409487e+03,519.0,484.5,-0.5162,81572
2025-01-29,660,520.19,-8.568501e+00,-1,1.383715e+03,516.0,484.5,-0.3557,92048
2025-01-29,675,519.82,-1.780988e+02,-1,1.438839e+03,516.0,484.5,-0.5707,98973
2025-01-29,690,519.81,-6.000330e+02,-1,1.744645e+03,516.0,484.5,-0.6129,104140
2025-01-29,705,520.11,-6.340242e+02,-1,1.851048e+03,518.0,484.5,-0.2935,109727
2025-01-29,720,520.15,-7.631486e+02,-1,2.153882e+03,516.0,484.5,-0.3687,115135
2025-01-29,735,520.51,-7.401210e+02,-1,2.065532e+03,517.0,484.5,-0.3787,120643
2025-01-29,750,520.72,-5.968637e+02,-1,2.106542e+03,516.0,484.5,-0.4280,125586
2025-01-29,765,520.47,-6.032420e+02,-1,2.094652e+03,516.0,484.5,-0.3830,128631
2025-01-29,780,519.8,-6.377808e+02,-1,2.229906e+03,516.0,484.5,-0.6606,133654
2025-01-29,795,519.14,-5.304348e+02,-1,2.338405e+03,519.0,484.5,-0.6184,152113
2025-01-29,810,519.87,-4.075644e+02,-1,2.206997e+03,519.0,484.5,-0.6185,158334
2025-01-29,825,519.19,-4.168782e+02,-1,2.099791e+03,516.0,484.5,-0.6250,165275
2025-01-29,840,518.03,-4.623473e+02,-1,2.088800e+03,519.0,484.5,-0.3250,170632
2025-01-29,855,518.37,-2.915505e+02,-1,1.823404e+03,516.0,484.5,-0.3407,182022
2025-01-29,870,517.95,-2.413285e+02,-1,1.931226e+03,516.0,484.5,-0.2412,189986
2025-01-29,885,520.89,-4.812226e+02,-1,2.032560e+03,516.0,484.5,-0.3399,208158
2025-01-29,900,520.91,-5.967718e+02,-1,2.014201e+03,516.0,444.5,-0.4842,218373
2025-01-29,915,520.29,-6.628290e+02,-1,2.237171e+03,516.0,444.5,-0.4132,226177
2025-01-29,930,521.94,-9.669553e+02,-1,2.274369e+03,516.0,444.5,-0.0401,235408
2025-01-29,945,520.67,-1.072245e+03,-1,2.506497e+03,516.0,444.5,-0.3796,242219
2025-01-30,570,523.42,-7.921805e+02,-1,1.456735e+03,526.0,445.5,0.1803,0
2025-01-30,585,523.87,-1.126533e+03,-1,2.034346e+03,516.0,445.5,0.0481,25630
2025-01-30,600,523.61,-1.217928e+03,-1,2.546427e+03,526.0,445.5,-0.0392,57243
2025-01-30,615,522.56,-1.383440e+03,-1,2.571411e+03,516.0,445.5,-0.0404,81360
2025-01-30,630,520.58,-1.308137e+03,-1,2.900696e+03,516.0,445.5,-0.1013,98150
2025-01-30,645,521.45,-1.366018e+03,-1,3.097123e+03,516.0,445.5,0.0319,114531
2025-01-30,660,519.65,-2.015274e+03,-1,3.301679e+03,516.0,445.5,-0.2528,131507
2025-01-30,675,518.95,-2.204958e+03,-1,3.433397e+03,516.0,445.5,-0.3546,145336
2025-01-30,690,521.46,-2.074359e+03,-1,3.559586e+03,516.0,445.5,-0.0752,157118
2025-01-30,705,521.43,-2.124982e+03,-1,3.716127e+03,526.0,445.5,-0.0375,164933
2025-01-30,720,522.24,-2.167157e+03,-1,3.870719e+03,526.0,445.5,0.1922,175377
2025-01-30,735,521.52,-2.302467e+03,-1,3.965364e+03,526.0,445.5,0.0833,183036
2025-01-30,750,520.58,-2.298351e+03,-1,4.156078e+03,526.0,445.5,0.0576,190696
2025-01-30,765,520.91,-2.270614e+03,-1,4.037059e+03,526.0,445.5,0.0961,196397
2025-01-30,780,521.28,-2.299329e+03,-1,3.963393e+03,526.0,445.5,0.2229,199648
2025-01-30,795,521.44,-2.385282e+03,-1,4.068612e+03,526.0,445.5,0.2375,204747
2025-01-30,810,521.54,-1.884150e+03,-1,4.133363e+03,526.0,445.5,0.2869,208935
2025-01-30,825,522.53,-1.899748e+03,-1,4.245323e+03,526.0,445.5,0.4104,214419
2025-01-30,840,522.57,-2.191247e+03,-1,4.359807e+03,526.0,445.5,0.3767,218308
2025-01-30,855,522.98,-1.898819e+03,-1,4.236746e+03,526.0,445.5,0.4060,222413
2025-01-30,870,522.75,-1.970595e+03,-1,4.576604e+03,526.0,445.5,0.4363,225478
2025-01-30,885,522.88,-2.109229e+03,-1,4.701894e+03,526.0,445.5,0.4203,228947
2025-01-30,900,523.99,-2.080580e+03,-1,4.123200e+03,526.0,445.5,0.3703,235860
2025-01-30,915,524.31,-2.158688e+03,-1,4.270315e+03,524.0,445.5,0.1527,242402
2025-01-30,930,524.44,-2.638722e+03,-1,5.084293e+03,529.0,445.5,0.0792,247580
2025-01-30,945,521.65,-3.104083e+03,-1,5.445163e+03,516.0,445.5,0.0377,257348
2025-01-31,570,527.36,-7.095629e+01,-1,2.354755e+03,530.0,432.5,0.6684,0
2025-01-31,585,527.56,-4.109033e+02,-1,2.841266e+03,530.0,432.5,0.5802,32039
2025-01-31,600,529.5,-2.886979e+02,-1,2.420854e+03,529.0,432.5,0.3996,58870
2025-01-31,615,529.8,-3.466315e+02,-1,2.845223e+03,530.0,432.5,0.3572,88109
2025-01-31,630,530.21,-7.629922e+02,-1,3.033617e+03,530.0,432.5,0.0939,98572
2025-01-31,645,530.16,-9.178674e+02,-1,3.114015e+03,530.0,432.5,-0.0303,114482
2025-01-31,660,531.21,-7.504520e+02,-1,3.348017e+03,529.0,432.5,-0.0187,127654
2025-01-31,675,531.17,-9.922609e+02,-1,3.651281e+03,529.0,432.5,-0.0125,139953
2025-01-31,690,530.46,-1.754769e+03,-1,4.373856e+03,529.0,387.5,-0.1871,148911
2025-01-31,705,529.89,-1.616501e+03,-1,3.874480e+03,530.0,387.5,0.0802,160706
2025-01-31,720,530.11,-1.778777e+03,-1,4.025987e+03,529.0,387.5,-0.0159,168743
2025-01-31,735,530.17,-2.119783e+03,-1,4.205888e+03,536.0,387.5,-0.0099,178194
