predictor_id,predictor_description,response,n,spearman_r,p_value,top_decile_effect,bottom_decile_effect,decile_diff,hit_rate_top,hit_rate_bot,train_diff,test_diff,promotable,notes
p01_total_gex_zscore,"total_gex Z-score over rolling 30d",fwd_realized_vol_30m,16205,-0.2959,0.00e+0,0.0003,0.0004,-0.0001,1.0000,1.0000,-0.0001,-0.0002,true," | effectPts(30m_vol)=-17.94"
p01_total_gex_zscore,"total_gex Z-score over rolling 30d",abs_fwd_ret_15m,16205,-0.1671,0.00e+0,0.0008,0.0013,-0.0005,0.9944,0.9963,-0.0005,-0.0005,true," | effectPts=-10.29"
p02_wall_asymmetry,"(call_wall - 2*spot + put_wall) / ATR20",fwd_ret_60m,15919,0.0079,3.21e-1,0.0001,0.0000,0.0001,0.4925,0.5361,-0.0000,0.0002,false,"|r|<0.10 (0.008); effect too small (pts=1.91, hitDiff=undefinedpp); train/test unstable (train=-0.517, test=4.767) | effectPts=1.91"
p03_flip_dist,"(spot - gamma_flip) / ATR20",fwd_ret_60m,8850,0.0236,2.62e-2,0.0002,-0.0000,0.0003,0.5842,0.5288,0.0003,0.0002,false,"|r|<0.10 (0.024) | effectPts=5.90"
p03_flip_drift_4,"Δ gamma_flip over last 4 snapshots / ATR20",fwd_ret_60m,8234,-0.0447,4.88e-5,-0.0001,0.0002,-0.0003,0.5158,0.5747,-0.0003,-0.0003,false,"|r|<0.10 (-0.045) | effectPts=-7.58"
p04_iv_term_ratio,"dte0_avg_iv / 7dte_atm_iv",fwd_ret_60m,4463,-0.0696,3.17e-6,-0.0010,0.0003,-0.0013,0.4407,0.5897,-0.0009,-0.0019,false,"|r|<0.10 (-0.070) | effectPts=-28.15"
p04_iv_term_ratio,"dte0_avg_iv / 7dte_atm_iv",abs_fwd_ret_60m,4463,0.2947,0.00e+0,0.0042,0.0012,0.0030,1.0000,0.9933,0.0033,0.0024,true," | effectPts=66.44"
p05_iv_crush_event,"binary: iv_change_30m_z ≤ -1.5 AND nq_range_30m < 0.5*ATR20",abs_fwd_ret_60m,6876,,,0.0027,0.0024,0.0003,0.5772,0.5264,0.0004,0.0000,false,"event_n=246; effectPts=6.45; t=1.55; hit-diff=5.08pp"
p06_cross_up,"binary: spot crossed above gamma_flip in this 15-min snapshot",fwd_ret_60m,8394,,,0.0005,-0.0000,0.0005,0.6578,0.5338,0.0008,-0.0003,false,"event_n=187; effectPts=10.40; hit-diff=12.39pp; t=2.75"
p06_cross_down,"binary: spot crossed below gamma_flip in this 15-min snapshot",fwd_ret_60m,8395,,,-0.0005,-0.0000,-0.0005,0.4787,0.5338,-0.0005,-0.0004,true,"event_n=188; effectPts=-10.31; hit-diff=-5.51pp; t=-2.02"
p07_conf_overhead,"binary: at least one LT level within 25 NQ pts of call_wall above spot (excl. opposite side)",fwd_ret_60m,10956,,,-0.0002,0.0000,-0.0002,0.5025,0.5259,-0.0003,0.0000,false,"event_n=1208; effectPts=-4.88; hit-diff=-2.34pp; t=-2.40"
p07_conf_underneath,"binary: at least one LT level within 25 NQ pts of put_wall below spot (excl. opposite side)",fwd_ret_60m,11092,,,0.0003,0.0000,0.0003,0.5469,0.5259,0.0002,0.0004,true,"event_n=1344; effectPts=5.95; hit-diff=2.10pp; t=2.61"
p08_positive_h10,"regime=positive at hour-of-day=10 UTC",fwd_ret_15m,513,,,0.0000,0.0000,0.0000,0.5575,0.5056,0.0001,0.0000,false,"cell n=513; effectPts=0.84; hit-diff=5.19pp; t=1.41"
p08_positive_h11,"regime=positive at hour-of-day=11 UTC",fwd_ret_15m,510,,,0.0001,0.0000,0.0001,0.5549,0.5056,0.0001,0.0000,false,"cell n=510; effectPts=1.33; hit-diff=4.93pp; t=2.02"
p08_positive_h12,"regime=positive at hour-of-day=12 UTC",fwd_ret_15m,514,,,0.0001,0.0000,0.0001,0.5311,0.5056,0.0001,0.0001,false,"cell n=514; effectPts=1.99; hit-diff=2.55pp; t=2.27"
p08_positive_h15,"regime=positive at hour-of-day=15 UTC",fwd_ret_15m,532,,,0.0002,0.0000,0.0002,0.5620,0.5056,0.0002,0.0002,true,"cell n=532; effectPts=3.45; hit-diff=5.64pp; t=2.83"
p08_positive_h16,"regime=positive at hour-of-day=16 UTC",fwd_ret_15m,542,,,0.0001,0.0000,0.0001,0.5387,0.5056,0.0000,0.0001,false,"cell n=542; effectPts=1.55; hit-diff=3.31pp; t=1.45"
p07_conf_underneath_DETRENDED,"binary: LT-level within 25 pts of put_wall below spot — DETRENDED response (fwd_ret − daily_mean)",fwd_ret_60m_detrended,11092,,,0.0000,-0.0000,0.0001,0.4844,0.5002,0.0000,0.0002,false,"event_n=1344; effectPts=1.17; hit-diff=-1.58pp; t=0.52"
p07_conf_overhead_DETRENDED,"binary: LT-level within 25 pts of call_wall above spot — DETRENDED response (fwd_ret − daily_mean)",fwd_ret_60m_detrended,10956,,,0.0001,-0.0000,0.0001,0.5588,0.5002,-0.0000,0.0004,false,"event_n=1208; effectPts=2.25; hit-diff=5.86pp; t=1.16"
p08_positive_h15_DETRENDED,"regime=positive at hour 15 UTC — DETRENDED response",fwd_ret_15m_detrended,532,,,0.0001,0.0000,0.0001,0.5545,0.4993,0.0001,0.0001,true,"cell n=532; effectPts=2.73; hit-diff=5.52pp; t=2.26"
