label,trades,pnl,pf,sharpe,max_dd,win_rate,avg_trade,calmar
hours_default,2403,84736,1.29,4.80,5.62,53.77,35.26,11.03
hours_just_11_12,1209,37217,1.29,2.89,4.15,53.52,30.78,6.75
hours_11_to_15,3059,143765,1.28,5.58,7.41,53.68,47.00,13.63
hours_10_to_12,1805,40843,1.23,3.06,3.71,52.96,22.63,8.36
hours_15_only,598,43893,1.40,3.09,4.42,56.19,73.40,7.47
hours_morning_full,4876,172057,1.24,6.46,6.99,53.22,35.29,17.02
regime_strong_pos_only,214,12042,1.55,1.69,1.91,53.27,56.27,4.71
regime_pos_neutral,3341,52941,1.11,1.95,15.31,52.14,15.85,2.61
with_cross_down,2722,113102,1.32,5.20,4.87,54.19,41.55,16.63
hours_11_12_strong_pos,124,3864,1.28,0.32,1.50,49.19,31.16,2.00
