id,entryTime,exitTime,side,levelType,levelPrice,entryPrice,barsHeld,exitReason,pnl_pts,mfe_pts,mae_pts,won,entry_gamma_flip,entry_gamma_flip_dist_raw,entry_total_gex,entry_gamma_imbalance,entry_regime,entry_in_dir_wall,entry_in_dir_wall_dist,entry_in_dir_wall_strength,entry_opp_wall,entry_opp_wall_dist,entry_opp_wall_strength,entry_iv,entry_skew,snapshots_during_trade,gamma_flip_drift_raw,gamma_flip_drift_signed_dir,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,in_dir_wall_move_raw,opp_wall_move_raw,total_gex_change_pct,gamma_imbalance_change,regime_changed,exit_regime,iv_change,skew_change
T000001,2025-01-13T14:42:00.000Z,2025-01-13T14:56:20.000Z,long,S1,20715.2100,20712.2500,14.0000,take_profit,119.7500,119.1500,10.2500,1.0000,,,-4285518583.5956,-0.7595,negative,20715.2100,-2.9600,1506523305.7936,21958.1200,1245.8700,68571015.1833,[object Object],-0.0195,1.0000,,,-0.0463,0.0268,-0.8700,-0.9200,0.0475,0.0152,0.0000,negative,-0.0200,0.0055
T000002,2025-01-13T15:29:04.000Z,2025-01-13T15:42:56.000Z,long,S1,20712.6900,20724.5000,13.0000,take_profit,119.7500,119.0000,10.2500,1.0000,,,-4309878958.8063,-0.7863,negative,20712.6900,11.8100,1640952688.4697,21748.3300,1023.8300,65718730.5766,[object Object],-0.0226,1.0000,,,-0.2530,0.1456,228.7300,449.5800,0.1734,0.0541,0.0000,negative,-0.0259,0.0052
T000003,2025-01-13T17:02:00.000Z,2025-01-13T17:21:46.000Z,long,S1,20717.5300,20724.2500,19.0000,take_profit,120.7500,119.0000,3.0000,1.0000,,,-4005168230.8120,-0.7384,negative,20717.5300,6.7200,1411780036.3756,21960.5800,1236.3300,71024789.7057,[object Object],-0.0200,1.0000,,,-0.0997,0.0459,-1.1200,-1.1900,0.0887,0.0099,0.0000,negative,-0.0068,-0.0050
T000004,2025-01-13T19:46:00.000Z,2025-01-13T20:45:00.000Z,short,R5,20916.6100,20914.2500,60.0000,max_hold_time,7.7500,45.2500,9.7500,1.0000,,,-3546429108.6843,-0.7084,negative,21961.6500,1047.4000,79379876.7039,20718.5400,195.7100,1034631446.1208,[object Object],0.0131,4.0000,,,0.0447,-0.1751,-2.4500,-2.3100,0.1259,-0.0265,0.0000,negative,0.0009,0.0236
T000005,2025-01-14T14:43:00.000Z,2025-01-14T14:54:08.000Z,short,R1,21122.8400,21120.0000,11.0000,take_profit,120.2500,119.0000,4.2500,1.0000,,,-1723980580.1525,-0.4243,negative,21122.8400,2.8400,191343935.5413,20708.6700,411.3300,806152704.5183,[object Object],0.0120,1.0000,,,-0.6249,-0.1565,1074.5300,232.2500,-0.3796,-0.2759,0.0000,negative,0.0070,-0.0022
T000006,2025-01-14T16:36:00.000Z,2025-01-14T16:57:10.000Z,long,S1,20936.3100,20914.7500,21.0000,stop_loss,-80.7500,1.7500,74.7500,0.0000,,,-3402064286.9423,-0.6277,negative,20936.3100,-21.5600,1274371497.8585,21355.0400,440.2900,142488777.4044,[object Object],-0.0244,1.0000,,,0.0746,-0.1175,-228.2800,-232.8500,-0.0969,-0.0254,0.0000,negative,0.0114,0.0116
T000007,2025-01-14T18:17:00.000Z,2025-01-14T19:16:00.000Z,long,S2,20915.1300,20898.5000,60.0000,max_hold_time,92.7500,111.5000,9.5000,1.0000,,,-2871445290.8405,-0.7019,negative,20708.0500,190.4500,833696583.6623,21950.5300,1052.0300,74399055.0428,[object Object],-0.0255,4.0000,,,-0.1788,-0.0307,4.2800,4.5400,0.1637,0.0007,0.0000,negative,-0.0061,-0.0002
T000008,2025-01-15T15:56:11.000Z,2025-01-15T16:32:05.000Z,long,S4,21371.8600,21368.0000,36.0000,stop_loss,-81.5000,2.7500,78.7500,0.0000,22006.6600,-638.6600,1210801189.6512,0.3834,positive,21160.2500,207.7500,267396022.7823,22006.6600,638.6600,502478854.2010,[object Object],-0.0159,3.0000,,,1.3566,-0.2746,197.4400,-313.9500,-1.0859,-0.2917,1.0000,neutral,-0.0038,0.0055
T000009,2025-01-16T14:33:00.000Z,2025-01-16T15:32:00.000Z,short,R1,21453.8700,21435.7500,60.0000,max_hold_time,45.5000,99.5000,38.2500,1.0000,19456.7500,1979.0000,3868831352.2678,0.4434,positive,21453.8700,18.1200,2387344166.1530,21122.5300,313.2200,474831098.1815,[object Object],0.0105,4.0000,2189.5100,2189.5100,-0.5070,0.3153,234.2600,230.6500,-0.4182,-0.2811,0.0000,positive,-0.0129,0.0038
T000010,2025-01-16T16:13:31.000Z,2025-01-16T16:41:52.000Z,short,R1,21452.7200,21464.2500,28.0000,take_profit,119.7500,119.7500,0.5000,1.0000,19455.7100,2008.5400,4693098530.5138,0.5429,positive,21452.7200,-11.5300,2717383849.4394,21121.4100,342.8400,428090928.0426,[object Object],0.0182,2.0000,1956.5500,1956.5500,-0.8118,0.7578,0.9600,0.9300,-0.8023,-0.5891,1.0000,neutral,0.0117,-0.0296
