trade_id,side,levelType,entryTime,exitTime,snap_ts,bars_elapsed,bars_remaining,frac_elapsed,won,pnl_pts,mfe_pts,mae_pts,exit_reason,regime,gamma_flip,gamma_flip_dist,total_gex,gamma_imbalance,in_dir_wall,in_dir_wall_dist,in_dir_wall_strength,opp_wall,opp_wall_dist,opp_wall_strength,regime_changed_since_entry,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,total_gex_change_pct,gamma_imbalance_change,gamma_flip_drift_signed_dir
T000001,long,S1,2025-01-13T14:42:00.000Z,2025-01-13T14:56:20.000Z,2025-01-13T14:45:00.000Z,3.0000,11.0000,0.2093,1.0000,119.7500,119.1500,10.2500,take_profit,negative,,,-4081896424.7804,-0.7444,20714.3400,-2.0900,1436763115.8125,21957.2000,1244.9500,70408193.0133,0.0000,-0.0463,0.0268,0.0475,0.0152,
T000002,long,S1,2025-01-13T15:29:04.000Z,2025-01-13T15:42:56.000Z,2025-01-13T15:30:00.000Z,0.0000,12.0000,0.0673,1.0000,119.7500,119.0000,10.2500,take_profit,negative,,,-3562682562.0675,-0.7323,20941.4200,-216.9200,1225854402.4311,22197.9100,1473.4100,75286993.4210,0.0000,-0.2530,0.1456,0.1734,0.0541,
T000003,long,S1,2025-01-13T17:02:00.000Z,2025-01-13T17:21:46.000Z,2025-01-13T17:15:00.000Z,13.0000,6.0000,0.6577,1.0000,120.7500,119.0000,3.0000,take_profit,negative,,,-3649822654.2899,-0.7285,20716.4100,7.8400,1271087265.8543,21959.3900,1235.1400,74286415.5694,0.0000,-0.0997,0.0459,0.0887,0.0099,
T000004,short,R5,2025-01-13T19:46:00.000Z,2025-01-13T20:45:00.000Z,2025-01-13T20:00:00.000Z,14.0000,45.0000,0.2373,1.0000,7.7500,45.2500,9.7500,max_hold_time,negative,,,-3597132211.1524,-0.7219,22196.1500,1281.9000,78320159.6377,20939.7600,-25.5100,1084737912.5434,0.0000,-0.0133,0.0484,-0.0143,-0.0135,
T000004,short,R5,2025-01-13T19:46:00.000Z,2025-01-13T20:45:00.000Z,2025-01-13T20:15:00.000Z,29.0000,30.0000,0.4915,1.0000,7.7500,45.2500,9.7500,max_hold_time,negative,,,-3575108539.0006,-0.7287,21959.6100,1045.3600,77529165.4993,20716.6100,197.6400,1121994888.2884,0.0000,-0.0233,0.0844,-0.0081,-0.0202,
T000004,short,R5,2025-01-13T19:46:00.000Z,2025-01-13T20:45:00.000Z,2025-01-13T20:30:00.000Z,44.0000,15.0000,0.7458,1.0000,7.7500,45.2500,9.7500,max_hold_time,negative,,,-3596754308.2543,-0.7216,21960.2700,1046.0200,78357908.8290,20717.2400,197.0100,1082955090.9775,0.0000,-0.0129,0.0467,-0.0142,-0.0132,
T000004,short,R5,2025-01-13T19:46:00.000Z,2025-01-13T20:45:00.000Z,2025-01-13T20:45:00.000Z,59.0000,0.0000,1.0000,1.0000,7.7500,45.2500,9.7500,max_hold_time,negative,,,-3099829595.4690,-0.7349,21959.2000,1044.9500,82928566.5200,20716.2300,198.0200,853450430.0472,0.0000,0.0447,-0.1751,0.1259,-0.0265,
T000005,short,R1,2025-01-14T14:43:00.000Z,2025-01-14T14:54:08.000Z,2025-01-14T14:45:00.000Z,2.0000,9.0000,0.1796,1.0000,120.2500,119.0000,4.2500,take_profit,negative,,,-2378364254.6592,-0.7003,22197.3700,1077.3700,71781350.1833,20940.9200,179.0800,680011534.4248,0.0000,-0.6249,-0.1565,-0.3796,-0.2759,
T000006,long,S1,2025-01-14T16:36:00.000Z,2025-01-14T16:57:10.000Z,2025-01-14T16:45:00.000Z,9.0000,12.0000,0.4252,0.0000,-80.7500,1.7500,74.7500,stop_loss,negative,18844.3100,2070.4400,-3731859870.6325,-0.6531,20708.0300,206.7200,1369487766.2070,21122.1900,207.4400,125751125.4155,0.0000,0.0746,-0.1175,-0.0969,-0.0254,
T000007,long,S2,2025-01-14T18:17:00.000Z,2025-01-14T19:16:00.000Z,2025-01-14T18:30:00.000Z,13.0000,46.0000,0.2203,1.0000,92.7500,111.5000,9.5000,max_hold_time,negative,,,-2421029797.7682,-0.7018,20709.8400,188.6600,689284439.4482,21952.4300,1053.9300,72445981.6246,0.0000,-0.1732,-0.0263,0.1569,0.0000,
T000007,long,S2,2025-01-14T18:17:00.000Z,2025-01-14T19:16:00.000Z,2025-01-14T18:45:00.000Z,28.0000,31.0000,0.4746,1.0000,92.7500,111.5000,9.5000,max_hold_time,negative,,,-2257538620.0533,-0.6962,20709.8000,188.7000,671992619.4271,21952.3900,1053.8900,70569173.2326,0.0000,-0.1940,-0.0515,0.2138,0.0057,
T000007,long,S2,2025-01-14T18:17:00.000Z,2025-01-14T19:16:00.000Z,2025-01-14T19:00:00.000Z,43.0000,16.0000,0.7288,1.0000,92.7500,111.5000,9.5000,max_hold_time,negative,,,-2325642487.8238,-0.6983,20933.0700,-34.5700,673163510.4253,22189.0600,1290.5600,71128700.8860,0.0000,-0.1926,-0.0440,0.1901,0.0036,
T000007,long,S2,2025-01-14T18:17:00.000Z,2025-01-14T19:16:00.000Z,2025-01-14T19:15:00.000Z,58.0000,1.0000,0.9831,1.0000,92.7500,111.5000,9.5000,max_hold_time,negative,,,-2401257548.2217,-0.7012,20712.3300,186.1700,684593348.8675,21955.0700,1056.5700,72118592.8708,0.0000,-0.1788,-0.0307,0.1637,0.0007,
T000008,long,S4,2025-01-15T15:56:11.000Z,2025-01-15T16:32:05.000Z,2025-01-15T16:00:00.000Z,3.0000,32.0000,0.1063,0.0000,-81.5000,2.7500,78.7500,stop_loss,positive,21500.4900,-132.4900,1416753099.8391,0.4116,20713.3900,654.6100,261595413.1815,21459.0700,91.0700,431398826.4233,0.0000,-0.0217,-0.1415,0.1701,0.0282,506.1700
T000008,long,S4,2025-01-15T15:56:11.000Z,2025-01-15T16:32:05.000Z,2025-01-15T16:15:00.000Z,18.0000,17.0000,0.5241,0.0000,-81.5000,2.7500,78.7500,stop_loss,positive,21541.5300,-173.5300,1397579829.4251,0.4188,20713.0100,654.9900,272167247.1146,21541.5300,173.5300,527515808.6577,0.0000,0.0178,0.0498,0.1543,0.0353,465.1300
T000008,long,S4,2025-01-15T15:56:11.000Z,2025-01-15T16:32:05.000Z,2025-01-15T16:30:00.000Z,33.0000,2.0000,0.9420,0.0000,-81.5000,2.7500,78.7500,stop_loss,neutral,,,-104027397.4830,0.0917,21357.6900,10.3100,630145847.8485,21692.7100,324.7100,364494541.1540,1.0000,1.3566,-0.2746,-1.0859,-0.2917,
