ts_event,type,price,confirmed_at,symbol
2024-10-01T00:15:00.000Z,low,20222,2024-10-01T00:24:00.000Z,NQZ4
2024-10-01T00:43:00.000Z,low,20248.5,2024-10-01T00:52:00.000Z,NQZ4
2024-10-01T00:48:00.000Z,high,20278.25,2024-10-01T00:57:00.000Z,NQZ4
2024-10-01T01:13:00.000Z,high,20283.25,2024-10-01T01:22:00.000Z,NQZ4
2024-10-01T01:19:00.000Z,low,20269.75,2024-10-01T01:28:00.000Z,NQZ4
2024-10-01T01:59:00.000Z,high,20331.75,2024-10-01T02:08:00.000Z,NQZ4
2024-10-01T02:21:00.000Z,low,20303.25,2024-10-01T02:30:00.000Z,NQZ4
2024-10-01T02:40:00.000Z,high,20311.25,2024-10-01T02:49:00.000Z,NQZ4
2024-10-01T03:06:00.000Z,low,20282,2024-10-01T03:15:00.000Z,NQZ4
2024-10-01T03:16:00.000Z,high,20292,2024-10-01T03:25:00.000Z,NQZ4
2024-10-01T03:48:00.000Z,high,20292.75,2024-10-01T03:57:00.000Z,NQZ4
2024-10-01T04:16:00.000Z,low,20260.25,2024-10-01T04:25:00.000Z,NQZ4
2024-10-01T04:29:00.000Z,high,20275.75,2024-10-01T04:38:00.000Z,NQZ4
2024-10-01T04:34:00.000Z,low,20252.75,2024-10-01T04:43:00.000Z,NQZ4
2024-10-01T05:06:00.000Z,low,20244.25,2024-10-01T05:15:00.000Z,NQZ4
2024-10-01T05:14:00.000Z,high,20264.5,2024-10-01T05:23:00.000Z,NQZ4
2024-10-01T05:34:00.000Z,high,20267,2024-10-01T05:43:00.000Z,NQZ4
2024-10-01T05:40:00.000Z,low,20233,2024-10-01T05:49:00.000Z,NQZ4
2024-10-01T05:53:00.000Z,high,20269.25,2024-10-01T06:02:00.000Z,NQZ4
2024-10-01T06:03:00.000Z,low,20243.5,2024-10-01T06:12:00.000Z,NQZ4
2024-10-01T06:18:00.000Z,high,20264.75,2024-10-01T06:27:00.000Z,NQZ4
2024-10-01T06:28:00.000Z,low,20254,2024-10-01T06:37:00.000Z,NQZ4
2024-10-01T07:05:00.000Z,high,20277.25,2024-10-01T07:14:00.000Z,NQZ4
2024-10-01T07:15:00.000Z,low,20215,2024-10-01T07:24:00.000Z,NQZ4
2024-10-01T08:00:00.000Z,high,20291.75,2024-10-01T08:09:00.000Z,NQZ4
2024-10-01T08:16:00.000Z,low,20251,2024-10-01T08:25:00.000Z,NQZ4
2024-10-01T08:22:00.000Z,high,20268.75,2024-10-01T08:31:00.000Z,NQZ4
2024-10-01T08:37:00.000Z,high,20284,2024-10-01T08:46:00.000Z,NQZ4
2024-10-01T08:42:00.000Z,low,20264,2024-10-01T08:51:00.000Z,NQZ4
2024-10-01T08:52:00.000Z,low,20257.25,2024-10-01T09:01:00.000Z,NQZ4
2024-10-01T09:21:00.000Z,low,20255.75,2024-10-01T09:30:00.000Z,NQZ4
2024-10-01T09:51:00.000Z,high,20283,2024-10-01T10:00:00.000Z,NQZ4
2024-10-01T10:04:00.000Z,low,20271.25,2024-10-01T10:13:00.000Z,NQZ4
2024-10-01T10:51:00.000Z,low,20296,2024-10-01T11:00:00.000Z,NQZ4
2024-10-01T11:05:00.000Z,high,20324.75,2024-10-01T11:14:00.000Z,NQZ4
2024-10-01T11:40:00.000Z,low,20256.75,2024-10-01T11:49:00.000Z,NQZ4
2024-10-01T12:03:00.000Z,high,20285.25,2024-10-01T12:12:00.000Z,NQZ4
2024-10-01T12:18:00.000Z,low,20262,2024-10-01T12:27:00.000Z,NQZ4
2024-10-01T12:26:00.000Z,high,20286.5,2024-10-01T12:35:00.000Z,NQZ4
2024-10-01T12:34:00.000Z,low,20253,2024-10-01T12:43:00.000Z,NQZ4
2024-10-01T12:42:00.000Z,high,20272,2024-10-01T12:51:00.000Z,NQZ4
2024-10-01T13:03:00.000Z,high,20280,2024-10-01T13:12:00.000Z,NQZ4
2024-10-01T13:21:00.000Z,low,20240.5,2024-10-01T13:30:00.000Z,NQZ4
2024-10-01T13:30:00.000Z,high,20266,2024-10-01T13:39:00.000Z,NQZ4
2024-10-01T13:55:00.000Z,low,19978.5,2024-10-01T14:04:00.000Z,NQZ4
2024-10-01T14:00:00.000Z,high,20078.25,2024-10-01T14:09:00.000Z,NQZ4
2024-10-01T14:18:00.000Z,low,19910.25,2024-10-01T14:27:00.000Z,NQZ4
2024-10-01T14:23:00.000Z,high,19985.5,2024-10-01T14:32:00.000Z,NQZ4
2024-10-01T14:32:00.000Z,low,19866.25,2024-10-01T14:41:00.000Z,NQZ4
2024-10-01T14:43:00.000Z,high,19965,2024-10-01T14:52:00.000Z,NQZ4
2024-10-01T15:17:00.000Z,low,19818,2024-10-01T15:26:00.000Z,NQZ4
2024-10-01T15:42:00.000Z,high,19976.5,2024-10-01T15:51:00.000Z,NQZ4
2024-10-01T16:00:00.000Z,low,19910.25,2024-10-01T16:09:00.000Z,NQZ4
2024-10-01T16:12:00.000Z,high,19996,2024-10-01T16:21:00.000Z,NQZ4
2024-10-01T16:14:00.000Z,low,19942,2024-10-01T16:23:00.000Z,NQZ4
2024-10-01T16:33:00.000Z,low,19888,2024-10-01T16:42:00.000Z,NQZ4
2024-10-01T16:47:00.000Z,low,19855,2024-10-01T16:56:00.000Z,NQZ4
2024-10-01T16:58:00.000Z,high,19956,2024-10-01T17:07:00.000Z,NQZ4
2024-10-01T17:19:00.000Z,low,19846.25,2024-10-01T17:28:00.000Z,NQZ4
2024-10-01T17:30:00.000Z,low,19844.5,2024-10-01T17:39:00.000Z,NQZ4
2024-10-01T18:24:00.000Z,low,20031,2024-10-01T18:33:00.000Z,NQZ4
2024-10-01T18:32:00.000Z,high,20081.25,2024-10-01T18:41:00.000Z,NQZ4
2024-10-01T18:38:00.000Z,low,20031.5,2024-10-01T18:47:00.000Z,NQZ4
2024-10-01T18:54:00.000Z,low,20026,2024-10-01T19:03:00.000Z,NQZ4
2024-10-01T18:57:00.000Z,high,20065.25,2024-10-01T19:06:00.000Z,NQZ4
2024-10-01T19:08:00.000Z,high,20064.25,2024-10-01T19:17:00.000Z,NQZ4
2024-10-01T19:16:00.000Z,low,20017.75,2024-10-01T19:25:00.000Z,NQZ4
2024-10-01T19:22:00.000Z,high,20054.25,2024-10-01T19:31:00.000Z,NQZ4
2024-10-01T19:38:00.000Z,low,19969.25,2024-10-01T19:47:00.000Z,NQZ4
2024-10-01T19:43:00.000Z,high,20008.75,2024-10-01T19:52:00.000Z,NQZ4
2024-10-01T19:54:00.000Z,low,19953.25,2024-10-01T20:03:00.000Z,NQZ4
2024-10-01T20:02:00.000Z,high,20016.75,2024-10-01T20:11:00.000Z,NQZ4
2024-10-01T20:25:00.000Z,low,19965.5,2024-10-01T20:34:00.000Z,NQZ4
2024-10-01T20:32:00.000Z,high,19975.5,2024-10-01T20:41:00.000Z,NQZ4
2024-10-01T20:51:00.000Z,low,19954,2024-10-01T22:00:00.000Z,NQZ4
2024-10-01T22:00:00.000Z,high,19986,2024-10-01T22:09:00.000Z,NQZ4
2024-10-01T22:12:00.000Z,low,19909.75,2024-10-01T22:21:00.000Z,NQZ4
2024-10-01T22:30:00.000Z,low,19916.25,2024-10-01T22:39:00.000Z,NQZ4
2024-10-01T22:39:00.000Z,high,19946,2024-10-01T22:48:00.000Z,NQZ4
2024-10-01T22:44:00.000Z,low,19905.75,2024-10-01T22:53:00.000Z,NQZ4
2024-10-01T22:58:00.000Z,high,19929,2024-10-01T23:07:00.000Z,NQZ4
2024-10-01T23:16:00.000Z,high,19940.25,2024-10-01T23:25:00.000Z,NQZ4
2024-10-01T23:27:00.000Z,low,19891.25,2024-10-01T23:36:00.000Z,NQZ4
2024-10-01T23:48:00.000Z,high,19948,2024-10-01T23:57:00.000Z,NQZ4
2024-10-02T00:14:00.000Z,high,19963,2024-10-02T00:23:00.000Z,NQZ4
2024-10-02T00:28:00.000Z,low,19924,2024-10-02T00:37:00.000Z,NQZ4
2024-10-02T00:42:00.000Z,high,19966.75,2024-10-02T00:51:00.000Z,NQZ4
2024-10-02T00:54:00.000Z,low,19935.75,2024-10-02T01:03:00.000Z,NQZ4
2024-10-02T01:05:00.000Z,high,19959,2024-10-02T01:14:00.000Z,NQZ4
2024-10-02T01:13:00.000Z,low,19945.5,2024-10-02T01:22:00.000Z,NQZ4
2024-10-02T01:34:00.000Z,high,19990.25,2024-10-02T01:43:00.000Z,NQZ4
2024-10-02T01:42:00.000Z,low,19969.5,2024-10-02T01:51:00.000Z,NQZ4
2024-10-02T02:09:00.000Z,high,19996,2024-10-02T02:18:00.000Z,NQZ4
2024-10-02T02:40:00.000Z,low,19956.5,2024-10-02T02:49:00.000Z,NQZ4
2024-10-02T02:50:00.000Z,high,19981.25,2024-10-02T02:59:00.000Z,NQZ4
2024-10-02T03:12:00.000Z,low,19942.25,2024-10-02T03:21:00.000Z,NQZ4
2024-10-02T03:25:00.000Z,low,19943.5,2024-10-02T03:34:00.000Z,NQZ4
2024-10-02T03:39:00.000Z,high,19989,2024-10-02T03:48:00.000Z,NQZ4
2024-10-02T03:50:00.000Z,low,19972.25,2024-10-02T03:59:00.000Z,NQZ4
2024-10-02T03:55:00.000Z,high,19990.75,2024-10-02T04:04:00.000Z,NQZ4
2024-10-02T04:21:00.000Z,high,19983.5,2024-10-02T04:30:00.000Z,NQZ4
2024-10-02T04:36:00.000Z,low,19924,2024-10-02T04:45:00.000Z,NQZ4
2024-10-02T04:51:00.000Z,high,19948,2024-10-02T05:00:00.000Z,NQZ4
2024-10-02T04:56:00.000Z,low,19910.25,2024-10-02T05:05:00.000Z,NQZ4
2024-10-02T05:08:00.000Z,high,19946.75,2024-10-02T05:17:00.000Z,NQZ4
2024-10-02T05:28:00.000Z,low,19892.75,2024-10-02T05:37:00.000Z,NQZ4
2024-10-02T05:38:00.000Z,low,19892,2024-10-02T05:47:00.000Z,NQZ4
2024-10-02T05:46:00.000Z,high,19919,2024-10-02T05:55:00.000Z,NQZ4
2024-10-02T05:54:00.000Z,low,19880.25,2024-10-02T06:03:00.000Z,NQZ4
2024-10-02T06:00:00.000Z,high,19927.5,2024-10-02T06:09:00.000Z,NQZ4
2024-10-02T06:10:00.000Z,low,19891,2024-10-02T06:19:00.000Z,NQZ4
2024-10-02T06:24:00.000Z,low,19896.25,2024-10-02T06:33:00.000Z,NQZ4
2024-10-02T06:39:00.000Z,high,19940,2024-10-02T06:48:00.000Z,NQZ4
2024-10-02T06:47:00.000Z,low,19894,2024-10-02T06:56:00.000Z,NQZ4
2024-10-02T07:01:00.000Z,high,19952.5,2024-10-02T07:10:00.000Z,NQZ4
2024-10-02T07:12:00.000Z,low,19899,2024-10-02T07:21:00.000Z,NQZ4
2024-10-02T07:24:00.000Z,low,19906.5,2024-10-02T07:33:00.000Z,NQZ4
2024-10-02T07:31:00.000Z,high,19959.5,2024-10-02T07:40:00.000Z,NQZ4
2024-10-02T07:46:00.000Z,high,19971.5,2024-10-02T07:55:00.000Z,NQZ4
2024-10-02T07:58:00.000Z,high,19966.5,2024-10-02T08:07:00.000Z,NQZ4
2024-10-02T08:02:00.000Z,low,19932.25,2024-10-02T08:11:00.000Z,NQZ4
2024-10-02T08:11:00.000Z,high,19965.75,2024-10-02T08:20:00.000Z,NQZ4
2024-10-02T08:19:00.000Z,low,19944,2024-10-02T08:28:00.000Z,NQZ4
2024-10-02T08:39:00.000Z,high,19971,2024-10-02T08:48:00.000Z,NQZ4
2024-10-02T08:50:00.000Z,low,19938.5,2024-10-02T08:59:00.000Z,NQZ4
2024-10-02T08:55:00.000Z,high,19961,2024-10-02T09:04:00.000Z,NQZ4
2024-10-02T09:10:00.000Z,low,19909.5,2024-10-02T09:19:00.000Z,NQZ4
2024-10-02T09:26:00.000Z,low,19906.5,2024-10-02T09:35:00.000Z,NQZ4
2024-10-02T09:51:00.000Z,low,19893,2024-10-02T10:00:00.000Z,NQZ4
2024-10-02T10:12:00.000Z,low,19878.75,2024-10-02T10:21:00.000Z,NQZ4
2024-10-02T10:35:00.000Z,high,19959.25,2024-10-02T10:44:00.000Z,NQZ4
2024-10-02T10:43:00.000Z,low,19939,2024-10-02T10:52:00.000Z,NQZ4
2024-10-02T10:53:00.000Z,high,19972,2024-10-02T11:02:00.000Z,NQZ4
2024-10-02T11:09:00.000Z,low,19924.25,2024-10-02T11:18:00.000Z,NQZ4
