date,tod,session,sym,move,dir,tier,ev_vol,ev_path,ev_range,ev_net,impact,pre_vol,pre_path,pre_net,impact_pre,fwd60,fwd300,fwd900
2025-08-05,583,rth,NQU5,-2.25,0,0,1237.0,55.5,11.25,-2.25,44.867,2990.0,129.5,1.5,43.311,5.5,40.5,20.0
2025-09-11,583,rth,NQU5,7.0,0,0,2243.0,78.5,20.25,7.0,34.998,4602.0,161.25,-28.0,35.039,3.25,41.25,48.75
2025-03-24,583,rth,NQM5,9.25,0,0,1437.0,68.25,18.75,9.25,47.495,4139.0,154.5,-25.5,37.328,4.25,37.0,59.25
2026-01-19,583,rth,NQH6,-3.25,0,0,467.0,43.5,9.25,-3.25,93.148,777.0,94.75,-9.5,121.943,2.25,12.75,70.75
2025-03-05,583,rth,NQH5,5.0,0,0,1766.0,117.5,24.25,5.0,66.535,5461.0,300.0,15.5,54.935,-14.75,-66.5,-118.75
2025-09-02,510,premarket,NQU5,-4.25,0,0,475.0,40.75,13.75,-4.25,85.789,566.0,52.25,-5.0,92.314,-5.75,8.25,-25.75
2025-02-19,510,premarket,NQH5,1.0,0,0,305.0,40.0,7.75,1.0,131.148,1983.0,105.75,-5.5,53.328,-3.25,-2.5,2.0
2025-04-16,510,premarket,NQM5,-4.5,0,0,434.0,136.5,21.5,-4.5,314.516,444.0,100.75,-4.75,226.914,8.5,6.0,-45.5
2025-08-06,510,premarket,NQU5,1.5,0,0,145.0,18.0,5.0,1.5,124.138,392.0,48.5,-2.5,123.724,-2.5,20.75,19.0
2025-12-02,510,premarket,NQZ5,-3.25,0,0,128.0,23.25,5.25,-3.25,181.641,147.0,20.75,-2.0,141.156,-8.0,-4.0,6.75
2025-10-08,510,premarket,NQZ5,-4.75,0,0,131.0,19.75,7.0,-4.75,150.763,260.0,36.0,-1.0,138.462,-5.25,-10.75,3.25
2025-01-22,510,premarket,NQH5,-6.25,0,0,189.0,21.0,8.5,-6.25,111.111,206.0,25.25,-1.75,122.573,4.25,12.0,15.0
2025-02-04,510,premarket,NQH5,-7.75,0,0,210.0,28.75,11.5,-7.75,136.905,290.0,68.25,-5.0,235.345,-0.25,8.5,-5.75
2025-09-02,510,premarket,NQU5,-4.25,0,0,475.0,40.75,13.75,-4.25,85.789,566.0,52.25,-5.0,92.314,-5.75,8.25,-25.75
2026-01-19,510,premarket,NQH6,-1.75,0,0,231.0,41.75,10.75,-1.75,180.736,266.0,43.25,-11.0,162.594,-2.5,15.25,25.25
2025-07-01,602,rth,NQU5,-7.0,0,0,855.0,59.75,14.0,-7.0,69.883,3043.0,190.75,2.25,62.685,-8.25,-0.25,34.5
2025-09-19,602,rth,NQZ5,-6.75,0,0,1207.0,50.25,13.25,-6.75,41.632,3620.0,133.0,2.25,36.74,8.25,17.25,-18.0
2026-01-21,602,rth,NQH6,-3.0,0,0,1492.0,83.75,17.25,-3.0,56.133,3692.0,185.0,12.75,50.108,2.5,-12.0,18.5
2025-12-18,602,rth,NQH6,3.75,0,0,1365.0,81.75,18.0,3.75,59.89,4964.0,170.0,4.25,34.247,2.25,-8.5,-98.75
2025-08-07,602,rth,NQU5,5.75,0,0,1690.0,70.25,19.25,5.75,41.568,5620.0,133.5,-21.0,23.754,7.5,-13.5,-19.0
2025-07-14,570,rth,NQU5,7.75,0,0,6606.0,114.5,25.75,7.75,17.333,1631.0,60.0,11.5,36.787,-5.75,-11.25,-84.75
2025-04-14,570,rth,NQM5,6.0,0,0,3902.0,161.75,34.75,6.0,41.453,2093.0,108.75,-20.5,51.959,-40.5,-85.0,-174.25
2025-05-23,570,rth,NQM5,-0.75,0,0,6381.0,198.5,53.5,-0.75,31.108,1733.0,102.75,15.25,59.29,-9.5,87.0,27.25
2025-06-26,570,rth,NQU5,4.0,0,0,3096.0,90.75,24.25,4.0,29.312,1938.0,70.5,0.25,36.378,1.0,-17.75,-52.5
2025-05-22,570,rth,NQM5,8.25,0,0,3020.0,115.25,20.75,8.25,38.162,1692.0,77.5,-7.25,45.804,24.25,-4.5,-2.25
2025-09-24,511,premarket,NQZ5,-2.25,0,0,197.0,14.0,6.25,-2.25,71.066,204.0,22.75,1.5,111.52,-2.0,0.75,-3.75
2025-10-13,511,premarket,NQZ5,4.0,0,0,275.0,26.25,6.0,4.0,95.455,452.0,60.5,11.0,133.85,-1.75,2.5,-5.0
2025-03-27,511,premarket,NQM5,9.0,0,0,872.0,59.5,17.5,9.0,68.234,1257.0,110.5,28.5,87.908,3.75,8.25,-16.25
2026-01-07,511,premarket,NQH6,2.75,0,0,218.0,21.75,7.25,2.75,99.771,394.0,49.0,11.0,124.365,-2.75,-17.75,-1.75
2025-09-25,511,premarket,NQZ5,1.5,0,0,586.0,67.75,14.5,1.5,115.614,1121.0,135.5,-9.0,120.874,-10.75,-20.5,-33.5
2025-03-10,1190,overnight,NQH5,-2.25,0,0,196.0,49.5,8.5,-2.25,252.551,522.0,100.0,13.25,191.571,-4.25,-3.0,-3.0
2025-05-29,1190,overnight,NQM5,-4.5,0,0,145.0,19.0,6.25,-4.5,131.034,222.0,34.75,-0.25,156.532,3.5,4.25,16.75
2025-08-24,1192,overnight,NQU5,3.25,0,0,95.0,13.75,8.0,3.25,144.737,254.0,31.25,-2.75,123.031,1.0,0.5,24.25
2025-10-01,1192,overnight,NQZ5,-2.0,0,0,85.0,15.0,8.25,-2.0,176.471,51.0,17.25,3.75,338.235,3.25,8.25,12.0
2025-05-01,1192,overnight,NQM5,3.5,0,0,109.0,24.0,7.25,3.5,220.183,182.0,35.0,4.5,192.308,4.25,5.5,-16.25
2025-08-04,1192,overnight,NQU5,-3.75,0,0,106.0,16.25,5.5,-3.75,153.302,200.0,28.75,3.0,143.75,0.0,3.0,3.0
2025-06-16,1198,overnight,NQU5,-0.75,0,0,175.0,39.0,8.25,-0.75,222.857,398.0,74.0,-4.5,185.93,-4.25,-3.25,24.75
2025-07-22,1198,overnight,NQU5,-1.25,0,0,122.0,17.5,3.5,-1.25,143.443,348.0,36.75,3.75,105.603,-1.5,-19.25,-29.0
2025-05-19,1198,overnight,NQM5,-1.0,0,0,32.0,8.75,2.25,-1.0,273.438,196.0,30.0,7.0,153.061,2.75,11.75,8.5
2025-12-28,1198,overnight,NQH6,5.25,0,0,133.0,15.25,6.5,5.25,114.662,81.0,30.0,2.5,370.37,0.25,-8.0,-13.5
2026-01-13,1202,overnight,NQH6,-0.75,0,0,55.0,20.0,5.0,-0.75,363.636,144.0,36.25,9.25,251.736,-4.0,-7.25,-6.5
2025-05-08,1202,overnight,NQM5,-2.0,0,0,94.0,21.75,6.25,-2.0,231.383,415.0,78.25,-16.0,188.554,17.5,13.75,-2.75
2025-08-06,1202,overnight,NQU5,2.5,0,0,125.0,19.5,4.0,2.5,156.0,373.0,45.5,2.0,121.984,0.5,5.0,11.75
2025-07-14,1202,overnight,NQU5,5.5,0,0,184.0,25.75,10.25,5.5,139.946,362.0,52.5,-3.25,145.028,4.75,-1.5,-0.25
2025-02-06,1202,overnight,NQH5,-4.25,0,0,52.0,7.5,4.5,-4.25,144.231,184.0,29.0,2.75,157.609,3.25,10.5,1.25
2025-10-16,1227,overnight,NQZ5,3.75,0,0,65.0,28.75,6.25,3.75,442.308,280.0,69.5,0.0,248.214,-2.5,0.25,7.0
2025-02-10,1227,overnight,NQH5,-2.25,0,0,79.0,16.75,4.5,-2.25,212.025,209.0,25.25,-3.75,120.813,3.25,9.0,15.0
2025-07-20,1227,overnight,NQU5,-0.5,0,0,49.0,5.75,1.25,-0.5,117.347,122.0,10.75,-2.75,88.115,3.25,-1.0,-3.0
2025-07-22,1227,overnight,NQU5,1.0,0,0,135.0,14.0,5.0,1.0,103.704,566.0,59.5,-12.75,105.124,-1.75,4.5,-3.0
2025-09-03,1227,overnight,NQU5,-0.5,0,0,165.0,22.75,6.5,-0.5,137.879,410.0,64.75,7.25,157.927,-6.5,-6.25,1.5
2025-07-28,593,rth,NQU5,3.0,0,0,1099.0,39.75,7.75,3.0,36.169,2732.0,102.25,16.5,37.427,-11.75,-4.0,6.5
2025-02-12,593,rth,NQH5,-4.75,0,0,1581.0,61.25,17.25,-4.75,38.741,5723.0,133.5,30.0,23.327,3.75,-9.75,-71.0
2025-09-25,593,rth,NQZ5,-0.5,0,0,3834.0,80.25,13.75,-0.5,20.931,8978.0,188.75,-51.5,21.024,4.25,-14.5,97.0
2025-09-15,593,rth,NQZ5,2.75,0,0,419.0,38.5,8.5,2.75,91.885,1636.0,67.0,-0.25,40.954,5.25,13.75,17.25
2025-07-01,593,rth,NQU5,3.75,0,0,945.0,45.5,14.5,3.75,48.148,2955.0,91.5,-1.75,30.964,-7.25,-23.25,-22.5
2025-04-04,611,rth,NQM5,-7.75,0,0,1830.0,118.75,20.25,-7.75,64.891,3878.0,274.75,-45.25,70.848,-37.75,-40.5,-47.5
2025-02-19,611,rth,NQH5,-1.0,0,0,1251.0,44.75,10.0,-1.0,35.771,4009.0,113.0,3.75,28.187,8.0,25.5,18.5
2025-02-26,611,rth,NQH5,-2.75,0,0,957.0,79.0,18.0,-2.75,82.55,2614.0,147.25,15.75,56.331,27.0,37.75,32.5
2025-07-16,611,rth,NQU5,-6.25,0,0,957.0,50.25,13.5,-6.25,52.508,3621.0,112.0,27.75,30.931,10.0,-26.0,-2.25
2025-04-09,611,rth,NQM5,-8.75,0,0,1765.0,257.25,52.0,-8.75,145.751,3195.0,419.0,34.5,131.142,-30.5,-47.0,-21.0
2025-09-29,1080,overnight,NQZ5,3.25,0,0,255.0,71.75,11.0,3.25,281.373,0,0,0,,-3.75,2.25,-9.0
2025-10-02,1080,overnight,NQZ5,-5.5,0,0,236.0,35.5,7.0,-5.5,150.424,0,0,0,,4.5,9.25,7.5
2025-10-26,1080,overnight,NQZ5,0.5,0,0,2120.0,201.75,59.0,0.5,95.165,0,0,0,,-9.0,2.0,-10.0
2025-11-20,1080,overnight,NQZ5,0.0,0,0,975.0,147.0,58.75,0.0,150.769,0,0,0,,-1.0,-31.75,-30.75
2025-11-12,1080,overnight,NQZ5,-4.0,0,0,287.0,60.25,20.0,-4.0,209.93,0,0,0,,-13.75,-82.0,-59.0
2025-05-08,351,premarket,NQM5,-4.25,0,0,134.0,12.25,5.25,-4.25,91.418,269.0,37.0,8.0,137.546,-0.75,-11.0,-9.5
2025-05-06,351,premarket,NQM5,4.0,0,0,133.0,22.5,7.75,4.0,169.173,135.0,23.75,-6.75,175.926,12.25,32.0,35.25
2025-04-01,351,premarket,NQM5,-9.5,0,0,369.0,51.5,14.0,-9.5,139.566,361.0,41.5,2.75,114.958,-3.75,-8.75,-35.5
2026-01-23,351,premarket,NQH6,3.0,0,0,91.0,20.75,9.75,3.0,228.022,137.0,35.5,-3.25,259.124,-0.25,1.0,67.75
2025-03-17,352,premarket,NQH5,-7.25,0,0,101.0,21.75,9.0,-7.25,215.347,106.0,24.25,-1.75,228.774,0.0,2.5,4.75
2025-04-14,353,premarket,NQM5,-0.75,0,0,106.0,22.0,4.75,-0.75,207.547,329.0,61.5,15.25,186.93,-3.5,1.5,-2.25
2025-10-06,353,premarket,NQZ5,0.75,0,0,52.0,6.75,2.25,0.75,129.808,99.0,17.5,5.25,176.768,-2.0,0.0,6.75
2025-05-23,353,premarket,NQM5,6.0,0,0,197.0,20.75,8.5,6.0,105.33,244.0,35.5,9.0,145.492,1.75,8.0,-0.75
2025-08-29,385,premarket,NQU5,2.25,0,0,113.0,12.0,4.5,2.25,106.195,79.0,11.0,1.5,139.241,0.0,-8.5,-12.75
2025-05-29,385,premarket,NQM5,4.75,0,0,135.0,16.0,5.25,4.75,118.519,347.0,55.25,-10.75,159.222,-0.5,6.5,2.25
2025-03-04,385,premarket,NQH5,7.25,0,0,161.0,34.5,10.5,7.25,214.286,199.0,47.0,0.0,236.181,2.0,10.0,-16.75
2025-06-09,385,premarket,NQM5,-2.75,0,0,78.0,12.5,4.5,-2.75,160.256,184.0,27.0,-2.5,146.739,1.25,1.0,4.75
2025-08-12,420,premarket,NQU5,-7.0,0,0,102.0,14.0,8.0,-7.0,137.255,75.0,21.0,0.5,280.0,1.5,1.0,-14.0
2025-03-19,420,premarket,NQM5,4.0,0,0,101.0,18.75,7.75,4.0,185.644,298.0,44.25,6.25,148.49,-5.75,-1.5,9.0
2025-03-18,420,premarket,NQM5,-5.25,0,0,135.0,25.75,10.0,-5.25,190.741,213.0,39.25,-0.25,184.272,-2.5,-4.25,2.0
2025-10-21,420,premarket,NQZ5,1.75,0,0,84.0,12.0,3.75,1.75,142.857,116.0,20.25,-2.25,174.569,-2.25,0.75,17.75
2025-02-06,420,premarket,NQH5,-9.5,0,0,427.0,47.5,19.5,-9.5,111.241,216.0,36.0,2.25,166.667,-1.5,1.25,1.25
2025-10-03,570,rth,NQZ5,-5.75,0,0,3751.0,91.0,25.25,-5.75,24.26,921.0,46.0,-1.5,49.946,31.0,9.5,10.25
2025-01-24,570,rth,NQH5,-6.75,0,0,3754.0,87.0,16.0,-6.75,23.175,1582.0,66.0,5.5,41.719,-10.25,-21.25,11.25
2025-11-28,570,rth,NQZ5,9.75,0,0,1018.0,109.75,18.0,9.75,107.809,524.0,90.0,-11.0,171.756,-2.5,21.5,-16.75
2025-12-17,570,rth,NQH6,-2.25,0,0,5237.0,161.75,37.5,-2.25,30.886,1865.0,104.25,-23.5,55.898,-3.75,-41.0,-119.75
