date,tod,session,sym,move,dir,tier,ev_vol,ev_path,ev_range,ev_net,impact,pre_vol,pre_path,pre_net,impact_pre,fwd60,fwd300,fwd900
2025-01-13,583,rth,NQH5,57.5,1,40,3484.0,103.0,61.75,57.5,29.564,4023.0,211.0,-5.0,52.448,8.0,-20.75,28.5
2025-01-14,510,premarket,NQH5,154.75,1,100,5002.0,339.75,176.25,154.75,67.923,731.0,105.0,9.75,143.639,6.75,-34.0,-28.5
2025-01-15,510,premarket,NQH5,182.75,1,100,5202.0,483.5,224.5,182.75,92.945,688.0,154.0,-0.75,223.837,11.5,94.5,116.75
2025-01-16,602,rth,NQH5,41.5,1,40,2784.0,87.25,41.5,41.5,31.34,6711.0,220.5,-24.25,32.857,-26.5,9.75,-5.0
2025-01-17,570,rth,NQH5,-48.75,-1,40,7864.0,156.0,70.75,-48.75,19.837,7587.0,252.0,-9.0,33.215,-14.0,-16.25,-56.5
2025-01-20,511,premarket,NQH5,45.0,1,40,1070.0,152.75,49.75,45.0,142.757,4438.0,285.0,13.0,64.218,3.75,-1.5,29.0
2025-01-20,1190,overnight,NQH5,-44.0,-1,40,1304.0,172.75,48.0,-44.0,132.477,464.0,56.5,-22.5,121.767,-12.75,-55.75,-82.75
2025-01-20,1192,overnight,NQH5,-49.75,-1,40,777.0,185.25,62.0,-49.75,238.417,2609.0,361.0,-56.75,138.367,-33.0,-18.0,-31.5
2025-01-20,1198,overnight,NQH5,-64.25,-1,60,1227.0,207.75,88.0,-64.25,169.315,782.0,210.0,-27.75,268.542,-18.25,20.0,70.0
2025-01-20,1202,overnight,NQH5,53.75,1,40,913.0,157.5,66.0,53.75,172.508,1796.0,362.5,-3.25,201.837,-15.5,13.25,57.25
2025-01-20,1227,overnight,NQH5,50.25,1,40,744.0,142.25,57.5,50.25,191.196,642.0,173.75,-15.5,270.639,-24.75,-62.5,-30.75
2025-01-21,593,rth,NQH5,-51.5,-1,40,4399.0,164.5,71.5,-51.5,37.395,2775.0,187.25,12.0,67.477,-27.25,9.0,21.0
2025-01-21,611,rth,NQH5,-44.0,-1,40,2328.0,92.5,47.75,-44.0,39.734,2393.0,182.5,-22.25,76.264,-23.5,-0.5,48.25
2025-01-26,1080,overnight,NQH5,-76.5,-1,60,3110.0,153.0,80.75,-76.5,49.196,0,0,0,,14.25,-3.5,-25.5
