date,label,move,rel_bucket,cx_bid_behind,cx_ask_behind,cx_at_bbo,add_sz
2025-12-29,ct2,-1.0,-36,262,223,1600,0
2025-12-29,ct2,-1.0,-35,197,173,1162,0
2025-12-29,ct2,-1.0,-34,83,114,618,0
2025-12-29,ct2,-1.0,-33,119,137,905,0
2025-12-29,ct2,-1.0,-32,140,174,1167,0
2025-12-29,ct2,-1.0,-31,115,127,818,0
2025-12-29,ct2,-1.0,-30,92,122,709,0
2025-12-29,ct2,-1.0,-29,281,388,1793,0
2025-12-29,ct2,-1.0,-28,160,158,1522,0
2025-12-29,ct2,-1.0,-27,151,122,1062,0
2025-12-29,ct2,-1.0,-26,128,138,971,0
2025-12-29,ct2,-1.0,-25,151,145,911,0
2025-12-29,ct2,-1.0,-24,129,125,922,0
2025-12-29,ct2,-1.0,-23,144,151,944,0
2025-12-29,ct2,-1.0,-22,76,131,723,0
2025-12-29,ct2,-1.0,-21,111,135,1221,0
2025-12-29,ct2,-1.0,-20,141,115,1020,0
2025-12-29,ct2,-1.0,-19,102,82,887,0
2025-12-29,ct2,-1.0,-18,84,97,935,0
2025-12-29,ct2,-1.0,-17,108,110,786,0
2025-12-29,ct2,-1.0,-16,84,125,678,0
2025-12-29,ct2,-1.0,-15,98,123,843,0
2025-12-29,ct2,-1.0,-14,133,136,956,0
2025-12-29,ct2,-1.0,-13,92,86,691,0
2025-12-29,ct2,-1.0,-12,373,430,1774,0
2025-12-29,ct2,-1.0,-11,198,186,1172,0
2025-12-29,ct2,-1.0,-10,130,135,931,0
2025-12-29,ct2,-1.0,-9,131,140,1014,0
2025-12-29,ct2,-1.0,-8,151,111,901,0
2025-12-29,ct2,-1.0,-7,109,126,869,0
2025-12-29,ct2,-1.0,-6,235,163,1137,0
2025-12-29,ct2,-1.0,-5,128,112,972,0
2025-12-29,ct2,-1.0,-4,112,125,892,0
2025-12-29,ct2,-1.0,-3,134,145,1081,0
2025-12-29,ct2,-1.0,-2,101,129,861,0
2025-12-29,ct2,-1.0,-1,119,128,889,0
2025-12-29,ct2,-1.0,0,98,104,961,0
2025-12-29,ct2,-1.0,1,132,145,957,0
2025-12-29,ct2,-1.0,2,158,184,1298,0
2025-12-29,ct2,-1.0,3,93,129,958,0
2025-12-29,ct2,-1.0,4,164,156,955,0
2025-12-29,ct2,-1.0,5,99,114,800,0
2025-12-29,ct2,-1.0,6,112,117,1017,0
2025-12-29,ct2,-1.0,7,103,122,1010,0
2025-12-29,ct2,-1.0,8,143,140,1102,0
2025-12-29,ct2,-1.0,9,100,117,1102,0
2025-12-29,ct2,-1.0,10,229,230,1530,0
2025-12-29,ct2,-1.0,11,89,104,1185,0
2025-12-29,ct2,-1.0,12,171,99,1289,0
2025-12-29,ct2,-1.0,13,150,188,1181,0
2025-12-29,ct2,-1.0,14,119,158,880,0
2025-12-29,ct2,-1.0,15,158,176,1059,0
2025-12-29,ct2,-1.0,16,112,150,1145,0
2025-12-29,ct2,-1.0,17,94,80,640,0
2025-12-29,ct3,-3.25,-36,302,385,769,0
2025-12-29,ct3,-3.25,-35,83,115,291,0
2025-12-29,ct3,-3.25,-34,57,82,220,0
2025-12-29,ct3,-3.25,-33,67,75,218,0
2025-12-29,ct3,-3.25,-32,39,123,292,0
2025-12-29,ct3,-3.25,-31,36,127,182,0
2025-12-29,ct3,-3.25,-30,80,168,205,0
2025-12-29,ct3,-3.25,-29,78,108,245,0
2025-12-29,ct3,-3.25,-28,91,163,376,0
2025-12-29,ct3,-3.25,-27,92,89,292,0
2025-12-29,ct3,-3.25,-26,65,104,352,0
2025-12-29,ct3,-3.25,-25,24,53,174,0
2025-12-29,ct3,-3.25,-24,29,67,271,0
2025-12-29,ct3,-3.25,-23,114,129,344,0
2025-12-29,ct3,-3.25,-22,81,66,270,0
2025-12-29,ct3,-3.25,-21,42,96,221,0
2025-12-29,ct3,-3.25,-20,102,102,344,0
2025-12-29,ct3,-3.25,-19,105,127,415,0
2025-12-29,ct3,-3.25,-18,241,355,870,0
2025-12-29,ct3,-3.25,-17,86,158,316,0
2025-12-29,ct3,-3.25,-16,47,103,222,0
2025-12-29,ct3,-3.25,-15,93,143,295,0
2025-12-29,ct3,-3.25,-14,43,58,238,0
2025-12-29,ct3,-3.25,-13,51,90,291,0
2025-12-29,ct3,-3.25,-12,122,175,607,0
2025-12-29,ct3,-3.25,-11,88,141,569,0
2025-12-29,ct3,-3.25,-10,83,104,441,0
2025-12-29,ct3,-3.25,-9,44,93,374,0
2025-12-29,ct3,-3.25,-8,129,260,501,0
2025-12-29,ct3,-3.25,-7,249,398,1215,0
2025-12-29,ct3,-3.25,-6,1445,1198,6825,0
2025-12-29,ct3,-3.25,-5,820,760,4464,0
2025-12-29,ct3,-3.25,-4,835,769,4463,0
2025-12-29,ct3,-3.25,-3,826,677,3605,0
2025-12-29,ct3,-3.25,-2,663,528,2897,0
2025-12-29,ct3,-3.25,-1,566,531,3122,0
2025-12-29,ct3,-3.25,0,998,830,6129,0
2025-12-29,ct3,-3.25,1,638,462,5564,0
2025-12-29,ct3,-3.25,2,751,617,5701,0
2025-12-29,ct3,-3.25,3,584,491,4295,0
2025-12-29,ct3,-3.25,4,525,422,3669,0
2025-12-29,ct3,-3.25,5,532,416,3723,0
2025-12-29,ct3,-3.25,6,941,713,6297,0
2025-12-29,ct3,-3.25,7,597,595,5123,0
2025-12-29,ct3,-3.25,8,586,540,4818,0
2025-12-29,ct3,-3.25,9,359,461,3933,0
2025-12-29,ct3,-3.25,10,493,559,4079,0
2025-12-29,ct3,-3.25,11,436,408,3566,0
2025-12-29,ct3,-3.25,12,454,543,4069,0
2025-12-29,ct3,-3.25,13,267,376,3187,0
2025-12-29,ct3,-3.25,14,287,404,3024,0
2025-12-29,ct3,-3.25,15,300,474,3073,0
2025-12-29,ct3,-3.25,16,327,421,3467,0
2025-12-29,ct3,-3.25,17,318,348,3167,0
2025-12-29,ct4,-3.25,-36,186,166,1521,0
2025-12-29,ct4,-3.25,-35,102,107,790,0
2025-12-29,ct4,-3.25,-34,73,86,710,0
2025-12-29,ct4,-3.25,-33,110,96,957,0
2025-12-29,ct4,-3.25,-32,102,85,604,0
2025-12-29,ct4,-3.25,-31,91,52,530,0
2025-12-29,ct4,-3.25,-30,69,103,643,0
2025-12-29,ct4,-3.25,-29,77,48,437,0
2025-12-29,ct4,-3.25,-28,76,53,469,0
2025-12-29,ct4,-3.25,-27,102,66,622,0
2025-12-29,ct4,-3.25,-26,214,178,966,0
2025-12-29,ct4,-3.25,-25,95,85,492,0
2025-12-29,ct4,-3.25,-24,97,93,543,0
2025-12-29,ct4,-3.25,-23,108,108,496,0
2025-12-29,ct4,-3.25,-22,73,66,392,0
2025-12-29,ct4,-3.25,-21,109,94,564,0
2025-12-29,ct4,-3.25,-20,110,93,563,0
2025-12-29,ct4,-3.25,-19,85,73,419,0
2025-12-29,ct4,-3.25,-18,308,202,1149,0
2025-12-29,ct4,-3.25,-17,408,255,1283,0
2025-12-29,ct4,-3.25,-16,386,193,1107,0
2025-12-29,ct4,-3.25,-15,608,399,2207,0
2025-12-29,ct4,-3.25,-14,261,210,2415,0
2025-12-29,ct4,-3.25,-13,170,179,1449,0
2025-12-29,ct4,-3.25,-12,149,112,1325,0
2025-12-29,ct4,-3.25,-11,156,123,1417,0
2025-12-29,ct4,-3.25,-10,97,94,954,0
2025-12-29,ct4,-3.25,-9,123,146,830,0
2025-12-29,ct4,-3.25,-8,120,118,850,0
2025-12-29,ct4,-3.25,-7,144,140,1045,0
2025-12-29,ct4,-3.25,-6,143,169,1287,0
2025-12-29,ct4,-3.25,-5,117,106,982,0
2025-12-29,ct4,-3.25,-4,120,127,1150,0
2025-12-29,ct4,-3.25,-3,102,105,974,0
2025-12-29,ct4,-3.25,-2,70,66,680,0
2025-12-29,ct4,-3.25,-1,165,126,972,0
2025-12-29,ct4,-3.25,0,154,163,1422,0
2025-12-29,ct4,-3.25,1,101,110,617,0
2025-12-29,ct4,-3.25,2,128,113,1044,0
2025-12-29,ct4,-3.25,3,114,91,905,0
2025-12-29,ct4,-3.25,4,118,89,985,0
2025-12-29,ct4,-3.25,5,134,95,1073,0
2025-12-29,ct4,-3.25,6,130,103,864,0
2025-12-29,ct4,-3.25,7,101,64,709,0
2025-12-29,ct4,-3.25,8,109,76,925,0
2025-12-29,ct4,-3.25,9,140,78,1040,0
2025-12-29,ct4,-3.25,10,152,123,990,0
2025-12-29,ct4,-3.25,11,154,68,874,0
2025-12-29,ct4,-3.25,12,224,151,1674,0
2025-12-29,ct4,-3.25,13,144,95,1044,0
2025-12-29,ct4,-3.25,14,167,121,981,0
2025-12-29,ct4,-3.25,15,121,97,1012,0
2025-12-29,ct4,-3.25,16,105,93,669,0
2025-12-29,ct4,-3.25,17,97,81,695,0
2025-12-29,ct5,0.0,-36,92,69,1097,0
2025-12-29,ct5,0.0,-35,81,105,1031,0
2025-12-29,ct5,0.0,-34,238,139,2075,0
2025-12-29,ct5,0.0,-33,104,76,1096,0
2025-12-29,ct5,0.0,-32,106,122,881,0
2025-12-29,ct5,0.0,-31,62,55,734,0
2025-12-29,ct5,0.0,-30,89,66,991,0
2025-12-29,ct5,0.0,-29,65,58,617,0
2025-12-29,ct5,0.0,-28,55,80,557,0
2025-12-29,ct5,0.0,-27,78,115,785,0
2025-12-29,ct5,0.0,-26,79,84,718,0
2025-12-29,ct5,0.0,-25,78,66,495,0
2025-12-29,ct5,0.0,-24,124,66,957,0
2025-12-29,ct5,0.0,-23,76,79,812,0
2025-12-29,ct5,0.0,-22,80,123,1140,0
2025-12-29,ct5,0.0,-21,61,69,626,0
2025-12-29,ct5,0.0,-20,77,81,1018,0
2025-12-29,ct5,0.0,-19,42,54,799,0
2025-12-29,ct5,0.0,-18,88,80,947,0
2025-12-29,ct5,0.0,-17,82,100,790,0
2025-12-29,ct5,0.0,-16,57,56,558,0
2025-12-29,ct5,0.0,-15,71,108,771,0
2025-12-29,ct5,0.0,-14,86,157,936,0
2025-12-29,ct5,0.0,-13,87,120,1113,0
2025-12-29,ct5,0.0,-12,71,84,948,0
2025-12-29,ct5,0.0,-11,63,78,857,0
2025-12-29,ct5,0.0,-10,73,86,660,0
2025-12-29,ct5,0.0,-9,85,102,851,0
2025-12-29,ct5,0.0,-8,78,65,780,0
