date,label,move,rel_s,mid,bid10,ask10,bid25,ask25,n_ord,spread
2025-12-29,ct3,-3.25,-360,25679.62,40,39,148,126,3049,0.75
2025-12-29,ct3,-3.25,-355,25686.88,35,33,126,89,3001,0.75
2025-12-29,ct3,-3.25,-350,25688.62,38,27,117,91,3000,0.75
2025-12-29,ct3,-3.25,-345,25688.12,28,33,113,99,3002,0.75
2025-12-29,ct3,-3.25,-340,25687.38,39,32,128,95,3010,0.75
2025-12-29,ct3,-3.25,-335,25689.12,25,34,108,102,3004,0.75
2025-12-29,ct3,-3.25,-330,25688.88,33,36,114,105,3018,0.75
2025-12-29,ct3,-3.25,-325,25687.0,39,39,131,112,3004,1.0
2025-12-29,ct3,-3.25,-320,25686.38,40,36,129,117,3009,0.75
2025-12-29,ct3,-3.25,-315,25686.5,35,40,126,118,3009,1.0
2025-12-29,ct3,-3.25,-310,25687.12,33,36,126,110,3012,1.25
2025-12-29,ct3,-3.25,-305,25685.38,40,34,133,118,3017,0.75
2025-12-29,ct3,-3.25,-300,25685.62,40,34,137,115,3018,0.75
2025-12-29,ct3,-3.25,-295,25687.38,30,37,123,104,3007,0.75
2025-12-29,ct3,-3.25,-290,25689.25,33,36,104,100,2992,1.0
2025-12-29,ct3,-3.25,-285,25691.88,40,40,102,117,3012,0.75
2025-12-29,ct3,-3.25,-280,25690.38,39,37,100,117,3019,0.75
2025-12-29,ct3,-3.25,-275,25692.12,41,45,107,119,3007,0.75
2025-12-29,ct3,-3.25,-270,25692.88,43,41,121,119,3011,0.75
2025-12-29,ct3,-3.25,-265,25691.62,37,36,105,128,3013,0.75
2025-12-29,ct3,-3.25,-260,25690.75,40,45,109,140,3018,1.0
2025-12-29,ct3,-3.25,-255,25690.38,39,41,106,137,3030,0.75
2025-12-29,ct3,-3.25,-250,25688.88,39,44,115,141,3043,0.25
2025-12-29,ct3,-3.25,-245,25688.88,35,35,112,132,3028,0.75
2025-12-29,ct3,-3.25,-240,25690.88,38,38,112,138,3025,0.75
