date,label,sym,move,rel_bucket,n_upd,n_cancel,n_add,mean_depth,mean_ct,mean_spread
2025-01-13,ct0,NQH5,1.25,-36,9725,4438,4463,3.92,3.85,0.804
2025-01-13,ct0,NQH5,1.25,-35,8401,3852,3961,3.8,3.75,0.798
2025-01-13,ct0,NQH5,1.25,-34,6519,2997,3047,3.86,3.8,0.803
2025-01-13,ct0,NQH5,1.25,-33,6115,2906,2754,3.71,3.63,0.809
2025-01-13,ct0,NQH5,1.25,-32,5740,2708,2579,5.58,3.52,0.767
2025-01-13,ct0,NQH5,1.25,-31,6246,2904,2806,3.8,3.62,0.836
2025-01-13,ct0,NQH5,1.25,-30,8300,3688,3591,4.59,3.87,0.804
2025-01-13,ct0,NQH5,1.25,-29,8062,3655,3747,3.88,3.78,0.815
2025-01-13,ct0,NQH5,1.25,-28,6967,3241,3236,3.71,3.64,0.836
2025-01-13,ct0,NQH5,1.25,-27,5766,2694,2656,3.73,3.68,0.852
2025-01-13,ct0,NQH5,1.25,-26,6545,3030,2952,3.72,3.67,0.843
2025-01-13,ct0,NQH5,1.25,-25,5639,2654,2550,3.85,3.73,0.839
2025-01-13,ct0,NQH5,1.25,-24,6620,3082,3069,3.8,3.6,0.842
2025-01-13,ct0,NQH5,1.25,-23,6993,3255,3247,3.78,3.74,0.839
2025-01-13,ct0,NQH5,1.25,-22,5659,2608,2673,3.86,3.72,0.815
2025-01-13,ct0,NQH5,1.25,-21,5830,2736,2715,3.78,3.76,0.856
2025-01-13,ct0,NQH5,1.25,-20,5363,2523,2409,3.55,3.51,0.862
2025-01-13,ct0,NQH5,1.25,-19,4837,2294,2169,3.54,3.49,0.858
2025-01-13,ct0,NQH5,1.25,-18,8678,4029,3979,3.65,3.6,0.875
2025-01-13,ct0,NQH5,1.25,-17,7338,3487,3455,3.6,3.56,0.844
2025-01-13,ct0,NQH5,1.25,-16,7633,3598,3532,3.83,3.67,0.837
2025-01-13,ct0,NQH5,1.25,-15,7527,3600,3502,3.73,3.7,0.842
2025-01-13,ct0,NQH5,1.25,-14,6322,3001,2814,3.72,3.64,0.825
2025-01-13,ct0,NQH5,1.25,-13,6035,2814,2811,3.72,3.68,0.822
2025-01-13,ct0,NQH5,1.25,-12,6814,3221,3097,3.82,3.8,0.835
2025-01-13,ct0,NQH5,1.25,-11,6891,3182,3096,4.34,3.73,0.777
2025-01-13,ct0,NQH5,1.25,-10,7474,3582,3321,3.92,3.81,0.803
2025-01-13,ct0,NQH5,1.25,-9,6605,3105,3048,3.99,3.88,0.774
2025-01-13,ct0,NQH5,1.25,-8,5714,2784,2481,4.06,3.84,0.754
2025-01-13,ct0,NQH5,1.25,-7,6746,3022,2781,4.1,3.76,0.762
2025-01-13,ct0,NQH5,1.25,-6,6928,3144,3031,4.04,3.69,0.756
2025-01-13,ct0,NQH5,1.25,-5,7439,3470,3318,4.14,3.9,0.762
2025-01-13,ct0,NQH5,1.25,-4,6328,2990,2856,3.79,3.71,0.779
2025-01-13,ct0,NQH5,1.25,-3,5646,2719,2439,3.96,3.79,0.748
2025-01-13,ct0,NQH5,1.25,-2,5452,2473,2258,4.2,3.96,0.724
2025-01-13,ct0,NQH5,1.25,-1,5654,2669,2529,3.86,3.67,0.728
2025-01-13,ct0,NQH5,1.25,0,5891,2819,2651,3.82,3.76,0.735
2025-01-13,ct0,NQH5,1.25,1,5227,2544,2350,3.83,3.78,0.787
2025-01-13,ct0,NQH5,1.25,2,4317,2045,1936,3.84,3.72,0.782
2025-01-13,ct0,NQH5,1.25,3,4667,2239,2026,3.8,3.74,0.778
2025-01-13,ct0,NQH5,1.25,4,4548,2202,2015,4.32,3.86,0.757
2025-01-13,ct0,NQH5,1.25,5,3716,1797,1670,3.65,3.63,0.762
2025-01-13,ct0,NQH5,1.25,6,5946,2768,2663,3.74,3.7,0.783
2025-01-13,ct0,NQH5,1.25,7,4689,2358,2026,3.96,3.92,0.764
2025-01-13,ct0,NQH5,1.25,8,5830,2853,2526,4.13,4.08,0.749
2025-01-13,ct0,NQH5,1.25,9,5571,2680,2412,4.02,3.88,0.717
2025-01-13,ct0,NQH5,1.25,10,5633,2660,2495,3.89,3.8,0.735
2025-01-13,ct0,NQH5,1.25,11,4147,2054,1832,3.81,3.74,0.759
2025-01-13,ct1,NQH5,-3.0,-36,2776,1268,1075,4.25,4.14,0.617
2025-01-13,ct1,NQH5,-3.0,-35,1637,776,633,4.65,4.42,0.584
2025-01-13,ct1,NQH5,-3.0,-34,1427,697,560,4.3,4.28,0.629
2025-01-13,ct1,NQH5,-3.0,-33,1269,612,501,4.32,4.26,0.605
2025-01-13,ct1,NQH5,-3.0,-32,1511,728,590,4.07,3.99,0.603
2025-01-13,ct1,NQH5,-3.0,-31,2046,968,834,4.09,4.09,0.623
2025-01-13,ct1,NQH5,-3.0,-30,2259,1065,903,4.19,4.1,0.633
2025-01-13,ct1,NQH5,-3.0,-29,1838,861,734,4.05,4.01,0.626
2025-01-13,ct1,NQH5,-3.0,-28,1609,756,630,4.19,3.97,0.629
2025-01-13,ct1,NQH5,-3.0,-27,1917,900,752,4.16,4.14,0.672
2025-01-13,ct1,NQH5,-3.0,-26,1907,915,755,4.25,4.1,0.639
2025-01-13,ct1,NQH5,-3.0,-25,2038,963,770,4.68,4.6,0.606
2025-01-13,ct1,NQH5,-3.0,-24,2810,1353,1101,4.5,4.44,0.602
2025-01-13,ct1,NQH5,-3.0,-23,1735,820,709,4.27,4.25,0.63
2025-01-13,ct1,NQH5,-3.0,-22,1574,783,624,4.34,4.29,0.626
2025-01-13,ct1,NQH5,-3.0,-21,2269,1075,892,4.6,4.28,0.613
2025-01-13,ct1,NQH5,-3.0,-20,1393,643,526,4.43,4.31,0.628
2025-01-13,ct1,NQH5,-3.0,-19,1505,731,592,4.47,4.34,0.616
2025-01-13,ct1,NQH5,-3.0,-18,1555,754,587,4.14,4.1,0.631
2025-01-13,ct1,NQH5,-3.0,-17,1026,476,405,4.23,4.21,0.6
2025-01-13,ct1,NQH5,-3.0,-16,1877,850,742,4.59,4.49,0.595
2025-01-13,ct1,NQH5,-3.0,-15,1907,900,743,4.42,4.33,0.625
2025-01-13,ct1,NQH5,-3.0,-14,1175,577,446,4.25,4.09,0.632
2025-01-13,ct1,NQH5,-3.0,-13,1626,749,592,4.53,4.29,0.608
2025-01-13,ct1,NQH5,-3.0,-12,2446,1141,943,4.66,4.56,0.601
2025-01-13,ct1,NQH5,-3.0,-11,1596,733,584,4.68,4.54,0.578
2025-01-13,ct1,NQH5,-3.0,-10,2075,985,783,4.51,4.43,0.601
2025-01-13,ct1,NQH5,-3.0,-9,1617,784,628,4.62,4.53,0.615
2025-01-13,ct1,NQH5,-3.0,-8,1807,871,710,4.34,4.28,0.614
2025-01-13,ct1,NQH5,-3.0,-7,1601,752,617,4.67,4.51,0.6
2025-01-13,ct1,NQH5,-3.0,-6,2267,1062,888,4.72,4.63,0.602
2025-01-13,ct1,NQH5,-3.0,-5,2044,976,787,4.86,4.48,0.607
2025-01-13,ct1,NQH5,-3.0,-4,1645,791,675,4.71,4.54,0.611
2025-01-13,ct1,NQH5,-3.0,-3,1405,679,535,4.56,4.46,0.591
2025-01-13,ct1,NQH5,-3.0,-2,1438,680,577,4.46,4.2,0.637
2025-01-13,ct1,NQH5,-3.0,-1,1618,754,673,4.67,4.51,0.622
2025-01-13,ct1,NQH5,-3.0,0,1833,885,716,4.69,4.47,0.603
2025-01-13,ct1,NQH5,-3.0,1,2544,1203,1007,4.91,4.57,0.585
2025-01-13,ct1,NQH5,-3.0,2,1539,766,611,4.41,4.39,0.612
2025-01-13,ct1,NQH5,-3.0,3,1660,796,668,4.37,4.33,0.611
2025-01-13,ct1,NQH5,-3.0,4,1415,668,563,4.63,4.46,0.62
2025-01-13,ct1,NQH5,-3.0,5,1109,546,433,4.39,4.18,0.624
2025-01-13,ct1,NQH5,-3.0,6,1932,942,753,3.96,3.94,0.641
2025-01-13,ct1,NQH5,-3.0,7,1287,604,498,4.35,4.21,0.639
2025-01-13,ct1,NQH5,-3.0,8,1315,617,506,4.34,4.31,0.614
2025-01-13,ct1,NQH5,-3.0,9,1909,905,761,4.3,4.28,0.623
2025-01-13,ct1,NQH5,-3.0,10,1666,817,639,4.51,4.41,0.623
2025-01-13,ct1,NQH5,-3.0,11,3109,1437,1204,4.38,4.29,0.602
2025-01-13,ev0,NQH5,57.5,-36,6928,3144,3031,4.04,3.69,0.756
2025-01-13,ev0,NQH5,57.5,-35,7439,3470,3318,4.14,3.9,0.762
2025-01-13,ev0,NQH5,57.5,-34,6328,2990,2856,3.79,3.71,0.779
2025-01-13,ev0,NQH5,57.5,-33,5646,2719,2439,3.96,3.79,0.748
2025-01-13,ev0,NQH5,57.5,-32,5452,2473,2258,4.2,3.96,0.724
2025-01-13,ev0,NQH5,57.5,-31,5654,2669,2529,3.86,3.67,0.728
2025-01-13,ev0,NQH5,57.5,-30,5891,2819,2651,3.82,3.76,0.735
2025-01-13,ev0,NQH5,57.5,-29,5227,2544,2350,3.83,3.78,0.787
2025-01-13,ev0,NQH5,57.5,-28,4317,2045,1936,3.84,3.72,0.782
2025-01-13,ev0,NQH5,57.5,-27,4667,2239,2026,3.8,3.74,0.778
2025-01-13,ev0,NQH5,57.5,-26,4548,2202,2015,4.32,3.86,0.757
2025-01-13,ev0,NQH5,57.5,-25,3716,1797,1670,3.65,3.63,0.762
2025-01-13,ev0,NQH5,57.5,-24,5946,2768,2663,3.74,3.7,0.783
2025-01-13,ev0,NQH5,57.5,-23,4689,2358,2026,3.96,3.92,0.764
2025-01-13,ev0,NQH5,57.5,-22,5830,2853,2526,4.13,4.08,0.749
2025-01-13,ev0,NQH5,57.5,-21,5571,2680,2412,4.02,3.88,0.717
2025-01-13,ev0,NQH5,57.5,-20,5633,2660,2495,3.89,3.8,0.735
2025-01-13,ev0,NQH5,57.5,-19,4147,2054,1832,3.81,3.74,0.759
2025-01-13,ev0,NQH5,57.5,-18,6613,3106,2907,3.69,3.62,0.744
2025-01-13,ev0,NQH5,57.5,-17,4755,2370,2033,3.72,3.69,0.759
2025-01-13,ev0,NQH5,57.5,-16,5369,2585,2342,3.8,3.74,0.782
2025-01-13,ev0,NQH5,57.5,-15,4461,2087,2011,3.61,3.6,0.802
2025-01-13,ev0,NQH5,57.5,-14,4664,2235,2051,3.9,3.81,0.77
2025-01-13,ev0,NQH5,57.5,-13,4455,2107,1950,3.87,3.76,0.778
2025-01-13,ev0,NQH5,57.5,-12,6057,2840,2691,3.75,3.71,0.758
2025-01-13,ev0,NQH5,57.5,-11,4298,2046,1931,3.73,3.7,0.75
2025-01-13,ev0,NQH5,57.5,-10,4074,1925,1825,3.69,3.59,0.749
2025-01-13,ev0,NQH5,57.5,-9,3747,1805,1655,3.85,3.66,0.747
2025-01-13,ev0,NQH5,57.5,-8,5381,2504,2437,3.98,3.81,0.727
2025-01-13,ev0,NQH5,57.5,-7,3605,1756,1570,3.8,3.65,0.768
2025-01-13,ev0,NQH5,57.5,-6,5739,2608,2559,3.91,3.76,0.751
2025-01-13,ev0,NQH5,57.5,-5,4805,2247,2140,3.78,3.67,0.727
2025-01-13,ev0,NQH5,57.5,-4,4658,2197,2045,3.97,3.74,0.722
2025-01-13,ev0,NQH5,57.5,-3,4845,2272,2137,3.78,3.74,0.73
2025-01-13,ev0,NQH5,57.5,-2,4827,2292,2128,3.77,3.72,0.733
2025-01-13,ev0,NQH5,57.5,-1,4359,2077,1931,3.69,3.66,0.749
2025-01-13,ev0,NQH5,57.5,0,6714,3137,2959,4.13,3.71,0.748
2025-01-13,ev0,NQH5,57.5,1,5431,2564,2405,3.78,3.69,0.738
2025-01-13,ev0,NQH5,57.5,2,6021,2776,2537,4.34,3.83,0.698
2025-01-13,ev0,NQH5,57.5,3,4733,2239,2015,4.2,3.82,0.706
2025-01-13,ev0,NQH5,57.5,4,6346,2875,2753,4.17,3.74,0.701
2025-01-13,ev0,NQH5,57.5,5,6183,2823,2633,5.62,3.8,0.686
2025-01-13,ev0,NQH5,57.5,6,8000,3561,3382,7.01,3.82,0.676
2025-01-13,ev0,NQH5,57.5,7,6929,3249,2996,4.1,3.97,0.683
2025-01-13,ev0,NQH5,57.5,8,6175,3009,2663,3.86,3.83,0.707
2025-01-13,ev0,NQH5,57.5,9,5675,2772,2471,4.01,3.78,0.72
2025-01-13,ev0,NQH5,57.5,10,5682,2709,2464,4.05,3.81,0.712
2025-01-13,ev0,NQH5,57.5,11,4768,2299,2017,3.95,3.85,0.735
2025-01-16,ct0,NQH5,-4.0,-36,4777,2379,1934,4.64,4.58,0.61
2025-01-16,ct0,NQH5,-4.0,-35,3405,1651,1429,4.62,4.53,0.604
2025-01-16,ct0,NQH5,-4.0,-34,3314,1661,1324,4.64,4.5,0.603
2025-01-16,ct0,NQH5,-4.0,-33,3215,1558,1292,4.98,4.61,0.593
2025-01-16,ct0,NQH5,-4.0,-32,3966,1945,1622,5.21,4.69,0.593
2025-01-16,ct0,NQH5,-4.0,-31,4224,2021,1802,5.0,4.72,0.62
2025-01-16,ct0,NQH5,-4.0,-30,4405,2136,1828,4.67,4.5,0.624
2025-01-16,ct0,NQH5,-4.0,-29,3106,1554,1247,4.46,4.42,0.618
