cell,n,skill,null,excess,z,ev
ALL,439474,0.5487698160620713,0.059610695181896906,0.48915912088017444,7.886941979845739,-2.7818801567328215
0930-1000 open,10929,0.6188636227762392,0.2014069898831082,0.41745663289313095,1.1076310871342157,-2.242931649739226
1000-1200 algo/mid-morn,44254,0.5358390946974436,-0.08184644954179669,0.6176855442392403,3.2458019106974594,-2.690061915307091
1200-1400 midday,43574,0.4777919543740454,0.27419638561305054,0.20359556876099488,1.0513905509611667,-2.733373112406481
1400-1545,37340,0.3956746308761811,0.21921644326377868,0.17645818761240242,0.8407413364684858,-2.8621049812533474
1545-1600 close,5310,0.6334060886990914,0.20027392094768595,0.4331321677514055,0.8124822431277435,-2.548587570621469
overnight,198075,0.47854950184132256,0.038004328809129156,0.4405451730321934,4.752970160357472,-2.8465884134797426
within 2pt of 25-level,74384,0.7772485227717485,0.008740101378481127,0.7685084213932674,5.092104919040649,-2.6396402452140246
within 5pt of 25-level,179810,0.751408551164031,-0.017817752077226034,0.7692263032412571,7.924736414099212,-2.6748846004115454
within 2pt of 50-level,36439,1.0508672178536302,0.06820254386222081,0.9826646739914094,4.554363923946564,-2.338867696698592
within 5pt of 50-level,89106,1.0478120179379098,0.07244524975221196,0.9753667681856978,7.081474117103784,-2.464805961439185
within 2pt of 100-level,18343,1.1516687105141883,0.06785114555596432,1.083817564958224,3.597004645104903,-2.2783623180504824
within 5pt of 100-level,44896,1.0941067893272574,0.0655609217554335,1.0285458675718238,5.317132716405776,-2.4027084818246616
1000-1200 AND <=2pt of 50,3636,1.7771348637135513,-0.28118304351778844,2.0583179072313396,3.1365751093964036,-1.6531903190319033
1000-1200 AND <=5pt of 50,8831,1.2568287978626145,-0.13971594107605875,1.3965447389386731,3.2729109957861895,-1.9496093307666176
1000-1200 AND <=2pt of 100,1811,1.717608029366244,-0.2253424307525046,1.9429504601187486,2.082470622787503,-2.492545554942021
1000-1200 AND <=5pt of 100,4456,1.0629009767276136,-0.5599432730001626,1.6228442497277762,2.692138892312811,-2.3395421903052065
