date,qqq_spot,gl_flip,our_flip_qqq,flip_diff,gl_gex,our_total_gex,sign_match
2026-02-23,601.46,619.67,,,-807952599,-5461379732,1
2026-02-24,607.84,619.33,,,-408288418,-2582121668,1
2026-02-25,616.51,623.74,631.00,-7.26,-49566403,870767873,0
2026-02-26,609.26,628.04,,,-638428388,-3215079072,1
2026-02-27,607.45,632.67,,,-596088809,-3685733860,1
2026-03-02,608.09,628.04,,,-618927344,-3863610114,1
2026-03-03,601.67,623.07,,,-944478366,-6295864288,1
2026-03-04,610.55,618.22,,,-388271496,-2070567388,1
2026-03-05,608.90,617.89,,,-701389821,-3317546350,1
2026-03-06,599.81,618.22,,,-645619789,-5421037228,1
2026-03-09,607.75,618.00,,,-434010379,-2704760381,1
2026-03-10,607.67,612.78,,,-359034520,-2274230059,1
2026-03-11,607.73,601.43,,,-196526757,-2749257009,1
2026-03-12,597.35,590.63,,,-835142949,-6193753404,1
2026-03-13,593.69,588.82,,,-779972833,-5607741103,1
2026-03-16,600.31,598.39,,,-663283688,-3947298476,1
2026-03-17,603.38,607.42,,,-554521543,-3000280853,1
2026-03-18,594.78,617.82,,,-852526731,-6453825194,1
2026-03-19,592.98,620.07,,,-1014264562,-6719670651,1
2026-03-20,582.07,622.09,,,-723318500,-5256947161,1
2026-03-23,588.16,612.93,,,-559827563,-4204004531,1
2026-03-24,583.93,608.02,,,-755696280,-5073888122,1
2026-03-25,587.73,603.32,,,-603149964,-3833837765,1
2026-03-26,573.70,606.39,,,-984926762,-6157284334,1
2026-03-27,562.50,606.88,,,-837479426,-5485833761,1
2026-03-30,558.29,603.88,,,-857003228,-5655504733,1
2026-03-31,577.17,595.00,,,-348827916,-2741832754,1
2026-04-01,584.26,587.01,,,-62670269,-902059820,1
2026-04-02,584.96,585.79,,,-285405498,-1706805606,1
2026-04-06,588.53,591.78,,,-102879867,-875391462,1
2026-04-07,588.72,592.44,,,-344451770,-1622030734,1
2026-04-08,605.92,593.56,607.00,-13.44,1471366141,3298423684,1
2026-04-09,610.06,597.00,610.00,-13.00,363263472,3911427670,1
2026-04-10,611.02,601.11,614.00,-12.89,303944608,3045068206,1
2026-04-13,617.31,605.44,613.00,-7.56,627527697,5029752321,1
2026-04-14,628.54,606.89,620.00,-13.11,884195322,6617922560,1
2026-04-15,637.37,607.89,620.00,-12.11,85369292,6488640489,1
2026-04-16,640.41,604.91,625.00,-20.09,190049118,5919165499,1
2026-04-17,648.78,604.59,625.00,-20.41,242389031,5438247041,1
2026-04-20,646.80,606.05,630.00,-23.95,294728944,3759381047,1
2026-04-21,644.31,614.19,647.00,-32.81,361610754,2844274853,1
2026-04-22,655.08,621.00,630.00,-9.00,505817150,5252344553,1
2026-04-23,651.41,626.36,625.00,+1.36,196776329,2652563202,1
2026-04-24,663.91,628.21,660.00,-31.79,541450635,6605557719,1
2026-04-27,664.27,630.60,630.00,+0.60,502026011,5446271527,1
2026-04-28,657.56,632.56,645.00,-12.44,329871142,3156771211,1
2026-04-29,661.61,644.07,656.00,-11.93,460454634,4652699281,1
2026-04-30,667.80,654.92,630.00,+24.92,660883654,6472473511,1
2026-05-01,673.96,666.21,635.00,+31.21,643139025,6348107161,1
2026-05-04,672.88,663.92,645.00,+18.92,433524546,4883045358,1
2026-05-05,681.51,662.96,640.00,+22.96,666885544,5634075469,1
2026-05-06,693.78,663.50,630.00,+33.50,520850924,5026174793,1
2026-05-07,693.14,670.40,630.00,+40.40,288290844,4854265648,1
2026-05-08,711.11,685.31,,,444368478,4605350243,1
2026-05-11,713.35,694.87,,,343087445,4283988911,1
2026-05-12,704.07,699.53,710.00,-10.47,166160777,2491258864,1
2026-05-13,714.48,702.37,,,357083908,4267991922,1
2026-05-14,719.73,707.59,,,437954665,4483946437,1
2026-05-15,708.94,707.48,690.00,+17.48,-9184019,1470853496,0
2026-05-18,705.71,708.69,750.00,-41.31,-87928955,472921753,0
2026-05-19,701.52,707.15,645.00,+62.15,-206991643,-668624187,1
2026-05-20,713.08,706.29,695.00,+11.29,136077440,3092638347,1
2026-05-21,714.45,709.24,690.00,+19.24,229299127,3182870481,1
2026-05-22,717.43,710.31,709.00,+1.31,192636704,3085070027,1
2026-05-26,730.22,716.08,717.00,-0.92,386420287,4481873992,1
2026-05-27,729.49,719.86,725.00,-5.14,370722592,3660762728,1
2026-05-28,735.60,723.04,710.00,+13.04,494743964,5215566340,1
2026-05-29,738.24,724.95,680.00,+44.95,345910304,4274785577,1
2026-06-01,742.72,728.83,690.00,+38.83,399252086,5000181973,1
2026-06-02,746.14,734.67,730.00,+4.67,341091273,4312839799,1
2026-06-03,744.24,736.28,741.00,-4.72,218369007,3579942310,1
2026-06-04,740.50,737.30,750.00,-12.70,56560671,2391614857,1
2026-06-05,705.26,728.47,645.00,+83.47,-429880432,-3561255444,1
2026-06-08,718.21,723.69,655.00,+68.69,-263780320,-1622604667,1
2026-06-09,707.88,723.81,,,-478476087,-4395486396,1
2026-06-10,693.73,720.52,,,-657431420,-5362633190,1
2026-06-11,716.44,719.50,,,-73920156,-173870291,1
2026-06-12,721.32,721.12,750.00,-28.88,39135806,933755163,1
2026-06-15,743.84,722.68,733.00,-10.32,598859650,6455532033,1
