date,ret_w,ret_e,n_members
2020-04-29,0.101886,0.101465,20
2020-04-30,-0.040130,-0.040248,20
2020-05-01,-0.069037,-0.063133,20
2020-05-04,0.025209,0.030179,20
2020-05-05,-0.010861,-0.012336,20
2020-05-06,-0.003799,-0.003633,20
2020-05-07,0.018532,0.013008,20
2020-05-08,0.024530,0.022473,20
2020-05-11,0.008578,0.013952,20
2020-05-12,-0.007349,-0.016128,20
2020-05-13,-0.055318,-0.046628,20
2020-05-14,0.007313,-0.001671,20
2020-05-15,0.047690,0.058747,20
2020-05-18,0.111324,0.116786,20
2020-05-19,-0.015651,-0.025313,20
2020-05-20,0.013583,0.000255,20
2020-05-21,0.045988,0.053818,20
2020-05-22,-0.004457,-0.010080,20
2020-05-26,0.039364,0.036169,20
2020-05-27,0.026227,0.023409,20
2020-05-28,-0.037927,-0.036134,20
2020-05-29,0.010036,-0.012358,20
2020-06-01,0.035604,0.032416,20
2020-06-02,0.051987,0.033362,20
2020-06-03,0.036923,0.043424,20
2020-06-04,0.071836,0.071555,20
2020-06-05,0.036734,0.066801,20
2020-06-08,0.086176,0.118220,20
2020-06-09,-0.056678,-0.078213,20
2020-06-10,-0.024371,-0.045932,20
2020-06-11,-0.141421,-0.130676,20
2020-06-12,0.060168,0.064639,20
2020-06-15,0.032012,0.016082,20
2020-06-16,0.032854,0.030740,20
2020-06-17,-0.007074,-0.019772,20
2020-06-18,-0.011763,-0.009322,20
2020-06-19,0.014749,-0.009487,20
2020-06-22,0.027387,0.009641,20
2020-06-23,-0.004382,0.002838,20
2020-06-24,-0.019117,-0.031526,20
2020-06-25,-0.011522,0.000242,20
2020-06-26,-0.010130,-0.034062,20
2020-06-29,0.038010,0.040446,20
2020-06-30,0.013585,0.013741,20
2020-07-01,0.013736,0.007530,20
2020-07-02,0.024970,0.010829,20
2020-07-06,0.043402,0.022550,20
2020-07-07,0.021811,-0.011806,20
2020-07-08,0.001081,0.011218,20
2020-07-09,-0.000101,-0.017202,20
2020-07-10,0.038974,0.030259,20
