tradeDate,sym,onHigh,onLow,onRange,onClose,rthOpen,rthHigh,rthLow,rthClose,rthVol,gap,prevRthClose,gapFillMin,onHiBreakMin,onLoBreakMin,bothBroke,firstBreak,ibHigh,ibLow,ibRange,ibHiBreakMin,ibLoBreakMin,atr20
2021-01-18,NQH1,12816.75,12727.00,89.75,12800.00,12800.25,12815.25,12784.25,12814.00,19817,,,,,,0,0,12815.00,12784.25,30.75,86,,31.00
2021-01-19,NQH1,12949.00,12810.75,138.25,12895.75,12896.50,13006.50,12849.25,12985.00,321328,82.50,12814.00,,208,,0,1,12930.25,12857.75,72.50,186,105,94.13
2021-01-20,NQH1,13138.50,13017.00,121.50,13137.00,13137.00,13327.00,13121.00,13285.50,335881,152.00,12985.00,,0,,0,1,13238.00,13121.00,117.00,63,,131.42
2021-01-21,NQH1,13392.00,13288.00,104.00,13339.75,13340.00,13423.50,13283.25,13397.25,324436,54.50,13285.50,12,94,12,1,-1,13377.50,13283.25,94.25,76,,133.63
2021-01-22,NQH1,13402.25,13300.25,102.00,13348.00,13347.75,13397.00,13323.00,13355.25,309701,-49.50,13397.25,,,,0,0,13391.75,13327.75,64.00,367,69,121.70
2021-01-25,NQH1,13508.00,13368.75,139.25,13497.75,13497.75,13554.50,13189.00,13474.50,553625,142.50,13355.25,90,1,89,1,1,13554.50,13496.00,58.50,,66,162.33
2021-01-26,NQH1,13497.00,13380.25,116.75,13493.50,13493.25,13533.00,13426.75,13484.75,387218,18.75,13474.50,8,0,,0,1,13509.25,13426.75,82.50,79,,154.32
2021-01-27,NQH1,13586.50,13352.00,234.50,13389.25,13389.50,13389.50,13021.00,13119.75,600643,-95.25,13484.75,,,1,0,-1,13389.50,13171.25,218.25,,303,181.09
2021-01-28,NQH1,13189.25,12906.25,283.00,13155.00,13155.25,13394.00,13128.25,13185.75,397949,35.50,13119.75,,6,,0,1,13279.00,13128.25,150.75,79,,190.50
2021-01-29,NQH1,13188.00,12933.50,254.50,13110.25,13110.50,13157.25,12829.00,12913.75,519640,-75.25,13185.75,,,174,0,-1,13157.00,12998.00,159.00,61,113,204.28
2021-02-01,NQH1,13084.00,12727.25,356.75,13051.50,13051.50,13271.50,12970.25,13230.50,376122,137.75,12913.75,,4,,0,1,13104.00,12970.25,133.75,65,,213.09
2021-02-02,NQH1,13378.50,13230.50,148.00,13352.25,13352.25,13493.50,13345.00,13448.50,337654,121.75,13230.50,,5,,0,1,13437.50,13345.00,92.50,135,,207.71
2021-02-03,NQH1,13584.50,13475.75,108.75,13531.00,13531.50,13547.75,13386.75,13388.75,388062,83.00,13448.50,44,,3,0,-1,13547.75,13393.50,154.25,,68,204.12
2021-02-04,NQH1,13463.50,13345.25,118.25,13449.50,13449.00,13552.50,13391.75,13550.50,297496,60.25,13388.75,,1,,0,1,13480.25,13391.75,88.50,187,,201.02
2021-02-05,NQH1,13618.75,13528.25,90.50,13590.00,13590.00,13638.50,13519.50,13596.50,335437,39.50,13550.50,5,194,49,1,-1,13593.25,13519.50,73.75,168,,195.55
2021-02-08,NQH1,13687.25,13605.25,82.00,13666.50,13666.25,13693.00,13596.00,13684.75,306494,69.75,13596.50,132,39,127,1,1,13693.00,13632.75,60.25,,119,189.39
2021-02-09,NQH1,13698.00,13634.00,64.00,13645.25,13645.75,13735.25,13645.25,13680.50,294235,-39.00,13684.75,16,27,,0,1,13727.75,13645.25,82.50,63,,183.54
2021-02-10,NQH1,13769.25,13679.00,90.25,13742.75,13742.75,13762.00,13516.75,13650.00,455075,62.25,13680.50,50,,50,0,-1,13762.00,13562.25,199.75,,74,186.97
2021-02-11,NQH1,13724.75,13612.50,112.25,13717.50,13717.25,13743.75,13624.50,13725.75,417112,67.25,13650.00,179,0,,0,1,13738.75,13682.00,56.75,81,170,183.41
2021-02-12,NQH1,13742.00,13663.25,78.75,13693.00,13693.50,13810.25,13646.00,13804.00,315785,-32.25,13725.75,78,103,5,1,-1,13709.50,13646.00,63.50,69,,182.45
2021-02-15,NQH1,13866.75,13810.00,56.75,13851.00,13850.75,13878.25,13848.25,13872.00,21515,46.75,13804.00,,193,,0,1,13862.50,13848.25,14.25,67,,182.40
2021-02-16,NQH1,13900.50,13831.25,69.25,13835.75,13835.75,13875.50,13716.00,13764.50,447155,-36.25,13872.00,62,,0,0,-1,13868.50,13811.50,57.00,61,99,182.51
2021-02-17,NQH1,13785.00,13626.25,158.75,13638.50,13638.50,13710.50,13543.00,13699.50,436194,-126.00,13764.50,,,4,0,-1,13692.50,13585.25,107.25,365,64,180.59
