tradeDate,sym,nBars,sessOpen,sessHigh,sessLow,sessClose,sessVol,globexOpenO,globexOpenH,globexOpenL,globexOpenC,globexOpenV,globexOpenN,overnightO,overnightH,overnightL,overnightC,overnightV,overnightN,euroO,euroH,euroL,euroC,euroV,euroN,preOpenO,preOpenH,preOpenL,preOpenC,preOpenV,preOpenN,open60O,open60H,open60L,open60C,open60V,open60N,morningO,morningH,morningL,morningC,morningV,morningN,middayO,middayH,middayL,middayC,middayV,middayN,aftO,aftH,aftL,aftC,aftV,aftN,precloseO,precloseH,precloseL,precloseC,precloseV,precloseN,last30O,last30H,last30L,last30C,last30V,last30N,postSettleO,postSettleH,postSettleL,postSettleC,postSettleV,postSettleN,rthO,rthH,rthL,rthC,rthV,rthN
2021-01-18,NQH1,21762,12774.25,12816.75,12727.00,12814.00,66738,12774.25,12796.00,12733.00,12744.75,6639,1663,12774.25,12816.75,12727.00,12800.25,46898,16576,12777.00,12816.75,12770.00,12799.00,14780,5192,12803.50,12808.50,12792.25,12800.25,2643,1082,12800.00,12815.00,12784.25,12797.50,9536,2011,12800.00,12815.25,12784.25,12808.75,16517,4118,12808.75,12815.00,12799.25,12814.00,3323,1068,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,12800.00,12815.25,12784.25,12814.00,19840,5186
2021-01-19,NQH1,45628,12812.00,13032.75,12810.75,13032.75,411121,12812.00,12835.50,12810.75,12833.25,3200,1018,12812.00,12949.00,12810.75,12898.75,74417,21991,12938.50,12938.50,12893.50,12906.75,24569,7430,12897.75,12908.50,12891.50,12898.75,8041,2061,12898.25,12930.25,12857.75,12877.50,111289,3596,12898.25,12930.25,12849.25,12903.00,185757,8910,12903.00,12991.50,12896.25,12987.50,66329,6687,12987.75,12995.50,12971.50,12986.75,26138,3182,12986.00,13006.50,12981.75,12986.25,40227,3371,12989.00,12999.00,12981.75,12986.25,24250,1732,12985.75,13032.25,12965.00,13031.25,18184,1466,12898.25,13006.50,12849.25,12986.25,318451,22150
2021-01-20,NQH1,45363,13030.00,13327.00,13017.00,13290.50,430922,13030.00,13054.50,13028.50,13048.25,5037,1357,13030.00,13138.50,13017.00,13134.50,78279,21407,13055.75,13105.75,13046.00,13105.50,29959,8096,13105.50,13138.50,13103.75,13134.50,14763,2486,13134.75,13238.00,13121.00,13230.75,113311,3591,13134.75,13255.00,13121.00,13249.00,187133,8890,13248.75,13294.50,13242.00,13278.75,62990,6704,13278.50,13316.75,13266.50,13308.25,34612,3335,13308.50,13327.00,13292.00,13302.75,46974,3433,13310.75,13327.00,13292.00,13302.75,30454,1755,13302.50,13310.50,13277.00,13290.50,20901,1580,13134.75,13327.00,13121.00,13302.75,331709,22362
2021-01-21,NQH1,44729,13288.50,13423.50,13283.25,13397.00,418512,13288.50,13322.75,13288.00,13315.00,3478,1099,13288.50,13392.00,13288.00,13338.50,85305,21159,13364.25,13373.25,13335.00,13352.75,23885,6659,13357.75,13367.50,13305.00,13338.50,20236,2739,13338.50,13377.50,13283.25,13363.75,110627,3600,13338.50,13392.75,13283.25,13370.75,183269,8908,13370.50,13386.25,13315.75,13363.50,67410,6737,13363.50,13405.00,13363.00,13404.50,28521,3281,13404.50,13423.50,13391.75,13400.75,42742,3421,13405.50,13423.50,13395.00,13400.75,28897,1748,13400.75,13405.25,13390.50,13397.25,11223,1216,13338.50,13423.50,13283.25,13400.75,321942,22347
2021-01-22,NQH1,45810,13394.00,13402.25,13300.25,13355.25,403927,13394.00,13402.25,13377.75,13382.75,3069,1009,13394.00,13402.25,13300.25,13347.50,82589,22301,13344.75,13353.25,13300.25,13319.25,36353,9132,13314.25,13348.00,13305.25,13347.50,12803,2308,13347.75,13391.75,13327.75,13349.00,101175,3594,13347.75,13391.75,13323.00,13367.00,184738,8920,13367.25,13378.00,13339.50,13361.50,57300,6676,13360.25,13390.25,13350.25,13390.00,25964,3220,13390.25,13397.00,13364.00,13367.00,39051,3427,13384.75,13397.00,13366.00,13367.00,24175,1734,13367.25,13368.50,13343.50,13355.75,14200,1248,13347.75,13397.00,13323.00,13367.00,307053,22243
2021-01-25,NQH1,46925,13370.00,13554.50,13189.00,13464.25,657980,13370.00,13408.50,13368.75,13398.00,5067,1335,13370.00,13508.00,13368.75,13496.75,94513,22624,13472.75,13508.00,13463.25,13478.00,39898,9042,13494.75,13498.75,13479.50,13496.75,13993,2597,13497.00,13554.50,13495.75,13519.00,111311,3597,13497.00,13554.50,13189.00,13394.25,327900,8972,13394.25,13448.50,13313.00,13434.00,119478,7046,13433.50,13452.50,13404.50,13440.25,41959,3473,13440.75,13478.75,13375.50,13465.50,62121,3541,13402.25,13478.75,13390.00,13465.50,34896,1781,13465.50,13483.75,13458.00,13464.25,11965,1253,13497.00,13554.50,13189.00,13465.50,551458,23032
2021-01-26,NQH1,45559,13459.75,13599.75,13380.25,13552.25,496447,13459.75,13476.25,13451.00,13466.25,2753,852,13459.75,13497.00,13380.25,13495.50,80876,21260,13404.25,13488.75,13402.00,13468.50,35840,8732,13463.50,13497.00,13462.75,13495.50,12721,2366,13495.50,13509.25,13426.75,13487.75,135686,3598,13495.50,13533.00,13426.75,13456.25,248236,8959,13456.00,13513.25,13455.25,13499.75,59567,6720,13500.25,13511.00,13480.50,13495.00,29976,3325,13495.00,13507.75,13469.00,13487.50,47228,3476,13507.25,13507.75,13469.00,13487.50,30869,1772,13487.25,13599.75,13481.25,13553.50,30510,1803,13495.50,13533.00,13426.75,13487.50,385007,22480
2021-01-27,NQH1,51051,13551.00,13586.50,12884.75,13061.75,777205,13551.00,13586.50,13548.75,13557.50,5251,1460,13551.00,13586.50,13352.00,13396.00,136093,25538,13552.50,13566.50,13362.00,13375.25,69883,11320,13376.00,13403.25,13357.25,13396.00,21748,3086,13396.25,13396.75,13171.25,13359.25,171781,3600,13396.25,13396.75,13171.25,13222.50,291157,8997,13222.00,13331.75,13203.50,13272.75,113025,7113,13270.75,13303.50,13104.75,13126.00,87570,3560,13125.75,13149.25,13021.00,13092.25,105337,3595,13061.00,13129.50,13021.00,13092.25,60823,1800,13092.25,13158.50,12884.75,13059.75,43976,2231,13396.25,13396.75,13021.00,13092.25,597089,23265
2021-01-28,NQH1,61914,13052.50,13394.00,12906.25,13151.75,615791,13052.50,13054.25,12955.00,12980.75,14045,2512,13052.50,13189.25,12906.25,13162.00,200737,37161,13001.50,13070.50,12906.25,13045.50,69608,13380,13008.00,13189.25,12991.75,13162.00,36814,3352,13160.75,13279.00,13128.25,13239.50,112900,3593,13160.75,13318.75,13128.25,13307.25,208130,8952,13306.75,13394.00,13303.00,13376.25,76012,6933,13375.75,13385.25,13295.75,13332.00,40626,3487,13333.00,13334.25,13193.25,13197.25,69515,3566,13264.75,13281.25,13193.25,13197.25,43863,1797,13197.25,13199.25,13123.00,13156.00,20669,1793,13160.75,13394.00,13128.25,13197.25,394283,22938
2021-01-29,NQH1,58812,13156.00,13188.00,12829.00,12870.50,728579,13156.00,13188.00,13128.75,13136.75,8362,1772,13156.00,13188.00,12933.50,13110.25,186113,33845,13003.00,13099.75,12933.50,13047.00,70859,13029,13066.75,13167.00,13066.00,13110.25,25748,2997,13109.25,13157.00,12998.00,13139.50,113755,3599,13109.25,13157.25,12962.50,13030.00,228687,8988,13029.75,13045.75,12829.00,12885.25,153748,7177,12884.50,12957.25,12870.50,12913.75,51578,3562,12914.00,13021.00,12907.75,12919.25,79504,3592,12980.50,13021.00,12918.00,12919.25,44943,1795,12918.25,12944.75,12863.50,12875.25,28861,1629,13109.25,13157.25,12829.00,12919.25,513517,23319
2021-02-01,NQH1,56436,12849.00,13271.50,12727.25,13235.25,543230,12849.00,12861.50,12727.25,12786.75,16874,2541,12849.00,13084.00,12727.25,13052.00,152438,32134,13010.00,13084.00,12983.00,13046.75,57253,11712,13042.25,13059.00,13029.00,13052.00,11631,2381,13052.00,13104.00,12970.25,13091.50,114171,3595,13052.00,13197.50,12970.25,13179.25,220281,8981,13179.50,13271.50,13174.00,13258.25,75998,6966,13258.00,13269.00,13234.25,13247.00,27101,3379,13247.25,13269.25,13233.00,13251.00,48259,3496,13250.25,13269.25,13233.00,13251.00,30843,1777,13250.75,13251.75,13206.25,13235.00,19033,1458,13052.00,13271.50,12970.25,13251.00,371639,22822
2021-02-02,NQH1,51872,13232.50,13509.75,13230.50,13498.00,483687,13232.50,13276.25,13230.50,13260.50,7823,1455,13232.50,13378.50,13230.50,13351.25,118176,27425,13309.25,13378.50,13301.75,13335.75,40031,9847,13339.75,13360.25,13329.50,13351.25,19138,2496,13350.50,13437.50,13345.00,13400.00,106298,3598,13350.50,13458.75,13345.00,13457.25,186684,8930,13457.00,13485.00,13426.25,13473.25,69723,6826,13473.00,13493.50,13460.50,13489.50,27585,3322,13489.50,13489.75,13441.25,13454.50,50579,3512,13479.75,13487.50,13441.25,13454.50,33157,1782,13454.50,13509.75,13408.00,13497.00,30864,1840,13350.50,13493.50,13345.00,13454.50,334571,22590
2021-02-03,NQH1,47749,13506.00,13584.50,13386.75,13416.00,494279,13506.00,13510.00,13480.50,13484.75,4739,1324,13506.00,13584.50,13475.75,13533.50,91971,23703,13578.25,13584.50,13513.50,13529.50,34377,8878,13537.25,13546.50,13513.25,13533.50,12763,2284,13534.25,13547.75,13396.25,13416.75,127056,3597,13534.25,13547.75,13391.00,13469.00,220436,8959,13469.00,13497.00,13454.50,13485.00,72810,6784,13484.75,13493.00,13455.50,13458.00,29253,3297,13458.25,13459.50,13398.25,13400.75,63240,3553,13409.75,13442.25,13398.25,13400.75,35836,1786,13400.50,13416.50,13386.75,13415.75,16526,1439,13534.25,13547.75,13391.00,13400.75,385739,22593
2021-02-04,NQH1,46858,13429.50,13568.75,13345.25,13563.25,404863,13429.50,13452.25,13429.50,13444.00,4722,1183,13429.50,13463.50,13345.25,13451.00,90838,23416,13417.50,13457.25,13414.00,13447.00,27387,7850,13456.25,13461.75,13430.00,13451.00,15167,2343,13451.00,13480.25,13391.75,13413.25,112590,3592,13451.00,13480.25,13391.75,13457.75,186322,8899,13457.25,13504.50,13455.25,13498.00,52120,6538,13497.75,13510.75,13487.75,13508.00,20043,3042,13508.00,13539.50,13500.00,13539.50,35775,3343,13514.50,13539.50,13506.75,13539.50,23739,1726,13539.50,13568.75,13538.50,13565.25,19694,1600,13451.00,13539.50,13391.75,13539.50,294260,21822
2021-02-05,NQH1,45573,13560.00,13638.50,13519.50,13603.50,425642,13560.00,13565.50,13540.50,13554.25,4269,1194,13560.00,13618.75,13528.25,13593.75,80033,21608,13595.25,13604.75,13566.00,13593.75,25588,7238,13581.25,13608.50,13570.00,13593.75,13093,2444,13593.25,13594.25,13519.50,13546.75,105269,3592,13593.25,13594.25,13519.50,13564.25,179744,8917,13563.75,13638.50,13559.25,13587.00,77642,6814,13587.25,13614.50,13579.25,13595.50,31965,3354,13595.75,13604.00,13568.50,13598.25,44133,3465,13571.50,13604.00,13568.50,13598.25,25996,1772,13598.25,13611.50,13588.75,13604.75,12085,1398,13593.25,13638.50,13519.50,13598.25,333484,22550
