date,day_of_week,rth_close,overnight_return,direction,overnight_range,max_up,max_down,gex_regime,total_gex,gf_dist,s1_dist,r1_dist,lt_sentiment,evening_ret,dead_zone_ret,european_ret,premarket_ret
2023-03-28,Tuesday,12732.50,155.25,UP,148.00,157.50,-9.50,neutral,0.48,-493.43,294.32,120.29,BULLISH,14.00,56.00,23.75,48.25
2023-03-29,Wednesday,12969.00,95.75,UP,143.25,105.75,37.50,positive,1.60,116.79,1153.26,297.79,BEARISH,-19.50,38.25,14.50,69.25
2023-03-30,Thursday,13085.25,6.50,RANGE,81.25,53.50,27.75,positive,2.42,71.64,1273.53,177.03,BULLISH,12.25,15.25,-31.00,11.50
2023-04-03,Monday,13268.50,16.50,UP,122.25,80.25,42.00,positive,1.66,283.95,-93.02,553.76,BULLISH,-11.50,-5.75,24.50,18.50
2023-04-04,Tuesday,13223.50,-49.75,DOWN,74.50,23.75,50.75,positive,1.43,130.83,89.40,34.90,BEARISH,11.00,-21.50,-33.25,-12.50
2023-04-05,Wednesday,13079.50,-66.75,DOWN,94.50,0.25,94.25,neutral,0.19,-916.47,35.91,171.13,BULLISH,-15.50,-27.25,23.25,-39.50
2023-04-06,Thursday,13171.25,13.00,UP,70.25,21.00,49.25,positive,1.30,-79.18,45.04,79.18,BEARISH,-3.00,1.75,12.25,11.50
2023-04-10,Monday,13164.50,-5.00,RANGE,83.25,44.25,39.00,positive,1.47,-233.63,603.76,233.63,BULLISH,9.00,-10.75,29.00,-30.75
2023-04-11,Tuesday,13076.50,80.00,UP,203.25,165.25,38.00,positive,1.01,-174.08,654.08,174.08,BEARISH,15.75,-12.75,0.75,79.50
2023-04-12,Wednesday,12958.50,69.25,UP,112.50,79.50,33.00,neutral,-0.26,,125.36,288.61,BEARISH,-25.75,37.00,5.75,53.00
2023-04-13,Thursday,13209.75,-70.00,DOWN,116.25,7.50,108.75,positive,1.88,90.43,793.99,33.73,BEARISH,8.75,5.00,-15.25,-41.75
2023-04-17,Monday,13189.50,90.75,UP,138.50,109.25,29.25,positive,1.14,-196.75,221.57,196.75,BULLISH,-5.25,3.25,61.25,38.25
2023-04-18,Tuesday,13189.25,-104.25,DOWN,121.75,-2.50,124.25,positive,1.14,-128.86,160.67,46.14,BEARISH,4.50,-17.75,-42.00,-29.25
2023-04-19,Wednesday,13182.75,-131.25,DOWN,140.75,-17.00,157.75,neutral,0.37,-507.07,154.68,52.12,BEARISH,-34.25,-11.75,-80.50,16.25
2023-04-20,Thursday,13077.00,-19.50,DOWN,102.75,30.75,72.00,neutral,0.27,-926.76,-90.71,216.12,BULLISH,-6.25,1.50,1.75,-26.00
2023-04-24,Monday,13059.25,-70.50,DOWN,92.75,0.25,92.50,neutral,-0.57,,246.17,167.15,BEARISH,-0.75,-33.25,-23.00,-4.50
2023-04-25,Tuesday,12808.50,142.00,UP,111.25,188.00,-76.75,neutral,-0.76,,-140.45,558.16,BULLISH,20.25,32.25,-19.25,-23.00
2023-04-26,Wednesday,12882.50,158.25,UP,112.00,165.50,-53.50,neutral,-0.74,,74.33,338.84,BULLISH,-8.50,21.75,12.50,48.75
2023-04-27,Thursday,13231.25,-11.00,DOWN,67.00,4.75,62.25,neutral,0.93,-191.45,221.56,397.95,BEARISH,-5.00,13.75,-34.75,31.00
2023-05-01,Monday,13304.00,-3.25,RANGE,67.00,30.75,36.25,neutral,0.85,-321.14,298.18,321.14,BEARISH,-4.25,20.00,-3.25,-0.50
2023-05-02,Tuesday,13184.75,14.25,UP,74.50,46.75,27.75,neutral,-0.40,,180.52,232.31,BULLISH,19.75,5.75,17.75,-6.50
2023-05-03,Wednesday,13100.00,-17.25,DOWN,128.75,73.00,55.75,negative,-1.23,,96.28,316.53,BULLISH,34.25,60.25,-26.50,-49.25
2023-05-04,Thursday,13048.00,91.25,UP,101.75,109.50,-7.75,neutral,-0.91,1207.60,52.44,360.12,BULLISH,33.75,6.25,7.25,32.00
2023-05-08,Monday,13354.50,-73.75,DOWN,78.00,-7.50,85.50,positive,1.05,-53.13,565.68,259.40,BEARISH,-1.00,1.50,-42.50,-14.75
2023-05-09,Tuesday,13266.25,100.75,UP,205.75,142.25,63.50,neutral,0.35,-552.59,478.67,140.09,BULLISH,16.00,-9.00,-33.00,134.00
2023-05-10,Wednesday,13410.50,16.50,UP,64.00,57.00,7.00,positive,1.60,7.06,419.47,199.15,BULLISH,12.00,12.00,14.75,-22.50
2023-05-11,Thursday,13447.25,20.50,UP,49.50,47.00,2.50,positive,2.16,50.78,462.98,155.32,BULLISH,9.00,24.00,4.75,-15.50
2023-05-15,Monday,13472.00,-36.25,DOWN,65.75,20.00,45.75,positive,1.75,-3.72,614.43,127.35,BULLISH,-3.00,-6.00,22.50,-38.00
2023-05-16,Tuesday,13482.25,42.50,UP,52.25,44.25,8.00,positive,2.07,88.25,624.01,117.81,BEARISH,1.00,11.75,-4.25,17.50
2023-05-17,Wednesday,13644.75,9.00,RANGE,55.00,38.50,16.50,positive,2.67,87.78,788.30,159.46,BEARISH,3.00,-4.25,26.00,-10.50
2023-05-18,Thursday,13889.75,8.25,RANGE,82.75,70.50,12.25,positive,2.93,175.23,381.16,113.06,BULLISH,21.00,-17.25,14.50,-28.75
2023-05-22,Monday,13905.00,-73.75,DOWN,154.25,74.25,80.00,positive,2.59,109.67,397.94,96.23,BULLISH,29.50,-10.75,-24.50,-75.75
2023-05-23,Tuesday,13725.50,-82.50,DOWN,128.00,30.25,97.75,neutral,0.71,1144.43,-22.03,438.62,BULLISH,19.25,-14.25,-12.25,-77.75
2023-05-24,Wednesday,13652.75,301.50,UP,173.00,323.25,-150.25,positive,2.65,1097.13,273.81,343.68,BULLISH,-30.00,-15.00,53.00,69.75
2023-05-25,Thursday,13978.25,39.75,UP,120.25,66.50,53.75,positive,2.88,276.90,482.63,422.57,BEARISH,-12.25,-4.00,27.75,28.25
2023-05-29,Monday,14404.75,104.75,UP,191.50,165.25,26.25,,,,,,BULLISH,-13.25,7.25,78.50,37.25
2023-05-30,Tuesday,14397.00,-66.75,DOWN,114.00,32.00,82.00,positive,2.74,1314.29,656.04,413.62,BEARISH,25.00,-66.75,7.75,-33.75
2023-05-31,Wednesday,14301.75,-3.50,RANGE,88.25,34.75,53.50,positive,1.50,1344.04,932.68,95.71,BEARISH,20.75,-18.75,17.75,-11.25
2023-06-01,Thursday,14473.25,70.25,UP,92.00,91.75,0.25,positive,2.46,1358.98,1112.32,326.55,BEARISH,-10.75,22.25,23.25,14.50
2023-06-05,Monday,14587.25,-26.25,DOWN,58.50,27.75,30.75,positive,2.16,1432.51,1226.96,211.84,BEARISH,-16.00,14.25,0.75,-21.00
2023-06-06,Tuesday,14583.75,8.25,RANGE,77.50,30.50,47.00,positive,2.15,200.30,1227.69,210.65,BEARISH,1.00,-16.50,-22.25,35.75
2023-06-07,Wednesday,14331.75,5.75,RANGE,115.25,40.25,75.00,neutral,0.78,567.13,978.01,254.64,BEARISH,14.00,-46.75,41.50,14.50
2023-06-08,Thursday,14499.75,62.25,UP,104.50,65.00,39.50,positive,1.88,-212.07,993.14,461.42,BEARISH,-16.50,1.50,-0.25,59.75
2023-06-12,Monday,14987.50,110.00,UP,171.75,163.75,8.00,positive,2.59,233.37,1480.19,182.24,BULLISH,-3.00,41.75,24.75,27.50
2023-06-13,Tuesday,15096.50,-0.75,RANGE,71.00,55.50,15.50,positive,2.94,1382.36,301.85,72.17,BULLISH,-4.75,-7.75,37.00,-37.75
2023-06-14,Wednesday,15203.25,-62.25,DOWN,163.00,25.75,137.25,positive,2.58,,591.49,-16.87,BEARISH,-7.75,-26.00,-63.25,17.00
2023-06-15,Thursday,15377.50,93.50,UP,159.50,97.00,62.50,positive,3.23,,1222.03,-196.27,BEARISH,-8.75,6.50,32.25,73.50
2023-06-19,Monday,15239.25,-26.75,DOWN,89.00,18.50,70.50,,,,,,BEARISH,4.00,-21.25,-48.75,33.75
